SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701214, 2018-04-10T00:00:00, ATL vs. PHI, L, 12.0, 13, 25, 0.52, 4, 11, 0.364, 2, 2, 1.0, 1, 10, 11, 8, 2.0, 3, 1, 1, 4, 3, 32, 5.0, 1, 25, 25, 25, 1, 1, 6, 21, 11, 6, 39, 40, 45, 1, 50, 16, 31, 17, 8, 11, 24, 25, 25, 55, 15
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701202, 2018-04-08T00:00:00, ATL @ BOS, W, 12.0, 10, 22, 0.455, 3, 8, 0.375, 1, 2, 0.5, 2, 7, 9, 4, 3.0, 1, 1, 3, 5, 4, 24, -7.0, 1, 1, 1, 1, 1, 34, 34, 37, 27, 29, 33, 59, 45, 60, 34, 53, 62, 63, 20, 50, 24, 64, 48, 26, 64
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701184, 2018-04-06T00:00:00, ATL @ WAS, W, 12.0, 8, 21, 0.381, 3, 10, 0.3, 2, 2, 1.0, 0, 12, 12, 7, 4.0, 1, 1, 2, 4, 0, 21, -1.0, 1, 1, 1, 1, 1, 62, 50, 63, 27, 14, 50, 40, 45, 1, 69, 6, 19, 25, 38, 50, 24, 49, 25, 82, 36
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701172, 2018-04-04T00:00:00, ATL vs. MIA, L, 12.0, 10, 23, 0.435, 4, 8, 0.5, 5, 6, 0.833, 3, 11, 14, 5, 6.0, 1, 0, 3, 3, 7, 29, 6.0, 1, 25, 25, 25, 1, 34, 21, 45, 11, 29, 18, 11, 15, 44, 21, 7, 4, 52, 69, 50, 61, 64, 12, 4, 11
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701158, 2018-04-03T00:00:00, ATL @ MIA, L, 12.0, 8, 24, 0.333, 2, 8, 0.25, 7, 9, 0.778, 4, 8, 12, 6, 4.0, 4, 0, 4, 5, 6, 25, -5.0, 1, 25, 25, 25, 1, 62, 13, 72, 44, 29, 58, 4, 6, 49, 7, 43, 19, 37, 38, 4, 61, 76, 48, 8, 59
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701147, 2018-04-01T00:00:00, ATL vs. ORL, W, 12.0, 9, 21, 0.429, 2, 8, 0.25, 1, 1, 1.0, 1, 13, 14, 8, 5.0, 0, 0, 1, 2, 3, 21, 3.0, 1, 1, 1, 1, 1, 45, 50, 46, 44, 29, 58, 59, 68, 1, 50, 2, 4, 17, 54, 71, 61, 25, 6, 55, 19
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701130, 2018-03-30T00:00:00, ATL vs. PHI, L, 12.0, 12, 32, 0.375, 2, 12, 0.167, 1, 1, 1.0, 5, 10, 15, 6, 1.0, 2, 1, 3, 5, 4, 27, -3.0, 1, 25, 25, 25, 1, 6, 1, 64, 44, 1, 69, 59, 68, 1, 2, 16, 2, 37, 2, 28, 24, 64, 48, 26, 49
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701120, 2018-03-28T00:00:00, ATL @ MIN, L, 12.0, 11, 18, 0.611, 5, 8, 0.625, 5, 6, 0.833, 0, 7, 7, 9, 5.0, 3, 1, 0, 4, 4, 32, -2.0, 1, 25, 25, 25, 1, 17, 75, 4, 5, 29, 8, 11, 15, 44, 69, 53, 72, 7, 54, 11, 24, 1, 25, 26, 44
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701101, 2018-03-25T00:00:00, ATL @ HOU, L, 12.0, 9, 23, 0.391, 2, 12, 0.167, 0, 0, 0.0, 1, 9, 10, 2, 3.0, 1, 1, 1, 2, 3, 20, -13.0, 1, 25, 25, 25, 1, 45, 21, 60, 44, 1, 69, 74, 75, 74, 50, 31, 48, 79, 20, 50, 24, 25, 6, 55, 80
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701087, 2018-03-23T00:00:00, ATL @ GSW, L, 12.0, 9, 26, 0.346, 0, 9, 0.0, 0, 0, 0.0, 2, 13, 15, 5, 1.0, 2, 4, 0, 3, 3, 18, 2.0, 1, 25, 25, 25, 1, 45, 4, 71, 79, 20, 79, 74, 75, 74, 34, 2, 2, 52, 2, 28, 1, 1, 12, 55, 24
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701077, 2018-03-22T00:00:00, ATL @ SAC, L, 12.0, 11, 23, 0.478, 4, 10, 0.4, 2, 4, 0.5, 1, 7, 8, 7, 2.0, 2, 0, 3, 4, 6, 28, 3.0, 1, 25, 25, 25, 1, 17, 21, 27, 11, 14, 27, 40, 27, 60, 50, 53, 67, 25, 8, 28, 61, 64, 25, 8, 19
