SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701220, 2018-04-11T00:00:00, CLE vs. NYK, L, 12.0, 9, 26, 0.346, 0, 6, 0.0, 2, 3, 0.667, 6, 11, 17, 6, 4.0, 4, 2, 1, 3, 4, 20, 0.0, 1, 51, 51, 51, 1, 55, 4, 78, 74, 51, 74, 54, 56, 59, 1, 9, 1, 38, 48, 4, 7, 30, 24, 49, 40
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701207, 2018-04-09T00:00:00, CLE @ NYK, W, 12.0, 9, 22, 0.409, 6, 13, 0.462, 2, 2, 1.0, 1, 9, 10, 4, 5.0, 3, 0, 0, 1, 4, 26, 1.0, 1, 1, 1, 1, 1, 55, 32, 62, 2, 1, 28, 54, 64, 1, 47, 36, 49, 62, 64, 8, 48, 1, 2, 49, 34
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701183, 2018-04-06T00:00:00, CLE @ PHI, L, 12.0, 11, 25, 0.44, 3, 6, 0.5, 3, 4, 0.75, 3, 8, 11, 7, 4.0, 0, 0, 2, 3, 5, 28, -13.0, 1, 51, 51, 51, 1, 31, 10, 56, 27, 51, 18, 44, 42, 48, 15, 46, 39, 18, 48, 64, 48, 59, 24, 21, 77
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701176, 2018-04-05T00:00:00, CLE vs. WAS, W, 12.0, 13, 21, 0.619, 6, 10, 0.6, 7, 9, 0.778, 1, 12, 13, 10, 4.0, 2, 2, 1, 5, 5, 39, 13.0, 1, 1, 1, 1, 1, 10, 49, 8, 2, 7, 9, 11, 8, 47, 47, 5, 15, 3, 48, 20, 7, 30, 63, 21, 5
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701156, 2018-04-03T00:00:00, CLE vs. TOR, W, 12.0, 11, 20, 0.55, 4, 8, 0.5, 2, 5, 0.4, 0, 10, 10, 3, 2.0, 2, 1, 0, 3, 6, 28, 4.0, 1, 1, 1, 1, 1, 31, 64, 24, 15, 26, 18, 54, 35, 73, 72, 23, 49, 72, 10, 20, 18, 1, 24, 11, 22
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701149, 2018-04-01T00:00:00, CLE vs. DAL, W, 12.0, 7, 19, 0.368, 1, 5, 0.2, 3, 7, 0.429, 1, 11, 12, 5, 5.0, 3, 0, 1, 2, 4, 18, -7.0, 1, 1, 1, 1, 1, 78, 76, 70, 58, 69, 62, 44, 17, 72, 47, 9, 24, 47, 64, 8, 48, 30, 6, 49, 68
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701131, 2018-03-30T00:00:00, CLE vs. NOP, W, 12.0, 12, 23, 0.522, 2, 5, 0.4, 3, 4, 0.75, 1, 10, 11, 5, 3.0, 2, 0, 0, 5, 5, 29, 0.0, 1, 1, 1, 1, 1, 18, 21, 29, 43, 69, 34, 44, 42, 48, 47, 23, 39, 47, 31, 20, 48, 1, 63, 21, 40
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701116, 2018-03-28T00:00:00, CLE @ CHA, W, 12.0, 8, 26, 0.308, 0, 7, 0.0, 6, 7, 0.857, 3, 9, 12, 4, 2.0, 2, 1, 1, 6, 5, 22, -4.0, 1, 1, 1, 1, 1, 68, 4, 79, 74, 38, 74, 17, 17, 35, 15, 36, 24, 62, 10, 20, 18, 30, 70, 21, 59
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701110, 2018-03-27T00:00:00, CLE @ MIA, L, 12.0, 8, 22, 0.364, 0, 4, 0.0, 2, 2, 1.0, 3, 6, 9, 3, 6.0, 2, 1, 4, 5, 1, 18, -11.0, 1, 51, 51, 51, 1, 68, 32, 71, 74, 76, 74, 54, 64, 1, 15, 73, 61, 72, 76, 20, 18, 82, 63, 81, 73
2017-18, 1610612739, CLE, Cleveland Cavaliers, 0021701094, 2018-03-25T00:00:00, CLE @ BKN, W, 12.0, 12, 27, 0.444, 4, 7, 0.571, 0, 2, 0.0, 6, 9, 15, 6, 3.0, 1, 0, 2, 7, 5, 28, -2.0, 1, 1, 1, 1, 1, 18, 1, 54, 15, 38, 11, 77, 64, 77, 1, 36, 6, 38, 31, 43, 48, 59, 80, 21, 51
