SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701227, 2018-04-11T00:00:00, MEM @ OKC, L, 12.0, 12, 23, 0.522, 2, 7, 0.286, 2, 2, 1.0, 3, 6, 9, 6, 5.0, 1, 1, 0, 7, 4, 28, -10.0, 1, 23, 23, 23, 1, 9, 17, 24, 32, 21, 47, 47, 58, 1, 12, 65, 43, 34, 57, 43, 28, 1, 71, 34, 71
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701209, 2018-04-09T00:00:00, MEM @ MIN, L, 12.0, 10, 25, 0.4, 1, 6, 0.167, 5, 5, 1.0, 2, 11, 13, 8, 3.0, 2, 3, 4, 5, 4, 26, 6.0, 1, 23, 23, 23, 1, 38, 4, 59, 51, 36, 65, 12, 22, 1, 30, 4, 8, 13, 25, 22, 5, 80, 36, 34, 15
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701199, 2018-04-08T00:00:00, MEM vs. DET, W, 12.0, 11, 20, 0.55, 3, 7, 0.429, 5, 7, 0.714, 1, 13, 14, 11, 3.0, 3, 0, 0, 5, 6, 30, 8.0, 1, 1, 1, 1, 1, 20, 50, 18, 20, 21, 32, 12, 8, 51, 51, 2, 4, 1, 25, 6, 56, 1, 36, 8, 11
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701188, 2018-04-06T00:00:00, MEM vs. SAC, L, 12.0, 8, 19, 0.421, 3, 6, 0.5, 3, 6, 0.5, 1, 8, 9, 6, 4.0, 0, 2, 2, 3, 6, 22, -3.0, 1, 23, 23, 23, 1, 57, 60, 53, 20, 36, 19, 31, 16, 62, 51, 26, 43, 34, 40, 70, 12, 42, 3, 8, 43
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701173, 2018-04-04T00:00:00, MEM @ NOP, L, 12.0, 11, 23, 0.478, 1, 4, 0.25, 0, 0, 0.0, 2, 5, 7, 6, 4.0, 2, 1, 1, 6, 3, 23, -9.0, 1, 23, 23, 23, 1, 20, 17, 36, 51, 67, 49, 75, 76, 75, 30, 72, 70, 34, 40, 22, 28, 20, 55, 56, 65
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701154, 2018-04-01T00:00:00, MEM @ POR, L, 12.0, 9, 20, 0.45, 3, 5, 0.6, 3, 4, 0.75, 0, 8, 8, 6, 2.0, 1, 0, 0, 7, 5, 24, -8.0, 1, 23, 23, 23, 1, 49, 50, 46, 20, 53, 11, 31, 29, 43, 71, 26, 55, 34, 14, 43, 56, 1, 71, 16, 60
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701135, 2018-03-30T00:00:00, MEM @ UTA, L, 12.0, 6, 19, 0.316, 1, 8, 0.125, 1, 2, 0.5, 1, 7, 8, 4, 4.0, 1, 0, 0, 3, 2, 14, -15.0, 1, 23, 23, 23, 1, 76, 60, 75, 51, 13, 73, 62, 58, 62, 51, 43, 55, 62, 40, 43, 56, 1, 3, 72, 77
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701119, 2018-03-28T00:00:00, MEM vs. POR, W, 12.0, 8, 22, 0.364, 3, 6, 0.5, 1, 4, 0.25, 3, 6, 9, 5, 4.0, 3, 0, 3, 3, 4, 20, -8.0, 1, 1, 1, 1, 1, 57, 28, 66, 20, 36, 19, 62, 29, 74, 12, 65, 43, 53, 40, 6, 56, 71, 3, 34, 60
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701106, 2018-03-26T00:00:00, MEM @ MIN, W, 12.0, 10, 20, 0.5, 3, 10, 0.3, 3, 4, 0.75, 1, 11, 12, 9, 5.0, 0, 1, 1, 6, 5, 26, 1.0, 1, 1, 1, 1, 1, 38, 50, 26, 20, 3, 46, 31, 29, 43, 51, 4, 13, 5, 57, 70, 28, 20, 55, 16, 29
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701092, 2018-03-24T00:00:00, MEM vs. LAL, L, 12.0, 12, 21, 0.571, 1, 4, 0.25, 3, 4, 0.75, 3, 10, 13, 6, 5.0, 3, 4, 2, 3, 4, 28, 11.0, 1, 23, 23, 23, 1, 9, 38, 13, 51, 67, 49, 31, 29, 43, 12, 14, 8, 34, 57, 6, 3, 42, 3, 34, 7
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701072, 2018-03-22T00:00:00, MEM @ CHA, L, 12.0, 7, 21, 0.333, 0, 6, 0.0, 0, 1, 0.0, 2, 7, 9, 2, 4.0, 0, 2, 1, 4, 3, 14, -23.0, 1, 23, 23, 23, 1, 71, 38, 73, 75, 36, 75, 75, 70, 75, 30, 43, 43, 80, 40, 70, 12, 20, 20, 56, 82
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701066, 2018-03-21T00:00:00, MEM @ PHI, L, 12.0, 7, 25, 0.28, 2, 7, 0.286, 3, 4, 0.75, 3, 9, 12, 4, 2.0, 2, 0, 2, 4, 5, 19, -7.0, 1, 23, 23, 23, 1, 71, 4, 79, 32, 21, 47, 31, 29, 43, 12, 20, 13, 62, 14, 22, 56, 42, 20, 16, 56
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701053, 2018-03-19T00:00:00, MEM @ BKN, L, 12.0, 12, 21, 0.571, 2, 4, 0.5, 5, 7, 0.714, 2, 7, 9, 5, 3.0, 3, 0, 0, 10, 7, 31, -1.0, 1, 23, 23, 23, 1, 9, 38, 13, 32, 67, 19, 12, 8, 51, 30, 43, 43, 53, 25, 6, 56, 1, 81, 3, 33
