SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701223, 2018-04-11T00:00:00, MIL @ PHI, L, 12.0, 6, 21, 0.286, 1, 5, 0.2, 5, 6, 0.833, 3, 6, 9, 3, 6.0, 0, 0, 1, 6, 6, 18, -28.0, 1, 45, 45, 45, 1, 80, 45, 81, 52, 45, 64, 22, 20, 43, 15, 54, 43, 71, 78, 74, 62, 28, 62, 7, 82
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701208, 2018-04-09T00:00:00, MIL vs. ORL, W, 12.0, 13, 24, 0.542, 3, 7, 0.429, 2, 2, 1.0, 2, 12, 14, 7, 5.0, 5, 1, 0, 3, 2, 31, 10.0, 1, 1, 1, 1, 1, 9, 13, 28, 19, 16, 30, 50, 56, 1, 26, 4, 6, 20, 65, 3, 31, 1, 8, 68, 9
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701192, 2018-04-07T00:00:00, MIL @ NYK, W, 12.0, 13, 25, 0.52, 2, 5, 0.4, 3, 4, 0.75, 5, 8, 13, 7, 2.0, 1, 3, 2, 3, 2, 31, 3.0, 1, 1, 1, 1, 1, 9, 7, 34, 27, 45, 34, 40, 38, 56, 3, 31, 9, 20, 12, 53, 6, 58, 8, 68, 26
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701178, 2018-04-05T00:00:00, MIL vs. BKN, L, 12.0, 8, 21, 0.381, 2, 4, 0.5, 6, 8, 0.75, 4, 6, 10, 1, 4.0, 3, 0, 6, 2, 5, 24, -6.0, 1, 45, 45, 45, 1, 63, 45, 68, 27, 60, 14, 15, 11, 56, 8, 54, 32, 82, 47, 15, 62, 82, 3, 12, 60
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701162, 2018-04-03T00:00:00, MIL vs. BOS, W, 12.0, 11, 16, 0.688, 1, 4, 0.25, 3, 4, 0.75, 0, 8, 8, 7, 5.0, 0, 0, 1, 5, 2, 26, -5.0, 1, 1, 1, 1, 1, 30, 79, 1, 52, 60, 54, 40, 38, 56, 71, 31, 56, 20, 65, 74, 62, 28, 37, 68, 54
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701152, 2018-04-01T00:00:00, MIL @ DEN, L, 12.0, 14, 23, 0.609, 4, 6, 0.667, 2, 2, 1.0, 1, 9, 10, 10, 1.0, 3, 0, 2, 3, 3, 34, 12.0, 1, 45, 45, 45, 1, 4, 22, 8, 4, 30, 5, 50, 56, 1, 53, 18, 32, 3, 5, 15, 62, 58, 8, 45, 4
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701136, 2018-03-30T00:00:00, MIL @ LAL, W, 12.0, 16, 25, 0.64, 4, 7, 0.571, 3, 4, 0.75, 2, 4, 6, 10, 1.0, 6, 0, 0, 4, 4, 39, 5.0, 1, 1, 1, 1, 1, 1, 7, 4, 4, 16, 11, 40, 38, 56, 26, 79, 76, 3, 5, 1, 62, 1, 20, 24, 20
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701128, 2018-03-29T00:00:00, MIL @ GSW, W, 12.0, 13, 23, 0.565, 2, 3, 0.667, 1, 1, 1.0, 2, 7, 9, 8, 3.0, 5, 1, 4, 3, 4, 29, 2.0, 1, 1, 1, 1, 1, 9, 22, 18, 27, 76, 5, 69, 73, 1, 26, 45, 43, 14, 32, 3, 31, 79, 8, 24, 31
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701115, 2018-03-27T00:00:00, MIL @ LAC, L, 12.0, 12, 22, 0.545, 2, 5, 0.4, 3, 3, 1.0, 0, 8, 8, 5, 3.0, 3, 4, 1, 0, 3, 29, -6.0, 1, 45, 45, 45, 1, 20, 35, 23, 27, 45, 34, 40, 49, 1, 71, 31, 56, 48, 32, 15, 2, 28, 1, 45, 60
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701095, 2018-03-25T00:00:00, MIL vs. SAS, W, 12.0, 12, 21, 0.571, 2, 5, 0.4, 1, 2, 0.5, 3, 11, 14, 9, 4.0, 3, 0, 0, 2, 3, 27, 12.0, 1, 1, 1, 1, 1, 20, 45, 16, 27, 45, 34, 69, 56, 70, 15, 6, 6, 9, 47, 15, 62, 1, 3, 45, 4
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701083, 2018-03-23T00:00:00, MIL @ CHI, W, 12.0, 8, 22, 0.364, 4, 10, 0.4, 4, 4, 1.0, 1, 5, 6, 7, 1.0, 1, 1, 1, 6, 5, 24, -10.0, 1, 1, 1, 1, 1, 63, 35, 74, 4, 3, 34, 32, 38, 1, 53, 70, 76, 20, 5, 53, 31, 28, 62, 12, 74
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701070, 2018-03-21T00:00:00, MIL vs. LAC, L, 12.0, 10, 24, 0.417, 2, 10, 0.2, 2, 2, 1.0, 1, 5, 6, 9, 4.0, 3, 1, 1, 3, 1, 24, -14.0, 1, 45, 45, 45, 1, 39, 13, 57, 27, 3, 64, 50, 56, 1, 53, 70, 76, 9, 47, 15, 31, 28, 8, 79, 78
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701050, 2018-03-19T00:00:00, MIL @ CLE, L, 12.0, 11, 23, 0.478, 2, 6, 0.333, 1, 1, 1.0, 2, 7, 9, 7, 3.0, 3, 3, 1, 4, 1, 25, -1.0, 1, 45, 45, 45, 1, 30, 22, 40, 27, 30, 41, 69, 73, 1, 26, 45, 43, 20, 32, 15, 6, 28, 20, 79, 36
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701041, 2018-03-17T00:00:00, MIL vs. ATL, W, 12.0, 8, 24, 0.333, 4, 9, 0.444, 6, 6, 1.0, 5, 8, 13, 6, 3.0, 2, 3, 2, 4, 3, 26, -5.0, 1, 1, 1, 1, 1, 63, 13, 77, 4, 6, 26, 15, 20, 1, 3, 31, 9, 32, 32, 39, 6, 58, 20, 45, 54
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701016, 2018-03-14T00:00:00, MIL @ ORL, L, 12.0, 9, 26, 0.346, 2, 6, 0.333, 0, 0, 0.0, 3, 9, 12, 6, 3.0, 1, 0, 1, 7, 2, 20, -16.0, 1, 45, 45, 45, 1, 50, 5, 76, 27, 30, 41, 77, 78, 77, 15, 18, 16, 32, 32, 53, 62, 28, 78, 68, 79
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701002, 2018-03-12T00:00:00, MIL @ MEM, W, 12.0, 14, 25, 0.56, 4, 7, 0.571, 0, 0, 0.0, 4, 9, 13, 11, 2.0, 2, 1, 2, 5, 4, 32, 8.0, 1, 1, 1, 1, 1, 4, 7, 20, 4, 16, 11, 77, 78, 77, 8, 18, 9, 1, 12, 39, 31, 58, 37, 24, 13
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021700981, 2018-03-09T00:00:00, MIL vs. NYK, W, 12.0, 9, 21, 0.429, 1, 4, 0.25, 7, 9, 0.778, 2, 9, 11, 7, 2.0, 5, 1, 3, 3, 5, 26, 4.0, 1, 1, 1, 1, 1, 50, 45, 54, 52, 60, 54, 7, 9, 53, 26, 18, 20, 20, 12, 3, 31, 76, 8, 12, 23
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021700968, 2018-03-07T00:00:00, MIL vs. HOU, L, 12.0, 10, 23, 0.435, 2, 6, 0.333, 0, 0, 0.0, 1, 8, 9, 6, 4.0, 4, 1, 1, 5, 3, 22, -2.0, 1, 45, 45, 45, 1, 39, 22, 50, 27, 30, 41, 77, 78, 77, 53, 31, 43, 32, 47, 10, 31, 28, 37, 45, 41
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021700951, 2018-03-05T00:00:00, MIL @ IND, L, 12.0, 6, 20, 0.3, 1, 5, 0.2, 4, 5, 0.8, 2, 9, 11, 3, 4.0, 3, 2, 2, 4, 4, 17, -3.0, 1, 45, 45, 45, 1, 80, 57, 80, 52, 45, 64, 32, 30, 49, 26, 18, 20, 71, 47, 15, 15, 58, 20, 24, 48
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021700947, 2018-03-04T00:00:00, MIL vs. PHI, W, 12.0, 13, 25, 0.52, 3, 5, 0.6, 2, 2, 1.0, 1, 2, 3, 9, 2.0, 3, 2, 3, 6, 4, 31, -12.0, 1, 1, 1, 1, 1, 9, 7, 34, 19, 45, 8, 50, 56, 1, 53, 81, 82, 9, 12, 15, 15, 76, 62, 24, 77
