SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701225, 2018-04-11T00:00:00, MIN vs. DEN, W, 12.0, 12, 23, 0.522, 2, 6, 0.333, 3, 4, 0.75, 4, 9, 13, 6, 1.0, 1, 0, 1, 3, 4, 29, 3.0, 1, 1, 1, 1, 1, 18, 28, 30, 23, 23, 37, 39, 41, 44, 11, 33, 22, 31, 9, 54, 49, 25, 31, 33, 33
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701209, 2018-04-09T00:00:00, MIN vs. MEM, W, 12.0, 8, 26, 0.308, 1, 7, 0.143, 3, 6, 0.5, 7, 9, 16, 5, 4.0, 2, 4, 3, 4, 5, 20, -6.0, 1, 1, 1, 1, 1, 74, 6, 80, 42, 14, 62, 39, 18, 62, 1, 33, 3, 50, 54, 33, 1, 69, 47, 14, 69
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701190, 2018-04-06T00:00:00, MIN @ LAL, W, 12.0, 11, 23, 0.478, 2, 6, 0.333, 6, 7, 0.857, 3, 7, 10, 5, 3.0, 5, 2, 0, 4, 5, 30, 4.0, 1, 1, 1, 1, 1, 35, 28, 41, 23, 23, 37, 9, 11, 28, 24, 55, 51, 50, 36, 2, 12, 1, 47, 14, 29
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701180, 2018-04-05T00:00:00, MIN @ DEN, L, 12.0, 11, 26, 0.423, 2, 8, 0.25, 0, 2, 0.0, 6, 10, 16, 6, 1.0, 0, 0, 3, 2, 3, 24, -3.0, 1, 48, 48, 48, 1, 35, 6, 62, 23, 4, 49, 73, 60, 73, 4, 21, 3, 31, 9, 73, 49, 69, 10, 54, 59
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701151, 2018-04-01T00:00:00, MIN vs. UTA, L, 12.0, 12, 24, 0.5, 2, 5, 0.4, 0, 0, 0.0, 2, 7, 9, 5, 3.0, 2, 0, 2, 1, 5, 26, -2.0, 1, 48, 48, 48, 1, 18, 16, 34, 23, 34, 28, 73, 74, 73, 38, 55, 63, 50, 36, 33, 49, 53, 2, 14, 53
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701134, 2018-03-30T00:00:00, MIN @ DAL, W, 12.0, 6, 23, 0.261, 0, 5, 0.0, 4, 4, 1.0, 2, 12, 14, 3, 3.0, 3, 2, 1, 4, 4, 16, -4.0, 1, 1, 1, 1, 1, 82, 28, 82, 66, 34, 66, 24, 41, 1, 38, 4, 12, 78, 36, 17, 12, 25, 47, 33, 63
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701120, 2018-03-28T00:00:00, MIN vs. ATL, W, 12.0, 15, 25, 0.6, 3, 7, 0.429, 1, 1, 1.0, 2, 5, 7, 8, 3.0, 2, 0, 1, 4, 4, 34, 2.0, 1, 1, 1, 1, 1, 2, 13, 8, 9, 14, 26, 67, 72, 1, 38, 76, 76, 8, 36, 33, 49, 25, 47, 33, 38
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701106, 2018-03-26T00:00:00, MIN vs. MEM, L, 12.0, 9, 23, 0.391, 2, 5, 0.4, 5, 6, 0.833, 1, 7, 8, 4, 1.0, 3, 1, 1, 5, 6, 25, -1.0, 1, 48, 48, 48, 1, 60, 28, 68, 23, 34, 28, 15, 18, 31, 56, 55, 71, 66, 9, 17, 23, 25, 69, 8, 49
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701088, 2018-03-24T00:00:00, MIN @ PHI, L, 12.0, 9, 27, 0.333, 3, 8, 0.375, 3, 6, 0.5, 5, 11, 16, 5, 4.0, 0, 0, 3, 4, 7, 24, -8.0, 1, 48, 48, 48, 1, 60, 4, 78, 9, 4, 34, 39, 18, 62, 7, 14, 3, 50, 54, 73, 49, 69, 47, 3, 76
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701081, 2018-03-23T00:00:00, MIN @ NYK, W, 12.0, 11, 18, 0.611, 3, 6, 0.5, 6, 6, 1.0, 0, 10, 10, 9, 4.0, 2, 1, 0, 2, 4, 31, 9.0, 1, 1, 1, 1, 1, 35, 78, 6, 9, 23, 11, 9, 18, 1, 77, 21, 51, 3, 54, 33, 23, 1, 10, 33, 11
