SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612752, NYK, New York Knicks, 0021701220, 2018-04-11T00:00:00, NYK @ CLE, W, 12.0, 8, 25, 0.32, 2, 8, 0.25, 2, 2, 1.0, 5, 11, 16, 5, 5.0, 4, 1, 2, 4, 3, 20, 0.0, 1, 1, 1, 1, 1, 75, 17, 79, 25, 12, 57, 43, 47, 1, 7, 6, 3, 49, 57, 2, 30, 55, 31, 39, 35
2017-18, 1610612752, NYK, New York Knicks, 0021701207, 2018-04-09T00:00:00, NYK vs. CLE, L, 12.0, 12, 21, 0.571, 1, 4, 0.25, 0, 0, 0.0, 0, 9, 9, 7, 4.0, 2, 0, 0, 4, 1, 25, -1.0, 1, 30, 30, 30, 1, 21, 58, 16, 54, 55, 57, 72, 72, 72, 72, 31, 61, 21, 42, 20, 59, 1, 31, 75, 38
2017-18, 1610612752, NYK, New York Knicks, 0021701192, 2018-04-07T00:00:00, NYK vs. MIL, L, 12.0, 11, 24, 0.458, 2, 3, 0.667, 4, 4, 1.0, 4, 7, 11, 9, 3.0, 0, 2, 3, 2, 3, 28, -3.0, 1, 30, 30, 30, 1, 29, 23, 47, 25, 71, 5, 18, 22, 1, 16, 61, 39, 6, 27, 71, 10, 70, 3, 39, 48
2017-18, 1610612752, NYK, New York Knicks, 0021701186, 2018-04-06T00:00:00, NYK vs. MIA, W, 12.0, 13, 21, 0.619, 3, 5, 0.6, 5, 9, 0.556, 3, 10, 13, 7, 2.0, 1, 1, 0, 4, 7, 34, 11.0, 1, 1, 1, 1, 1, 10, 58, 10, 8, 47, 8, 12, 2, 59, 23, 18, 17, 21, 11, 43, 30, 1, 31, 2, 5
2017-18, 1610612752, NYK, New York Knicks, 0021701159, 2018-04-03T00:00:00, NYK vs. ORL, L, 12.0, 10, 22, 0.455, 0, 9, 0.0, 5, 6, 0.833, 3, 7, 10, 5, 3.0, 3, 1, 0, 4, 6, 25, -2.0, 1, 30, 30, 30, 1, 47, 43, 49, 73, 3, 73, 12, 14, 45, 23, 61, 50, 49, 27, 3, 30, 1, 31, 4, 45
2017-18, 1610612752, NYK, New York Knicks, 0021701139, 2018-03-31T00:00:00, NYK vs. DET, L, 12.0, 11, 20, 0.55, 4, 7, 0.571, 1, 1, 1.0, 0, 5, 5, 8, 4.0, 0, 0, 1, 3, 2, 27, -3.0, 1, 30, 30, 30, 1, 29, 70, 22, 4, 18, 10, 55, 65, 1, 72, 77, 80, 14, 42, 71, 59, 32, 16, 65, 48
2017-18, 1610612752, NYK, New York Knicks, 0021701118, 2018-03-28T00:00:00, NYK @ PHI, L, 12.0, 11, 26, 0.423, 3, 9, 0.333, 3, 3, 1.0, 2, 6, 8, 6, 2.0, 1, 1, 2, 2, 4, 28, -9.0, 1, 30, 30, 30, 1, 29, 10, 61, 8, 3, 32, 26, 35, 1, 39, 69, 71, 36, 11, 43, 30, 55, 3, 24, 70
2017-18, 1610612752, NYK, New York Knicks, 0021701103, 2018-03-26T00:00:00, NYK @ CHA, L, 12.0, 9, 27, 0.333, 2, 7, 0.286, 2, 2, 1.0, 6, 7, 13, 5, 4.0, 0, 0, 2, 7, 2, 22, -5.0, 1, 30, 30, 30, 1, 63, 5, 77, 25, 18, 51, 43, 47, 1, 1, 61, 17, 49, 42, 71, 59, 55, 76, 65, 59
2017-18, 1610612752, NYK, New York Knicks, 0021701098, 2018-03-25T00:00:00, NYK @ WAS, W, 12.0, 9, 19, 0.474, 0, 3, 0.0, 1, 1, 1.0, 0, 10, 10, 4, 6.0, 3, 3, 2, 3, 2, 19, -2.0, 1, 1, 1, 1, 1, 63, 74, 44, 73, 71, 73, 55, 65, 1, 72, 18, 50, 65, 69, 3, 2, 55, 16, 65, 45
2017-18, 1610612752, NYK, New York Knicks, 0021701081, 2018-03-23T00:00:00, NYK vs. MIN, L, 12.0, 10, 25, 0.4, 1, 3, 0.333, 1, 2, 0.5, 3, 6, 9, 5, 3.0, 3, 0, 1, 4, 2, 22, -9.0, 1, 30, 30, 30, 1, 47, 17, 66, 54, 71, 32, 55, 47, 61, 23, 69, 61, 49, 27, 3, 59, 32, 31, 65, 70
