SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612738, BOS, Boston Celtics, 0021701219, 2018-04-11T00:00:00, BOS vs. BKN, W, 12.0, 11, 25, 0.44, 3, 8, 0.375, 5, 6, 0.833, 5, 10, 15, 5, 4.0, 2, 3, 2, 6, 6, 30, 3.0, 1, 1, 1, 1, 1, 14, 4, 44, 25, 25, 35, 27, 28, 36, 4, 20, 7, 44, 43, 23, 2, 61, 51, 19, 40
2017-18, 1610612738, BOS, Boston Celtics, 0021701215, 2018-04-10T00:00:00, BOS @ WAS, L, 12.0, 4, 21, 0.19, 1, 8, 0.125, 9, 11, 0.818, 5, 9, 14, 2, 5.0, 4, 0, 0, 5, 7, 18, -9.0, 1, 56, 56, 56, 1, 79, 36, 82, 67, 25, 78, 4, 4, 41, 4, 36, 12, 78, 62, 4, 55, 1, 35, 12, 69
2017-18, 1610612738, BOS, Boston Celtics, 0021701202, 2018-04-08T00:00:00, BOS vs. ATL, L, 12.0, 10, 18, 0.556, 2, 4, 0.5, 2, 4, 0.5, 0, 8, 8, 8, 4.0, 4, 2, 1, 7, 4, 24, -3.0, 1, 56, 56, 56, 1, 29, 67, 10, 41, 75, 23, 58, 49, 67, 67, 48, 71, 5, 43, 4, 9, 29, 66, 48, 52
2017-18, 1610612738, BOS, Boston Celtics, 0021701185, 2018-04-06T00:00:00, BOS vs. CHI, W, 12.0, 9, 20, 0.45, 3, 10, 0.3, 3, 7, 0.429, 3, 12, 15, 5, 4.0, 3, 2, 0, 3, 5, 24, 6.0, 1, 1, 1, 1, 1, 49, 47, 42, 25, 10, 50, 47, 25, 74, 18, 4, 7, 44, 43, 14, 9, 1, 5, 35, 26
2017-18, 1610612738, BOS, Boston Celtics, 0021701171, 2018-04-04T00:00:00, BOS @ TOR, L, 12.0, 5, 19, 0.263, 1, 6, 0.167, 9, 10, 0.9, 0, 9, 9, 2, 1.0, 2, 0, 1, 5, 8, 20, -4.0, 1, 56, 56, 56, 1, 78, 60, 76, 67, 50, 74, 4, 8, 30, 67, 36, 63, 78, 4, 23, 55, 29, 35, 4, 58
2017-18, 1610612738, BOS, Boston Celtics, 0021701162, 2018-04-03T00:00:00, BOS @ MIL, L, 12.0, 6, 23, 0.261, 1, 7, 0.143, 2, 4, 0.5, 4, 10, 14, 4, 4.0, 2, 2, 3, 5, 5, 15, -6.0, 1, 56, 56, 56, 1, 74, 21, 77, 67, 37, 77, 58, 49, 67, 9, 20, 12, 57, 43, 23, 9, 74, 35, 35, 64
2017-18, 1610612738, BOS, Boston Celtics, 0021701140, 2018-03-31T00:00:00, BOS vs. TOR, W, 12.0, 8, 22, 0.364, 2, 8, 0.25, 11, 12, 0.917, 2, 8, 10, 4, 0.0, 0, 0, 3, 8, 8, 29, 0.0, 1, 1, 1, 1, 1, 58, 26, 67, 41, 25, 57, 1, 3, 28, 32, 48, 47, 57, 1, 69, 55, 74, 73, 4, 47
2017-18, 1610612738, BOS, Boston Celtics, 0021701121, 2018-03-28T00:00:00, BOS @ UTA, W, 12.0, 6, 15, 0.4, 1, 4, 0.25, 6, 9, 0.667, 4, 7, 11, 3, 10.0, 2, 1, 1, 9, 6, 19, -13.0, 1, 1, 1, 1, 1, 74, 81, 57, 67, 75, 57, 20, 12, 55, 9, 68, 38, 66, 82, 23, 29, 29, 78, 19, 78
2017-18, 1610612738, BOS, Boston Celtics, 0021701107, 2018-03-26T00:00:00, BOS @ PHX, W, 12.0, 10, 23, 0.435, 3, 5, 0.6, 6, 6, 1.0, 4, 9, 13, 7, 4.0, 4, 1, 2, 7, 4, 29, 9.0, 1, 1, 1, 1, 1, 29, 21, 48, 25, 62, 16, 20, 28, 1, 9, 36, 19, 14, 43, 4, 29, 61, 66, 48, 14
2017-18, 1610612738, BOS, Boston Celtics, 0021701099, 2018-03-25T00:00:00, BOS @ SAC, W, 12.0, 10, 18, 0.556, 3, 6, 0.5, 5, 6, 0.833, 0, 10, 10, 7, 3.0, 4, 0, 1, 2, 5, 28, 10.0, 1, 1, 1, 1, 1, 29, 67, 10, 25, 50, 23, 27, 28, 36, 67, 20, 47, 14, 24, 4, 55, 29, 2, 35, 13
2017-18, 1610612738, BOS, Boston Celtics, 0021701086, 2018-03-23T00:00:00, BOS @ POR, W, 12.0, 7, 19, 0.368, 0, 2, 0.0, 6, 6, 1.0, 3, 8, 11, 3, 2.0, 0, 0, 1, 6, 5, 20, -5.0, 1, 1, 1, 1, 1, 65, 60, 65, 81, 81, 81, 20, 28, 1, 18, 48, 38, 66, 12, 69, 55, 29, 51, 35, 61
2017-18, 1610612738, BOS, Boston Celtics, 0021701059, 2018-03-20T00:00:00, BOS vs. OKC, W, 12.0, 9, 17, 0.529, 4, 7, 0.571, 6, 6, 1.0, 1, 11, 12, 5, 7.0, 1, 1, 0, 8, 8, 28, 1.0, 1, 1, 1, 1, 1, 49, 74, 18, 17, 37, 21, 20, 28, 1, 51, 12, 25, 44, 78, 48, 29, 1, 73, 4, 44
2017-18, 1610612738, BOS, Boston Celtics, 0021701047, 2018-03-18T00:00:00, BOS @ NOP, L, 12.0, 12, 24, 0.5, 2, 5, 0.4, 1, 2, 0.5, 1, 8, 9, 6, 2.0, 1, 0, 0, 6, 3, 27, -8.0, 1, 56, 56, 56, 1, 9, 15, 24, 41, 62, 31, 72, 66, 67, 51, 48, 63, 29, 12, 48, 55, 1, 51, 69, 66
2017-18, 1610612738, BOS, Boston Celtics, 0021701029, 2018-03-16T00:00:00, BOS @ ORL, W, 12.0, 10, 20, 0.5, 2, 6, 0.333, 5, 8, 0.625, 2, 10, 12, 6, 4.0, 2, 3, 0, 4, 8, 27, 6.0, 1, 1, 1, 1, 1, 29, 47, 24, 41, 50, 41, 27, 18, 63, 32, 20, 25, 29, 43, 23, 2, 1, 16, 4, 26
2017-18, 1610612738, BOS, Boston Celtics, 0021701017, 2018-03-14T00:00:00, BOS vs. WAS, L, 12.0, 9, 21, 0.429, 1, 6, 0.167, 2, 3, 0.667, 1, 5, 6, 7, 3.0, 2, 1, 3, 4, 4, 21, -8.0, 1, 56, 56, 56, 1, 49, 36, 49, 67, 50, 74, 58, 60, 55, 51, 77, 77, 14, 24, 23, 29, 74, 16, 48, 66
2017-18, 1610612738, BOS, Boston Celtics, 0021700998, 2018-03-11T00:00:00, BOS vs. IND, L, 12.0, 7, 16, 0.438, 2, 9, 0.222, 4, 4, 1.0, 0, 6, 6, 5, 7.0, 5, 1, 1, 3, 3, 20, -14.0, 1, 56, 56, 56, 1, 65, 77, 46, 41, 19, 61, 38, 49, 1, 67, 73, 77, 44, 78, 2, 29, 29, 5, 69, 80
