SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612744, GSW, Golden State Warriors, 0021701217, 2018-04-10T00:00:00, GSW @ UTA, L, 12.0, 9, 23, 0.391, 2, 5, 0.4, 3, 3, 1.0, 3, 5, 8, 4, 3.0, 2, 0, 1, 5, 5, 23, -8.0, 1, 59, 59, 59, 1, 60, 14, 70, 54, 68, 46, 53, 59, 1, 18, 74, 63, 72, 21, 25, 71, 33, 35, 36, 73
2017-18, 1610612744, GSW, Golden State Warriors, 0021701203, 2018-04-08T00:00:00, GSW @ PHX, W, 12.0, 11, 21, 0.524, 1, 5, 0.2, 4, 7, 0.571, 2, 5, 7, 4, 1.0, 3, 2, 0, 2, 6, 27, 5.0, 1, 1, 1, 1, 1, 37, 41, 39, 73, 68, 72, 40, 23, 71, 32, 74, 72, 72, 1, 14, 18, 1, 2, 23, 38
2017-18, 1610612744, GSW, Golden State Warriors, 0021701195, 2018-04-07T00:00:00, GSW vs. NOP, L, 12.0, 11, 23, 0.478, 3, 7, 0.429, 2, 3, 0.667, 2, 10, 12, 5, 2.0, 1, 0, 1, 5, 5, 27, 6.0, 1, 59, 59, 59, 1, 37, 14, 50, 38, 47, 37, 62, 59, 64, 32, 22, 27, 63, 5, 50, 71, 33, 35, 36, 36
2017-18, 1610612744, GSW, Golden State Warriors, 0021701175, 2018-04-05T00:00:00, GSW @ IND, L, 12.0, 6, 19, 0.316, 2, 10, 0.2, 12, 12, 1.0, 4, 7, 11, 6, 3.0, 0, 1, 1, 5, 10, 26, -9.0, 1, 59, 59, 59, 1, 78, 61, 79, 54, 16, 72, 2, 4, 1, 10, 59, 40, 57, 21, 74, 48, 33, 35, 1, 76
2017-18, 1610612744, GSW, Golden State Warriors, 0021701163, 2018-04-03T00:00:00, GSW @ OKC, W, 12.0, 10, 24, 0.417, 3, 12, 0.25, 4, 5, 0.8, 2, 6, 8, 9, 3.0, 2, 2, 0, 6, 2, 27, -7.0, 1, 1, 1, 1, 1, 50, 10, 67, 38, 4, 68, 40, 42, 45, 32, 69, 63, 19, 21, 25, 18, 1, 51, 69, 70
2017-18, 1610612744, GSW, Golden State Warriors, 0021701153, 2018-04-01T00:00:00, GSW vs. PHX, W, 12.0, 15, 21, 0.714, 5, 7, 0.714, 1, 2, 0.5, 0, 12, 12, 9, 3.0, 3, 3, 1, 3, 2, 36, 18.0, 1, 1, 1, 1, 1, 6, 41, 4, 15, 47, 4, 75, 65, 73, 66, 9, 27, 19, 21, 14, 6, 33, 8, 69, 8
2017-18, 1610612744, GSW, Golden State Warriors, 0021701142, 2018-03-31T00:00:00, GSW @ SAC, W, 12.0, 11, 20, 0.55, 5, 8, 0.625, 9, 9, 1.0, 0, 13, 13, 8, 3.0, 1, 3, 1, 3, 7, 36, 16.0, 1, 1, 1, 1, 1, 37, 49, 37, 15, 41, 10, 6, 10, 1, 66, 4, 20, 34, 21, 50, 6, 33, 8, 12, 13
2017-18, 1610612744, GSW, Golden State Warriors, 0021701128, 2018-03-29T00:00:00, GSW vs. MIL, L, 12.0, 9, 20, 0.45, 1, 6, 0.167, 4, 4, 1.0, 1, 5, 6, 8, 2.0, 1, 2, 2, 5, 4, 23, -11.0, 1, 59, 59, 59, 1, 60, 49, 60, 73, 59, 77, 40, 52, 1, 50, 74, 79, 34, 5, 50, 18, 64, 35, 45, 78
2017-18, 1610612744, GSW, Golden State Warriors, 0021701114, 2018-03-27T00:00:00, GSW vs. IND, L, 12.0, 10, 22, 0.455, 1, 3, 0.333, 1, 2, 0.5, 5, 6, 11, 5, 7.0, 2, 1, 1, 6, 4, 22, -7.0, 1, 59, 59, 59, 1, 50, 29, 57, 73, 82, 55, 75, 65, 73, 4, 69, 40, 63, 75, 25, 48, 33, 51, 45, 70
2017-18, 1610612744, GSW, Golden State Warriors, 0021701102, 2018-03-25T00:00:00, GSW vs. UTA, L, 12.0, 8, 20, 0.4, 2, 5, 0.4, 0, 1, 0.0, 2, 7, 9, 6, 6.0, 2, 3, 0, 7, 4, 18, -18.0, 1, 59, 59, 59, 1, 70, 49, 68, 54, 68, 46, 78, 79, 78, 32, 59, 58, 57, 63, 25, 6, 1, 63, 45, 82
