SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612754, IND, Indiana Pacers, 0021701213, 2018-04-10T00:00:00, IND vs. CHA, L, 12.0, 7, 26, 0.269, 2, 9, 0.222, 0, 0, 0.0, 5, 13, 18, 5, 3.0, 0, 1, 3, 3, 1, 16, -8.0, 1, 49, 49, 49, 1, 66, 3, 79, 36, 8, 58, 78, 78, 78, 2, 1, 1, 42, 31, 74, 25, 71, 12, 79, 72
2017-18, 1610612754, IND, Indiana Pacers, 0021701197, 2018-04-08T00:00:00, IND @ CHA, W, 12.0, 9, 21, 0.429, 2, 6, 0.333, 5, 5, 1.0, 1, 6, 7, 5, 5.0, 5, 1, 1, 6, 3, 25, 1.0, 1, 1, 1, 1, 1, 43, 36, 48, 36, 37, 37, 20, 34, 1, 49, 66, 69, 42, 70, 4, 25, 27, 56, 61, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021701187, 2018-04-06T00:00:00, IND @ TOR, L, 12.0, 6, 18, 0.333, 1, 4, 0.25, 3, 6, 0.5, 1, 4, 5, 3, 4.0, 2, 4, 2, 6, 3, 16, -11.0, 1, 49, 49, 49, 1, 74, 68, 70, 56, 73, 53, 47, 24, 64, 49, 76, 79, 67, 52, 37, 3, 56, 56, 61, 75
2017-18, 1610612754, IND, Indiana Pacers, 0021701175, 2018-04-05T00:00:00, IND vs. GSW, W, 12.0, 12, 21, 0.571, 4, 10, 0.4, 7, 9, 0.778, 2, 9, 11, 8, 3.0, 1, 1, 1, 10, 5, 35, 9.0, 1, 1, 1, 1, 1, 16, 36, 16, 11, 3, 29, 6, 6, 42, 27, 30, 28, 8, 31, 58, 25, 27, 80, 33, 12
2017-18, 1610612754, IND, Indiana Pacers, 0021701165, 2018-04-03T00:00:00, IND @ DEN, L, 12.0, 10, 20, 0.5, 3, 6, 0.5, 4, 4, 1.0, 0, 7, 7, 7, 3.0, 5, 0, 1, 3, 5, 27, -1.0, 1, 49, 49, 49, 1, 34, 49, 31, 20, 37, 15, 28, 47, 1, 68, 50, 69, 22, 31, 4, 60, 27, 12, 33, 51
2017-18, 1610612754, IND, Indiana Pacers, 0021701146, 2018-04-01T00:00:00, IND @ LAC, W, 12.0, 9, 20, 0.45, 2, 6, 0.333, 6, 7, 0.857, 3, 4, 7, 6, 1.0, 3, 2, 1, 3, 5, 26, -1.0, 1, 1, 1, 1, 1, 43, 49, 44, 36, 37, 37, 14, 18, 29, 15, 76, 69, 28, 3, 22, 8, 27, 12, 33, 51
2017-18, 1610612754, IND, Indiana Pacers, 0021701127, 2018-03-29T00:00:00, IND @ SAC, W, 12.0, 7, 20, 0.35, 1, 6, 0.167, 3, 3, 1.0, 3, 6, 9, 6, 4.0, 2, 0, 1, 4, 6, 18, -5.0, 1, 1, 1, 1, 1, 66, 49, 66, 56, 37, 66, 47, 61, 1, 15, 66, 49, 28, 52, 37, 60, 27, 33, 17, 66
2017-18, 1610612754, IND, Indiana Pacers, 0021701114, 2018-03-27T00:00:00, IND @ GSW, W, 12.0, 11, 21, 0.524, 3, 7, 0.429, 4, 5, 0.8, 4, 7, 11, 7, 5.0, 4, 1, 1, 4, 6, 29, 7.0, 1, 1, 1, 1, 1, 22, 36, 28, 20, 25, 25, 28, 34, 34, 6, 50, 28, 22, 70, 10, 25, 27, 33, 17, 23
2017-18, 1610612754, IND, Indiana Pacers, 0021701096, 2018-03-25T00:00:00, IND vs. MIA, W, 12.0, 11, 20, 0.55, 1, 3, 0.333, 7, 10, 0.7, 2, 12, 14, 8, 4.0, 3, 2, 1, 3, 6, 30, 9.0, 1, 1, 1, 1, 1, 22, 49, 23, 56, 80, 37, 6, 5, 51, 27, 4, 4, 8, 52, 22, 8, 27, 12, 17, 12
2017-18, 1610612754, IND, Indiana Pacers, 0021701078, 2018-03-23T00:00:00, IND vs. LAC, W, 12.0, 10, 22, 0.455, 4, 8, 0.5, 0, 0, 0.0, 2, 8, 10, 6, 3.0, 2, 1, 0, 4, 4, 24, 1.0, 1, 1, 1, 1, 1, 34, 23, 43, 11, 17, 15, 78, 78, 78, 27, 39, 41, 28, 31, 37, 25, 1, 33, 53, 42
