SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612748, MIA, Miami Heat, 0021701221, 2018-04-11T00:00:00, MIA vs. TOR, W, 12.0, 9, 26, 0.346, 0, 4, 0.0, 6, 6, 1.0, 6, 8, 14, 4, 1.0, 1, 4, 3, 3, 7, 24, -1.0, 1, 1, 1, 1, 1, 37, 3, 70, 78, 77, 78, 6, 14, 1, 1, 41, 7, 55, 3, 39, 2, 70, 8, 7, 41
2017-18, 1610612748, MIA, Miami Heat, 0021701206, 2018-04-09T00:00:00, MIA vs. OKC, L, 12.0, 13, 23, 0.565, 3, 5, 0.6, 0, 0, 0.0, 2, 9, 11, 6, 5.0, 2, 0, 0, 2, 2, 29, 2.0, 1, 45, 45, 45, 1, 4, 14, 9, 17, 68, 7, 75, 78, 75, 31, 32, 34, 25, 57, 21, 64, 1, 2, 73, 28
2017-18, 1610612748, MIA, Miami Heat, 0021701186, 2018-04-06T00:00:00, MIA @ NYK, L, 12.0, 9, 21, 0.429, 2, 6, 0.333, 8, 8, 1.0, 1, 11, 12, 6, 4.0, 0, 3, 2, 5, 6, 28, -5.0, 1, 45, 45, 45, 1, 37, 33, 46, 38, 51, 32, 3, 5, 1, 52, 12, 22, 25, 33, 68, 6, 54, 29, 15, 52
2017-18, 1610612748, MIA, Miami Heat, 0021701172, 2018-04-04T00:00:00, MIA @ ATL, W, 12.0, 12, 27, 0.444, 6, 14, 0.429, 1, 1, 1.0, 3, 11, 14, 7, 2.0, 1, 2, 3, 4, 5, 31, 10.0, 1, 1, 1, 1, 1, 7, 1, 39, 2, 1, 22, 67, 73, 1, 18, 12, 7, 16, 7, 39, 12, 70, 16, 26, 8
2017-18, 1610612748, MIA, Miami Heat, 0021701158, 2018-04-03T00:00:00, MIA vs. ATL, W, 12.0, 10, 19, 0.526, 3, 10, 0.3, 3, 3, 1.0, 0, 10, 10, 7, 4.0, 2, 0, 0, 5, 5, 26, 4.0, 1, 1, 1, 1, 1, 22, 57, 15, 17, 8, 40, 34, 48, 1, 71, 20, 43, 16, 33, 21, 64, 1, 29, 26, 21
2017-18, 1610612748, MIA, Miami Heat, 0021701141, 2018-03-31T00:00:00, MIA vs. BKN, L, 12.0, 8, 18, 0.444, 0, 4, 0.0, 5, 6, 0.833, 2, 8, 10, 1, 6.0, 2, 0, 0, 6, 7, 21, -11.0, 1, 45, 45, 45, 1, 51, 69, 39, 78, 77, 78, 12, 14, 34, 31, 41, 43, 81, 70, 21, 64, 1, 44, 7, 70
2017-18, 1610612748, MIA, Miami Heat, 0021701125, 2018-03-29T00:00:00, MIA vs. CHI, W, 12.0, 11, 20, 0.55, 1, 5, 0.2, 4, 4, 1.0, 2, 9, 11, 4, 5.0, 3, 3, 1, 5, 2, 27, 5.0, 1, 1, 1, 1, 1, 13, 45, 11, 56, 68, 56, 19, 34, 1, 31, 32, 34, 55, 57, 11, 6, 24, 29, 73, 18
2017-18, 1610612748, MIA, Miami Heat, 0021701110, 2018-03-27T00:00:00, MIA vs. CLE, W, 12.0, 9, 22, 0.409, 1, 8, 0.125, 2, 2, 1.0, 5, 8, 13, 5, 4.0, 1, 1, 0, 6, 3, 21, -4.0, 1, 1, 1, 1, 1, 37, 21, 51, 56, 22, 72, 49, 60, 1, 2, 41, 13, 38, 33, 39, 30, 1, 44, 60, 49
2017-18, 1610612748, MIA, Miami Heat, 0021701096, 2018-03-25T00:00:00, MIA @ IND, L, 12.0, 9, 23, 0.391, 3, 9, 0.333, 0, 0, 0.0, 2, 5, 7, 7, 3.0, 2, 1, 2, 6, 3, 21, -9.0, 1, 45, 45, 45, 1, 37, 14, 58, 17, 12, 32, 75, 78, 75, 31, 70, 71, 16, 24, 21, 30, 54, 44, 60, 65
2017-18, 1610612748, MIA, Miami Heat, 0021701084, 2018-03-23T00:00:00, MIA @ OKC, L, 12.0, 7, 23, 0.304, 3, 9, 0.333, 9, 9, 1.0, 2, 12, 14, 3, 2.0, 1, 1, 0, 6, 8, 26, 6.0, 1, 45, 45, 45, 1, 65, 14, 74, 17, 12, 32, 2, 4, 1, 31, 3, 7, 70, 7, 39, 30, 1, 44, 4, 15
2017-18, 1610612748, MIA, Miami Heat, 0021701068, 2018-03-21T00:00:00, MIA vs. NYK, W, 12.0, 13, 17, 0.765, 5, 7, 0.714, 4, 6, 0.667, 0, 6, 6, 10, 2.0, 1, 1, 0, 6, 6, 35, 5.0, 1, 1, 1, 1, 1, 4, 74, 1, 3, 36, 2, 19, 14, 52, 71, 63, 80, 1, 7, 39, 30, 1, 44, 15, 18
2017-18, 1610612748, MIA, Miami Heat, 0021701054, 2018-03-19T00:00:00, MIA vs. DEN, W, 12.0, 12, 24, 0.5, 4, 7, 0.571, 0, 2, 0.0, 2, 8, 10, 10, 2.0, 2, 2, 2, 4, 3, 28, 0.0, 1, 1, 1, 1, 1, 7, 9, 19, 10, 36, 10, 75, 60, 75, 31, 41, 43, 1, 7, 21, 12, 54, 16, 60, 38
2017-18, 1610612748, MIA, Miami Heat, 0021701034, 2018-03-16T00:00:00, MIA @ LAL, W, 12.0, 10, 21, 0.476, 0, 3, 0.0, 4, 6, 0.667, 1, 7, 8, 7, 4.0, 4, 2, 1, 6, 5, 24, 3.0, 1, 1, 1, 1, 1, 22, 33, 26, 78, 81, 78, 19, 14, 52, 52, 52, 61, 16, 33, 5, 12, 24, 44, 26, 23
2017-18, 1610612748, MIA, Miami Heat, 0021701018, 2018-03-14T00:00:00, MIA @ SAC, L, 12.0, 10, 25, 0.4, 5, 10, 0.5, 2, 2, 1.0, 3, 5, 8, 8, 2.0, 3, 1, 3, 2, 2, 27, -5.0, 1, 45, 45, 45, 1, 22, 5, 53, 3, 8, 13, 49, 60, 1, 18, 70, 61, 6, 7, 11, 30, 70, 2, 73, 52
2017-18, 1610612748, MIA, Miami Heat, 0021701004, 2018-03-12T00:00:00, MIA @ POR, L, 12.0, 10, 21, 0.476, 3, 6, 0.5, 2, 5, 0.4, 3, 8, 11, 6, 4.0, 1, 0, 2, 9, 6, 25, -4.0, 1, 45, 45, 45, 1, 22, 33, 26, 17, 51, 13, 49, 25, 70, 18, 41, 34, 25, 33, 39, 64, 54, 80, 15, 49
2017-18, 1610612748, MIA, Miami Heat, 0021700988, 2018-03-10T00:00:00, MIA vs. WAS, W, 12.0, 15, 21, 0.714, 3, 6, 0.5, 10, 13, 0.769, 0, 13, 13, 8, 0.0, 1, 1, 0, 7, 9, 43, 15.0, 1, 1, 1, 1, 1, 1, 33, 2, 17, 51, 13, 1, 1, 42, 71, 2, 13, 6, 1, 39, 30, 1, 64, 2, 2
2017-18, 1610612748, MIA, Miami Heat, 0021700973, 2018-03-08T00:00:00, MIA vs. PHI, W, 12.0, 7, 20, 0.35, 1, 6, 0.167, 5, 10, 0.5, 1, 10, 11, 5, 4.0, 5, 2, 1, 4, 9, 20, -5.0, 1, 1, 1, 1, 1, 65, 45, 69, 56, 51, 61, 12, 3, 64, 52, 20, 34, 38, 33, 2, 12, 24, 16, 2, 52
2017-18, 1610612748, MIA, Miami Heat, 0021700959, 2018-03-06T00:00:00, MIA @ WAS, L, 12.0, 12, 22, 0.545, 3, 9, 0.333, 3, 4, 0.75, 4, 4, 8, 7, 5.0, 5, 1, 0, 3, 2, 30, 3.0, 1, 45, 45, 45, 1, 7, 21, 12, 17, 12, 32, 34, 34, 43, 8, 79, 61, 16, 57, 2, 30, 1, 8, 73, 23
2017-18, 1610612748, MIA, Miami Heat, 0021700952, 2018-03-05T00:00:00, MIA vs. PHX, W, 12.0, 14, 25, 0.56, 1, 9, 0.111, 3, 3, 1.0, 5, 7, 12, 9, 3.0, 2, 4, 0, 2, 4, 32, 0.0, 1, 1, 1, 1, 1, 3, 5, 10, 56, 12, 76, 34, 48, 1, 2, 52, 22, 3, 24, 21, 2, 1, 2, 44, 38
