SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701227, 2018-04-11T00:00:00, OKC vs. MEM, W, 12.0, 11, 25, 0.44, 3, 14, 0.214, 3, 4, 0.75, 2, 9, 11, 6, 2.0, 1, 0, 0, 5, 4, 28, -11.0, 1, 1, 1, 1, 1, 21, 5, 41, 19, 1, 59, 45, 51, 38, 39, 20, 25, 18, 11, 49, 45, 1, 30, 52, 68
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701206, 2018-04-09T00:00:00, OKC @ MIA, W, 12.0, 10, 23, 0.435, 4, 12, 0.333, 3, 3, 1.0, 2, 7, 9, 7, 3.0, 2, 0, 0, 2, 2, 27, -2.0, 1, 1, 1, 1, 1, 28, 15, 42, 8, 2, 32, 45, 63, 1, 39, 33, 45, 10, 27, 23, 45, 1, 2, 75, 39
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701194, 2018-04-07T00:00:00, OKC @ HOU, W, 12.0, 6, 21, 0.286, 1, 9, 0.111, 6, 7, 0.857, 3, 4, 7, 5, 4.0, 2, 0, 0, 7, 8, 19, -2.0, 1, 1, 1, 1, 1, 68, 39, 72, 59, 17, 69, 19, 28, 20, 21, 72, 64, 32, 43, 23, 45, 1, 57, 5, 39
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701163, 2018-04-03T00:00:00, OKC vs. GSW, L, 12.0, 13, 29, 0.448, 2, 8, 0.25, 6, 8, 0.75, 8, 12, 20, 2, 4.0, 2, 0, 2, 2, 6, 34, 7.0, 1, 46, 46, 46, 1, 5, 1, 39, 41, 25, 47, 19, 23, 38, 2, 2, 2, 68, 43, 23, 45, 60, 2, 28, 14
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701150, 2018-04-01T00:00:00, OKC @ NOP, W, 12.0, 9, 24, 0.375, 3, 10, 0.3, 6, 7, 0.857, 5, 5, 10, 4, 5.0, 5, 0, 1, 4, 5, 27, 2.0, 1, 1, 1, 1, 1, 37, 9, 59, 19, 9, 40, 19, 28, 20, 7, 63, 30, 41, 55, 4, 45, 26, 17, 38, 24
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701133, 2018-03-30T00:00:00, OKC vs. DEN, L, 12.0, 7, 21, 0.333, 3, 9, 0.333, 4, 4, 1.0, 3, 5, 8, 5, 1.0, 2, 0, 0, 5, 4, 21, -9.0, 1, 46, 46, 46, 1, 63, 39, 64, 19, 17, 32, 36, 51, 1, 21, 63, 52, 32, 3, 23, 45, 1, 30, 52, 64
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701126, 2018-03-29T00:00:00, OKC @ SAS, L, 12.0, 9, 21, 0.429, 2, 7, 0.286, 5, 5, 1.0, 1, 12, 13, 3, 3.0, 2, 1, 3, 4, 4, 25, 7.0, 1, 46, 46, 46, 1, 37, 39, 45, 41, 39, 43, 31, 45, 1, 63, 2, 13, 59, 27, 23, 26, 74, 17, 52, 14
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701100, 2018-03-25T00:00:00, OKC vs. POR, L, 12.0, 9, 21, 0.429, 1, 5, 0.2, 9, 10, 0.9, 6, 4, 10, 4, 4.0, 3, 2, 3, 7, 7, 28, 3.0, 1, 46, 46, 46, 1, 37, 39, 45, 59, 67, 60, 7, 14, 19, 5, 72, 30, 41, 43, 11, 11, 74, 57, 13, 22
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701084, 2018-03-23T00:00:00, OKC vs. MIA, W, 12.0, 6, 23, 0.261, 0, 5, 0.0, 8, 12, 0.667, 4, 12, 16, 2, 2.0, 2, 0, 1, 8, 6, 20, -6.0, 1, 1, 1, 1, 1, 68, 15, 76, 71, 67, 71, 10, 7, 47, 11, 2, 4, 68, 11, 23, 45, 26, 67, 28, 53
2017-18, 1610612760, OKC, Oklahoma City Thunder, 0021701059, 2018-03-20T00:00:00, OKC @ BOS, L, 12.0, 9, 21, 0.429, 3, 6, 0.5, 6, 11, 0.545, 4, 7, 11, 6, 3.0, 1, 0, 1, 8, 8, 27, -1.0, 1, 46, 46, 46, 1, 37, 39, 45, 19, 52, 10, 19, 11, 60, 11, 33, 25, 18, 27, 49, 45, 26, 67, 5, 33
