SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612753, ORL, Orlando Magic, 0021701222, 2018-04-11T00:00:00, ORL vs. WAS, W, 12.0, 5, 17, 0.294, 2, 5, 0.4, 9, 10, 0.9, 3, 4, 7, 3, 6.0, 1, 0, 1, 8, 8, 21, -9.0, 1, 1, 1, 1, 1, 78, 80, 75, 51, 71, 40, 3, 6, 22, 14, 76, 67, 71, 71, 48, 53, 22, 75, 4, 64
2017-18, 1610612753, ORL, Orlando Magic, 0021701208, 2018-04-09T00:00:00, ORL @ MIL, L, 12.0, 11, 22, 0.5, 2, 5, 0.4, 1, 1, 1.0, 1, 8, 9, 8, 5.0, 2, 1, 1, 5, 4, 25, -4.0, 1, 26, 26, 26, 1, 25, 29, 31, 51, 71, 40, 72, 75, 1, 46, 35, 42, 13, 59, 28, 28, 22, 40, 46, 52
2017-18, 1610612753, ORL, Orlando Magic, 0021701200, 2018-04-08T00:00:00, ORL @ TOR, L, 12.0, 11, 23, 0.478, 2, 8, 0.25, 0, 0, 0.0, 2, 8, 10, 4, 3.0, 4, 2, 2, 2, 2, 24, -4.0, 1, 26, 26, 26, 1, 25, 12, 38, 51, 29, 64, 77, 77, 77, 27, 35, 29, 62, 26, 8, 12, 51, 2, 75, 52
2017-18, 1610612753, ORL, Orlando Magic, 0021701182, 2018-04-06T00:00:00, ORL vs. CHA, L, 12.0, 12, 26, 0.462, 1, 4, 0.25, 1, 2, 0.5, 6, 5, 11, 9, 3.0, 2, 2, 2, 5, 3, 26, -5.0, 1, 26, 26, 26, 1, 13, 2, 45, 70, 78, 64, 72, 66, 69, 2, 67, 18, 10, 26, 28, 12, 51, 40, 66, 56
2017-18, 1610612753, ORL, Orlando Magic, 0021701170, 2018-04-04T00:00:00, ORL vs. DAL, W, 12.0, 7, 19, 0.368, 2, 7, 0.286, 5, 6, 0.833, 1, 9, 10, 5, 4.0, 2, 3, 0, 4, 4, 21, -2.0, 1, 1, 1, 1, 1, 67, 64, 62, 51, 39, 57, 22, 26, 26, 46, 19, 29, 47, 40, 28, 2, 1, 14, 46, 47
2017-18, 1610612753, ORL, Orlando Magic, 0021701159, 2018-04-03T00:00:00, ORL @ NYK, W, 12.0, 9, 23, 0.391, 2, 9, 0.222, 2, 2, 1.0, 2, 9, 11, 6, 2.0, 3, 1, 3, 2, 3, 22, 6.0, 1, 1, 1, 1, 1, 49, 12, 60, 51, 17, 68, 55, 66, 1, 27, 19, 18, 35, 10, 17, 28, 64, 2, 66, 16
2017-18, 1610612753, ORL, Orlando Magic, 0021701147, 2018-04-01T00:00:00, ORL @ ATL, L, 12.0, 8, 25, 0.32, 2, 8, 0.25, 3, 4, 0.75, 4, 11, 15, 6, 0.0, 1, 3, 0, 3, 6, 21, 8.0, 1, 26, 26, 26, 1, 58, 5, 69, 51, 29, 64, 45, 46, 42, 7, 5, 5, 35, 1, 48, 2, 1, 6, 15, 10
2017-18, 1610612753, ORL, Orlando Magic, 0021701129, 2018-03-30T00:00:00, ORL vs. CHI, L, 12.0, 9, 25, 0.36, 2, 10, 0.2, 5, 6, 0.833, 4, 17, 21, 5, 5.0, 7, 3, 3, 4, 6, 25, 16.0, 1, 26, 26, 26, 1, 49, 5, 64, 51, 7, 70, 22, 26, 26, 7, 1, 1, 47, 59, 1, 2, 64, 14, 15, 3
2017-18, 1610612753, ORL, Orlando Magic, 0021701117, 2018-03-28T00:00:00, ORL vs. BKN, L, 12.0, 11, 22, 0.5, 3, 7, 0.429, 5, 6, 0.833, 4, 10, 14, 6, 2.0, 0, 1, 1, 4, 5, 30, 3.0, 1, 26, 26, 26, 1, 25, 29, 31, 25, 39, 32, 22, 26, 26, 7, 12, 7, 35, 10, 73, 28, 22, 14, 31, 28
2017-18, 1610612753, ORL, Orlando Magic, 0021701090, 2018-03-24T00:00:00, ORL vs. PHX, W, 12.0, 13, 24, 0.542, 2, 7, 0.286, 11, 14, 0.786, 4, 12, 16, 7, 2.0, 4, 3, 1, 4, 9, 39, 11.0, 1, 1, 1, 1, 1, 7, 9, 25, 51, 39, 57, 1, 1, 41, 7, 3, 3, 24, 10, 8, 2, 22, 14, 2, 8
2017-18, 1610612753, ORL, Orlando Magic, 0021701073, 2018-03-22T00:00:00, ORL vs. PHI, L, 12.0, 4, 23, 0.174, 3, 10, 0.3, 5, 6, 0.833, 2, 8, 10, 4, 4.0, 5, 0, 3, 5, 4, 16, -9.0, 1, 26, 26, 26, 1, 82, 12, 82, 25, 7, 55, 22, 26, 26, 27, 35, 29, 62, 40, 3, 53, 64, 40, 46, 64
2017-18, 1610612753, ORL, Orlando Magic, 0021701058, 2018-03-20T00:00:00, ORL vs. TOR, L, 12.0, 11, 22, 0.5, 3, 6, 0.5, 0, 0, 0.0, 0, 11, 11, 6, 4.0, 5, 1, 3, 3, 3, 25, 9.0, 1, 26, 26, 26, 1, 25, 29, 31, 25, 58, 18, 77, 77, 77, 73, 5, 18, 35, 40, 3, 28, 64, 6, 66, 9
2017-18, 1610612753, ORL, Orlando Magic, 0021701029, 2018-03-16T00:00:00, ORL vs. BOS, L, 12.0, 9, 22, 0.409, 1, 8, 0.125, 2, 3, 0.667, 1, 9, 10, 3, 4.0, 2, 0, 3, 8, 4, 21, -6.0, 1, 26, 26, 26, 1, 49, 29, 56, 70, 29, 78, 55, 58, 54, 46, 19, 29, 71, 40, 28, 53, 64, 75, 46, 57
2017-18, 1610612753, ORL, Orlando Magic, 0021701016, 2018-03-14T00:00:00, ORL vs. MIL, W, 12.0, 12, 23, 0.522, 3, 5, 0.6, 3, 5, 0.6, 3, 8, 11, 10, 3.0, 2, 1, 4, 3, 3, 30, 2.0, 1, 1, 1, 1, 1, 13, 12, 29, 25, 71, 6, 45, 37, 67, 14, 35, 18, 3, 26, 28, 28, 79, 6, 66, 33
2017-18, 1610612753, ORL, Orlando Magic, 0021701012, 2018-03-13T00:00:00, ORL @ SAS, L, 12.0, 6, 18, 0.333, 3, 6, 0.5, 5, 5, 1.0, 1, 8, 9, 4, 6.0, 0, 0, 0, 4, 4, 20, -14.0, 1, 26, 26, 26, 1, 73, 73, 68, 25, 58, 18, 22, 37, 1, 46, 35, 42, 62, 71, 73, 53, 1, 14, 46, 78
2017-18, 1610612753, ORL, Orlando Magic, 0021700991, 2018-03-10T00:00:00, ORL @ LAC, L, 12.0, 10, 21, 0.476, 3, 9, 0.333, 8, 10, 0.8, 1, 5, 6, 5, 4.0, 3, 0, 1, 5, 6, 31, 0.0, 1, 26, 26, 26, 1, 35, 40, 40, 25, 17, 50, 7, 6, 33, 46, 67, 77, 47, 40, 17, 53, 22, 40, 15, 38
