SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612758, SAC, Sacramento Kings, 0021701230, 2018-04-11T00:00:00, SAC vs. HOU, W, 12.0, 11, 20, 0.55, 1, 2, 0.5, 4, 6, 0.667, 2, 8, 10, 4, 4.0, 3, 0, 1, 3, 7, 27, 8.0, 1, 1, 1, 1, 1, 18, 47, 12, 55, 77, 15, 20, 18, 43, 28, 33, 35, 47, 40, 11, 54, 29, 5, 3, 6
2017-18, 1610612758, SAC, Sacramento Kings, 0021701210, 2018-04-09T00:00:00, SAC @ SAS, L, 12.0, 6, 17, 0.353, 0, 3, 0.0, 4, 6, 0.667, 2, 12, 14, 3, 3.0, 0, 0, 0, 3, 4, 16, -1.0, 1, 28, 28, 28, 1, 73, 77, 59, 74, 70, 74, 20, 18, 43, 28, 2, 5, 59, 25, 67, 54, 1, 5, 36, 36
2017-18, 1610612758, SAC, Sacramento Kings, 0021701188, 2018-04-06T00:00:00, SAC @ MEM, W, 12.0, 9, 22, 0.409, 3, 10, 0.3, 3, 3, 1.0, 5, 10, 15, 5, 6.0, 2, 1, 0, 5, 2, 24, 9.0, 1, 1, 1, 1, 1, 33, 25, 45, 12, 2, 50, 32, 43, 1, 4, 10, 2, 29, 70, 25, 23, 1, 37, 76, 4
2017-18, 1610612758, SAC, Sacramento Kings, 0021701167, 2018-04-03T00:00:00, SAC @ PHX, L, 12.0, 8, 18, 0.444, 5, 8, 0.625, 8, 9, 0.889, 3, 10, 13, 6, 5.0, 0, 0, 1, 5, 9, 29, 2.0, 1, 28, 28, 28, 1, 48, 68, 41, 1, 11, 10, 1, 1, 23, 15, 10, 13, 20, 56, 67, 54, 29, 37, 1, 24
2017-18, 1610612758, SAC, Sacramento Kings, 0021701155, 2018-04-01T00:00:00, SAC @ LAL, W, 12.0, 7, 20, 0.35, 2, 6, 0.333, 1, 2, 0.5, 2, 9, 11, 5, 4.0, 2, 1, 0, 6, 4, 17, -4.0, 1, 1, 1, 1, 1, 61, 47, 60, 33, 32, 40, 62, 54, 58, 28, 24, 28, 29, 40, 25, 23, 1, 53, 36, 44
2017-18, 1610612758, SAC, Sacramento Kings, 0021701142, 2018-03-31T00:00:00, SAC vs. GSW, L, 12.0, 8, 26, 0.308, 2, 9, 0.222, 2, 2, 1.0, 2, 8, 10, 6, 2.0, 2, 1, 3, 7, 3, 20, -16.0, 1, 28, 28, 28, 1, 48, 4, 72, 33, 7, 60, 41, 54, 1, 28, 33, 35, 20, 9, 25, 23, 75, 69, 56, 78
2017-18, 1610612758, SAC, Sacramento Kings, 0021701127, 2018-03-29T00:00:00, SAC vs. IND, L, 12.0, 10, 19, 0.526, 3, 5, 0.6, 0, 0, 0.0, 2, 7, 9, 5, 5.0, 1, 1, 0, 6, 4, 23, 5.0, 1, 28, 28, 28, 1, 28, 57, 18, 12, 45, 11, 73, 76, 73, 28, 46, 44, 29, 56, 48, 23, 1, 53, 36, 13
2017-18, 1610612758, SAC, Sacramento Kings, 0021701113, 2018-03-27T00:00:00, SAC vs. DAL, L, 12.0, 11, 23, 0.478, 1, 4, 0.25, 2, 5, 0.4, 2, 10, 12, 7, 3.0, 2, 2, 1, 5, 5, 25, 3.0, 1, 28, 28, 28, 1, 18, 17, 32, 55, 62, 55, 41, 27, 68, 28, 10, 20, 9, 25, 25, 12, 29, 37, 24, 20
2017-18, 1610612758, SAC, Sacramento Kings, 0021701099, 2018-03-25T00:00:00, SAC vs. BOS, L, 12.0, 8, 20, 0.4, 0, 5, 0.0, 2, 2, 1.0, 1, 7, 8, 3, 4.0, 2, 1, 0, 5, 2, 18, -10.0, 1, 28, 28, 28, 1, 48, 47, 48, 74, 45, 74, 41, 54, 1, 57, 46, 57, 59, 40, 25, 23, 1, 37, 76, 71
2017-18, 1610612758, SAC, Sacramento Kings, 0021701077, 2018-03-22T00:00:00, SAC vs. ATL, W, 12.0, 11, 23, 0.478, 3, 3, 1.0, 6, 6, 1.0, 1, 8, 9, 9, 4.0, 2, 3, 1, 3, 3, 31, 4.0, 1, 1, 1, 1, 1, 18, 17, 32, 12, 70, 1, 9, 18, 1, 57, 33, 44, 3, 40, 25, 1, 29, 5, 56, 17
2017-18, 1610612758, SAC, Sacramento Kings, 0021701057, 2018-03-19T00:00:00, SAC vs. DET, L, 12.0, 10, 20, 0.5, 2, 4, 0.5, 0, 3, 0.0, 0, 9, 9, 5, 3.0, 0, 0, 1, 6, 4, 22, -7.0, 1, 28, 28, 28, 1, 28, 47, 25, 33, 62, 15, 73, 43, 73, 72, 24, 44, 29, 25, 67, 54, 29, 53, 36, 59
2017-18, 1610612758, SAC, Sacramento Kings, 0021701043, 2018-03-17T00:00:00, SAC @ UTA, L, 12.0, 9, 23, 0.391, 3, 5, 0.6, 4, 7, 0.571, 1, 7, 8, 4, 2.0, 1, 0, 2, 8, 4, 25, -5.0, 1, 28, 28, 28, 1, 33, 17, 50, 12, 45, 11, 20, 12, 57, 57, 46, 57, 47, 9, 48, 54, 60, 79, 36, 53
2017-18, 1610612758, SAC, Sacramento Kings, 0021701033, 2018-03-16T00:00:00, SAC @ GSW, W, 12.0, 8, 24, 0.333, 2, 7, 0.286, 0, 0, 0.0, 2, 11, 13, 5, 2.0, 2, 1, 1, 5, 3, 18, 2.0, 1, 1, 1, 1, 1, 48, 10, 61, 33, 22, 52, 73, 76, 73, 28, 6, 13, 29, 9, 25, 23, 29, 37, 56, 24
2017-18, 1610612758, SAC, Sacramento Kings, 0021701018, 2018-03-14T00:00:00, SAC vs. MIA, W, 12.0, 13, 19, 0.684, 3, 5, 0.6, 3, 3, 1.0, 0, 10, 10, 7, 5.0, 0, 3, 1, 2, 2, 32, 5.0, 1, 1, 1, 1, 1, 3, 57, 2, 12, 45, 11, 32, 43, 1, 72, 10, 35, 9, 56, 67, 1, 29, 4, 76, 13
2017-18, 1610612758, SAC, Sacramento Kings, 0021701003, 2018-03-12T00:00:00, SAC @ OKC, L, 12.0, 17, 27, 0.63, 4, 10, 0.4, 1, 1, 1.0, 2, 10, 12, 10, 2.0, 2, 1, 0, 6, 3, 39, 7.0, 1, 28, 28, 28, 1, 1, 1, 5, 2, 2, 30, 62, 72, 1, 28, 10, 20, 1, 9, 25, 23, 1, 53, 56, 7
2017-18, 1610612758, SAC, Sacramento Kings, 0021700996, 2018-03-11T00:00:00, SAC @ DEN, L, 12.0, 8, 26, 0.308, 1, 8, 0.125, 2, 2, 1.0, 3, 8, 11, 6, 2.0, 0, 0, 2, 5, 3, 19, -16.0, 1, 28, 28, 28, 1, 48, 4, 72, 55, 11, 72, 41, 54, 1, 15, 33, 28, 20, 9, 67, 54, 60, 37, 56, 78
2017-18, 1610612758, SAC, Sacramento Kings, 0021700985, 2018-03-09T00:00:00, SAC vs. ORL, W, 12.0, 12, 20, 0.6, 4, 8, 0.5, 5, 7, 0.714, 1, 12, 13, 7, 1.0, 1, 0, 0, 7, 4, 33, 7.0, 1, 1, 1, 1, 1, 9, 47, 7, 2, 11, 15, 12, 12, 40, 57, 2, 13, 9, 1, 48, 54, 1, 69, 36, 7
2017-18, 1610612758, SAC, Sacramento Kings, 0021700969, 2018-03-07T00:00:00, SAC vs. NOP, L, 12.0, 8, 22, 0.364, 1, 7, 0.143, 6, 6, 1.0, 4, 8, 12, 3, 1.0, 2, 1, 1, 4, 6, 23, 0.0, 1, 28, 28, 28, 1, 48, 25, 57, 55, 22, 70, 9, 18, 1, 7, 33, 20, 59, 1, 25, 23, 29, 17, 9, 33
2017-18, 1610612758, SAC, Sacramento Kings, 0021700949, 2018-03-04T00:00:00, SAC vs. NYK, W, 12.0, 12, 21, 0.571, 4, 11, 0.364, 4, 4, 1.0, 0, 9, 9, 6, 1.0, 1, 1, 0, 4, 3, 32, 6.0, 1, 1, 1, 1, 1, 9, 36, 9, 2, 1, 39, 20, 35, 1, 72, 24, 44, 20, 1, 48, 23, 1, 17, 56, 10
