PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, G, MIN, CONTESTED_SHOTS, CONTESTED_SHOTS_2PT, CONTESTED_SHOTS_3PT, CHARGES_DRAWN, DEFLECTIONS, LOOSE_BALLS_RECOVERED, BOX_OUTS
201166, Aaron Brooks, 1610612750, MIN, 33.0, 32, 6.0, 1.53, 0.59, 0.94, 0.03, 0.31, 0.22, 0.19
203932, Aaron Gordon, 1610612753, ORL, 22.0, 58, 33.0, 6.47, 4.69, 1.78, 0.07, 1.41, 1.21, 2.72
1626151, Aaron Harrison, 1610612742, DAL, 23.0, 9, 26.0, 6.56, 3.33, 3.22, 0.0, 2.0, 0.89, 0.78
1628935, Aaron Jackson, 1610612745, HOU, 32.0, 1, 35.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0
1627846, Abdel Nader, 1610612738, BOS, 24.0, 48, 11.0, 2.77, 1.46, 1.31, 0.0, 0.69, 0.38, 0.83
203940, Adreian Payne, 1610612753, ORL, 27.0, 5, 9.0, 1.4, 1.2, 0.2, 0.0, 1.0, 0.0, 2.2
201143, Al Horford, 1610612738, BOS, 32.0, 71, 32.0, 12.24, 8.77, 3.46, 0.0, 1.31, 0.8, 6.73
2744, Al Jefferson, 1610612754, IND, 33.0, 36, 13.0, 4.83, 4.19, 0.64, 0.06, 0.89, 0.33, 2.97
202329, Al-Farouq Aminu, 1610612757, POR, 27.0, 69, 30.0, 8.67, 5.67, 3.0, 0.0, 2.23, 1.23, 3.93
1626210, Alan Williams, 1610612756, PHX, 25.0, 5, 14.0, 2.2, 1.2, 1.0, 0.0, 1.0, 0.2, 3.4
202692, Alec Burks, 1610612762, UTA, 26.0, 64, 17.0, 2.97, 1.61, 1.36, 0.02, 0.86, 0.56, 0.45
1628409, Alec Peters, 1610612756, PHX, 23.0, 20, 11.0, 2.95, 1.55, 1.4, 0.1, 0.5, 0.3, 2.05
203518, Alex Abrines, 1610612760, OKC, 24.0, 75, 15.0, 3.97, 2.04, 1.93, 0.03, 0.89, 0.51, 0.89
1627936, Alex Caruso, 1610612747, LAL, 24.0, 37, 15.0, 3.7, 2.11, 1.59, 0.08, 1.24, 0.59, 0.84
203458, Alex Len, 1610612756, PHX, 25.0, 69, 20.0, 9.28, 8.14, 1.13, 0.0, 0.75, 0.51, 7.59
1627816, Alex Poythress, 1610612754, IND, 24.0, 25, 4.0, 1.04, 0.64, 0.4, 0.0, 0.16, 0.12, 0.52
1628035, Alfonzo McKinnie, 1610612761, TOR, 25.0, 14, 4.0, 0.79, 0.5, 0.29, 0.0, 0.14, 0.0, 0.5
203459, Allen Crabbe, 1610612751, BKN, 26.0, 75, 29.0, 5.51, 3.47, 2.04, 0.01, 1.49, 0.87, 0.53
101161, Amir Johnson, 1610612755, PHI, 31.0, 74, 16.0, 5.54, 4.73, 0.81, 0.08, 0.97, 0.68, 5.46
203083, Andre Drummond, 1610612765, DET, 24.0, 78, 34.0, 11.22, 9.24, 1.97, 0.01, 3.21, 1.18, 9.17
2738, Andre Iguodala, 1610612744, GSW, 34.0, 64, 25.0, 4.95, 2.7, 2.25, 0.02, 1.44, 1.19, 2.63
201281, Andre Ingram, 1610612747, LAL, 32.0, 2, 32.0, 7.0, 3.0, 4.0, 1.0, 1.0, 1.0, 0.0
203460, Andre Roberson, 1610612760, OKC, 26.0, 39, 27.0, 8.23, 4.97, 3.26, 0.03, 2.26, 1.31, 2.79
101106, Andrew Bogut, 1610612747, LAL, 33.0, 24, 9.0, 3.0, 2.5, 0.5, 0.08, 0.29, 0.17, 3.17
1626150, Andrew Harrison, 1610612763, MEM, 23.0, 56, 24.0, 5.0, 2.3, 2.7, 0.21, 1.7, 0.93, 0.61
1628510, Andrew White III, 1610612737, ATL, 25.0, 15, 14.0, 2.53, 0.93, 1.6, 0.0, 0.33, 0.67, 0.47
203952, Andrew Wiggins, 1610612750, MIN, 23.0, 82, 36.0, 9.01, 4.28, 4.73, 0.0, 1.7, 1.09, 1.72
1627790, Ante Zizic, 1610612739, CLE, 21.0, 32, 7.0, 2.59, 2.16, 0.44, 0.0, 0.13, 0.06, 3.06
1626148, Anthony Brown, 1610612750, MIN, 25.0, 1, 4.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
203076, Anthony Davis, 1610612740, NOP, 25.0, 75, 36.0, 14.28, 9.83, 4.45, 0.15, 2.4, 1.48, 5.91
201229, Anthony Tolliver, 1610612765, DET, 33.0, 79, 22.0, 6.29, 3.89, 2.41, 0.23, 0.7, 0.72, 4.15
1628469, Antonio Blakeney, 1610612741, CHI, 21.0, 19, 17.0, 4.0, 1.79, 2.21, 0.0, 0.63, 0.26, 0.58
1628499, Antonius Cleveland, 1610612737, ATL, 24.0, 17, 7.0, 1.24, 0.71, 0.53, 0.06, 0.88, 0.18, 1.06
203382, Aron Baynes, 1610612738, BOS, 31.0, 80, 18.0, 8.54, 7.06, 1.48, 0.21, 0.3, 0.45, 6.95
201167, Arron Afflalo, 1610612753, ORL, 32.0, 53, 13.0, 2.87, 1.53, 1.34, 0.0, 0.15, 0.21, 1.36
203085, Austin Rivers, 1610612746, LAC, 25.0, 61, 34.0, 4.84, 2.95, 1.89, 0.05, 2.0, 1.1, 1.26
202340, Avery Bradley, 1610612746, LAC, 27.0, 46, 31.0, 5.02, 2.0, 3.02, 0.11, 1.93, 0.89, 0.96
1628389, Bam Adebayo, 1610612748, MIA, 20.0, 69, 20.0, 6.65, 4.81, 1.84, 0.01, 1.06, 0.67, 6.61
203463, Ben McLemore, 1610612763, MEM, 25.0, 56, 19.0, 3.41, 1.57, 1.84, 0.04, 1.32, 0.75, 1.3
1628500, Ben Moore, 1610612754, IND, 23.0, 2, 5.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5
1627732, Ben Simmons, 1610612755, PHI, 21.0, 81, 34.0, 8.15, 4.4, 3.75, 0.04, 2.89, 1.83, 1.65
