SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612738, BOS, Boston Celtics, 0021701219, 2018-04-11T00:00:00, BOS vs. BKN, W, 12.0, 11, 29, 0.379, 1, 4, 0.25, 4, 4, 1.0, 5, 12, 17, 5, 3.0, 0, 0, 2, 1, 2, 27, 5.0, 1, 1, 1, 1, 1, 25, 1, 66, 70, 71, 67, 17, 24, 1, 4, 7, 2, 50, 31, 66, 58, 59, 1, 60, 30
2017-18, 1610612738, BOS, Boston Celtics, 0021701215, 2018-04-10T00:00:00, BOS @ WAS, L, 12.0, 10, 23, 0.435, 6, 11, 0.545, 4, 4, 1.0, 3, 11, 14, 8, 5.0, 6, 1, 1, 3, 4, 30, 8.0, 1, 56, 56, 56, 1, 40, 29, 50, 4, 3, 25, 17, 24, 1, 14, 17, 12, 12, 63, 1, 37, 30, 11, 22, 20
2017-18, 1610612738, BOS, Boston Celtics, 0021701202, 2018-04-08T00:00:00, BOS vs. ATL, L, 12.0, 13, 23, 0.565, 3, 5, 0.6, 2, 4, 0.5, 3, 8, 11, 11, 1.0, 3, 3, 1, 4, 5, 31, 7.0, 1, 56, 56, 56, 1, 9, 29, 18, 28, 63, 16, 42, 24, 55, 14, 54, 44, 2, 2, 10, 2, 30, 36, 9, 24
2017-18, 1610612738, BOS, Boston Celtics, 0021701185, 2018-04-06T00:00:00, BOS vs. CHI, W, 12.0, 13, 23, 0.565, 3, 10, 0.3, 1, 3, 0.333, 2, 9, 11, 8, 4.0, 2, 2, 0, 3, 5, 30, 0.0, 1, 1, 1, 1, 1, 9, 29, 18, 28, 9, 58, 52, 39, 65, 31, 41, 44, 12, 46, 18, 17, 1, 11, 9, 49
2017-18, 1610612738, BOS, Boston Celtics, 0021701171, 2018-04-04T00:00:00, BOS @ TOR, L, 12.0, 8, 19, 0.421, 1, 3, 0.333, 3, 3, 1.0, 2, 14, 16, 4, 5.0, 1, 0, 2, 3, 4, 20, 6.0, 1, 56, 56, 56, 1, 65, 64, 53, 70, 78, 50, 27, 39, 1, 31, 1, 4, 65, 63, 41, 58, 59, 11, 22, 26
2017-18, 1610612738, BOS, Boston Celtics, 0021701162, 2018-04-03T00:00:00, BOS @ MIL, L, 12.0, 11, 19, 0.579, 2, 3, 0.667, 7, 8, 0.875, 1, 5, 6, 7, 2.0, 5, 1, 0, 2, 5, 31, 5.0, 1, 56, 56, 56, 1, 25, 64, 14, 50, 78, 7, 2, 2, 33, 51, 79, 79, 23, 10, 3, 37, 1, 6, 9, 30
2017-18, 1610612738, BOS, Boston Celtics, 0021701140, 2018-03-31T00:00:00, BOS vs. TOR, W, 12.0, 13, 24, 0.542, 4, 4, 1.0, 1, 2, 0.5, 2, 7, 9, 8, 1.0, 0, 0, 0, 2, 5, 31, -2.0, 1, 1, 1, 1, 1, 9, 20, 22, 15, 71, 1, 52, 48, 55, 31, 63, 59, 12, 2, 66, 58, 1, 6, 9, 55
2017-18, 1610612738, BOS, Boston Celtics, 0021701121, 2018-03-28T00:00:00, BOS @ UTA, W, 12.0, 7, 22, 0.318, 2, 3, 0.667, 2, 2, 1.0, 1, 8, 9, 4, 2.0, 3, 0, 3, 1, 3, 18, -6.0, 1, 1, 1, 1, 1, 74, 40, 76, 50, 78, 7, 42, 48, 1, 51, 54, 59, 65, 10, 10, 58, 75, 1, 41, 65
2017-18, 1610612738, BOS, Boston Celtics, 0021701107, 2018-03-26T00:00:00, BOS @ PHX, W, 12.0, 12, 23, 0.522, 5, 7, 0.714, 2, 2, 1.0, 3, 12, 15, 8, 3.0, 1, 1, 1, 4, 4, 31, 16.0, 1, 1, 1, 1, 1, 19, 29, 29, 8, 37, 6, 42, 48, 1, 14, 7, 8, 12, 31, 41, 37, 30, 36, 22, 5
2017-18, 1610612738, BOS, Boston Celtics, 0021701099, 2018-03-25T00:00:00, BOS @ SAC, W, 12.0, 10, 18, 0.556, 3, 5, 0.6, 1, 2, 0.5, 0, 9, 9, 5, 6.0, 2, 1, 0, 4, 2, 24, -3.0, 1, 1, 1, 1, 1, 40, 77, 20, 28, 63, 16, 52, 48, 55, 71, 41, 59, 50, 78, 18, 37, 1, 36, 60, 58
