SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612741, CHI, Chicago Bulls, 0021701224, 2018-04-11T00:00:00, CHI vs. DET, L, 12.0, 8, 23, 0.348, 2, 9, 0.222, 3, 3, 1.0, 2, 5, 7, 6, 3.0, 2, 0, 0, 2, 4, 21, -14.0, 1, 28, 28, 28, 1, 60, 38, 68, 50, 11, 67, 27, 34, 1, 32, 77, 77, 40, 26, 25, 53, 1, 8, 25, 75
2017-18, 1610612741, CHI, Chicago Bulls, 0021701205, 2018-04-09T00:00:00, CHI @ BKN, L, 12.0, 11, 26, 0.423, 2, 7, 0.286, 2, 2, 1.0, 4, 11, 15, 7, 6.0, 3, 1, 3, 5, 3, 26, -3.0, 1, 28, 28, 28, 1, 30, 7, 48, 50, 41, 57, 38, 47, 1, 7, 15, 6, 25, 76, 8, 24, 75, 61, 35, 48
2017-18, 1610612741, CHI, Chicago Bulls, 0021701193, 2018-04-07T00:00:00, CHI vs. BKN, L, 12.0, 10, 23, 0.435, 1, 6, 0.167, 2, 3, 0.667, 1, 7, 8, 6, 3.0, 3, 0, 3, 3, 3, 23, -5.0, 1, 28, 28, 28, 1, 42, 38, 46, 69, 63, 72, 38, 34, 42, 57, 65, 70, 40, 26, 8, 53, 75, 26, 35, 55
2017-18, 1610612741, CHI, Chicago Bulls, 0021701185, 2018-04-06T00:00:00, CHI @ BOS, L, 12.0, 11, 23, 0.478, 4, 6, 0.667, 4, 4, 1.0, 3, 9, 12, 8, 4.0, 3, 0, 2, 5, 3, 30, 0.0, 1, 28, 28, 28, 1, 30, 38, 32, 9, 63, 5, 11, 23, 1, 15, 43, 32, 14, 50, 8, 53, 52, 61, 35, 38
2017-18, 1610612741, CHI, Chicago Bulls, 0021701160, 2018-04-03T00:00:00, CHI vs. CHA, W, 12.0, 7, 22, 0.318, 2, 7, 0.286, 3, 4, 0.75, 3, 11, 14, 4, 4.0, 2, 0, 1, 5, 4, 19, -3.0, 1, 1, 1, 1, 1, 70, 52, 74, 50, 41, 57, 27, 23, 38, 15, 15, 10, 64, 50, 25, 53, 22, 61, 25, 48
2017-18, 1610612741, CHI, Chicago Bulls, 0021701144, 2018-04-01T00:00:00, CHI vs. WAS, W, 12.0, 14, 23, 0.609, 8, 11, 0.727, 0, 0, 0.0, 1, 8, 9, 13, 3.0, 1, 1, 3, 1, 1, 36, 9.0, 1, 1, 1, 1, 1, 6, 38, 4, 1, 3, 4, 67, 70, 67, 57, 53, 63, 1, 26, 51, 24, 75, 2, 71, 7
2017-18, 1610612741, CHI, Chicago Bulls, 0021701129, 2018-03-30T00:00:00, CHI @ ORL, W, 12.0, 11, 21, 0.524, 4, 9, 0.444, 4, 5, 0.8, 2, 11, 13, 7, 4.0, 2, 2, 0, 3, 5, 30, 6.0, 1, 1, 1, 1, 1, 30, 63, 17, 9, 11, 22, 11, 16, 33, 32, 15, 21, 25, 50, 25, 8, 1, 26, 11, 16
2017-18, 1610612741, CHI, Chicago Bulls, 0021701125, 2018-03-29T00:00:00, CHI @ MIA, L, 12.0, 8, 23, 0.348, 1, 6, 0.167, 4, 6, 0.667, 5, 9, 14, 4, 4.0, 2, 1, 2, 5, 5, 21, -8.0, 1, 28, 28, 28, 1, 60, 38, 68, 69, 63, 72, 11, 11, 42, 1, 43, 10, 64, 50, 25, 24, 52, 61, 11, 63
2017-18, 1610612741, CHI, Chicago Bulls, 0021701111, 2018-03-27T00:00:00, CHI @ HOU, L, 12.0, 10, 21, 0.476, 3, 7, 0.429, 0, 1, 0.0, 4, 10, 14, 2, 5.0, 1, 1, 0, 1, 0, 23, -8.0, 1, 28, 28, 28, 1, 42, 63, 34, 23, 41, 26, 67, 65, 67, 7, 25, 10, 80, 67, 51, 24, 1, 2, 81, 63
2017-18, 1610612741, CHI, Chicago Bulls, 0021701089, 2018-03-24T00:00:00, CHI @ DET, L, 12.0, 9, 22, 0.409, 3, 9, 0.333, 1, 1, 1.0, 2, 7, 9, 6, 6.0, 3, 1, 2, 1, 2, 22, -14.0, 1, 28, 28, 28, 1, 51, 52, 52, 23, 11, 45, 56, 65, 1, 32, 65, 63, 40, 76, 8, 24, 52, 2, 58, 75
