SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612745, HOU, Houston Rockets, 0021701230, 2018-04-11T00:00:00, HOU @ SAC, L, 12.0, 9, 25, 0.36, 3, 14, 0.214, 1, 2, 0.5, 2, 8, 10, 4, 2.0, 1, 2, 2, 5, 3, 22, -6.0, 1, 66, 66, 66, 1, 56, 6, 75, 50, 4, 75, 74, 72, 67, 33, 55, 57, 68, 13, 54, 7, 55, 58, 59, 70
2017-18, 1610612745, HOU, Houston Rockets, 0021701218, 2018-04-10T00:00:00, HOU @ LAL, W, 12.0, 8, 24, 0.333, 4, 14, 0.286, 3, 3, 1.0, 5, 9, 14, 2, 4.0, 3, 1, 0, 3, 5, 23, 7.0, 1, 1, 1, 1, 1, 67, 15, 79, 34, 4, 58, 51, 67, 1, 2, 44, 12, 81, 50, 14, 31, 1, 20, 22, 34
2017-18, 1610612745, HOU, Houston Rockets, 0021701194, 2018-04-07T00:00:00, HOU vs. OKC, L, 12.0, 12, 22, 0.545, 4, 11, 0.364, 2, 4, 0.5, 0, 8, 8, 7, 2.0, 1, 1, 1, 2, 2, 30, -6.0, 1, 66, 66, 66, 1, 21, 39, 25, 34, 31, 46, 62, 54, 67, 72, 55, 70, 23, 13, 54, 31, 27, 5, 71, 70
2017-18, 1610612745, HOU, Houston Rockets, 0021701177, 2018-04-05T00:00:00, HOU vs. POR, W, 12.0, 13, 23, 0.565, 7, 12, 0.583, 3, 8, 0.375, 4, 8, 12, 8, 0.0, 2, 2, 1, 3, 5, 36, 19.0, 1, 1, 1, 1, 1, 10, 26, 20, 5, 17, 12, 51, 11, 74, 5, 55, 36, 14, 1, 30, 7, 27, 20, 22, 4
2017-18, 1610612745, HOU, Houston Rockets, 0021701161, 2018-04-03T00:00:00, HOU vs. WAS, W, 12.0, 13, 23, 0.565, 4, 7, 0.571, 5, 9, 0.556, 3, 10, 13, 10, 2.0, 4, 1, 1, 2, 5, 35, 11.0, 1, 1, 1, 1, 1, 10, 26, 20, 34, 70, 14, 27, 10, 66, 11, 28, 26, 7, 13, 5, 31, 27, 5, 22, 21
2017-18, 1610612745, HOU, Houston Rockets, 0021701145, 2018-04-01T00:00:00, HOU @ SAS, L, 12.0, 7, 20, 0.35, 0, 8, 0.0, 3, 4, 0.75, 1, 9, 10, 3, 3.0, 2, 1, 2, 5, 2, 17, -9.0, 1, 66, 66, 66, 1, 78, 64, 77, 81, 61, 81, 51, 54, 45, 57, 44, 57, 77, 34, 30, 31, 55, 58, 71, 78
2017-18, 1610612745, HOU, Houston Rockets, 0021701132, 2018-03-30T00:00:00, HOU vs. PHX, W, 12.0, 6, 19, 0.316, 2, 8, 0.25, 8, 13, 0.615, 2, 13, 15, 5, 3.0, 0, 2, 1, 2, 7, 22, -3.0, 1, 1, 1, 1, 1, 81, 70, 80, 66, 61, 65, 6, 2, 62, 33, 3, 7, 55, 34, 73, 7, 27, 5, 7, 62
2017-18, 1610612745, HOU, Houston Rockets, 0021701111, 2018-03-27T00:00:00, HOU vs. CHI, W, 12.0, 11, 23, 0.478, 7, 13, 0.538, 2, 2, 1.0, 1, 7, 8, 7, 1.0, 4, 0, 1, 0, 1, 31, 8.0, 1, 1, 1, 1, 1, 31, 26, 42, 5, 12, 17, 62, 72, 1, 57, 67, 70, 23, 4, 5, 60, 27, 1, 80, 31
2017-18, 1610612745, HOU, Houston Rockets, 0021701101, 2018-03-25T00:00:00, HOU vs. ATL, W, 12.0, 11, 21, 0.524, 6, 13, 0.462, 5, 5, 1.0, 1, 13, 14, 9, 3.0, 3, 1, 1, 3, 2, 33, 13.0, 1, 1, 1, 1, 1, 31, 52, 31, 13, 12, 28, 27, 41, 1, 57, 3, 12, 9, 34, 14, 31, 27, 20, 71, 11
2017-18, 1610612745, HOU, Houston Rockets, 0021701091, 2018-03-24T00:00:00, HOU vs. NOP, W, 12.0, 13, 25, 0.52, 1, 10, 0.1, 2, 2, 1.0, 0, 11, 11, 8, 3.0, 3, 4, 3, 4, 2, 29, 13.0, 1, 1, 1, 1, 1, 10, 6, 35, 78, 44, 80, 62, 72, 1, 72, 22, 44, 14, 34, 14, 1, 69, 45, 71, 11
2017-18, 1610612745, HOU, Houston Rockets, 0021701074, 2018-03-22T00:00:00, HOU vs. DET, W, 12.0, 9, 24, 0.375, 2, 12, 0.167, 1, 4, 0.25, 2, 10, 12, 6, 3.0, 2, 0, 1, 5, 3, 21, -6.0, 1, 1, 1, 1, 1, 56, 15, 70, 66, 17, 78, 74, 54, 76, 33, 28, 36, 38, 34, 30, 60, 27, 58, 59, 70
2017-18, 1610612745, HOU, Houston Rockets, 0021701064, 2018-03-20T00:00:00, HOU @ POR, W, 12.0, 9, 19, 0.474, 1, 4, 0.25, 8, 10, 0.8, 0, 11, 11, 5, 4.0, 2, 1, 3, 6, 6, 27, -4.0, 1, 1, 1, 1, 1, 56, 70, 47, 78, 82, 65, 6, 9, 39, 72, 22, 44, 55, 50, 30, 31, 69, 74, 9, 66
2017-18, 1610612745, HOU, Houston Rockets, 0021701048, 2018-03-18T00:00:00, HOU @ MIN, W, 12.0, 15, 22, 0.682, 6, 12, 0.5, 2, 4, 0.5, 1, 7, 8, 11, 1.0, 3, 2, 0, 2, 5, 38, 15.0, 1, 1, 1, 1, 1, 4, 39, 2, 13, 17, 20, 62, 54, 67, 57, 67, 70, 2, 4, 14, 7, 1, 5, 22, 8
