SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612754, IND, Indiana Pacers, 0021701213, 2018-04-10T00:00:00, IND vs. CHA, L, 12.0, 11, 25, 0.44, 3, 10, 0.3, 0, 0, 0.0, 2, 7, 9, 8, 2.0, 0, 2, 1, 6, 0, 25, -12.0, 1, 49, 49, 49, 1, 30, 9, 49, 19, 3, 55, 71, 73, 71, 27, 49, 53, 7, 15, 73, 6, 24, 72, 81, 73
2017-18, 1610612754, IND, Indiana Pacers, 0021701197, 2018-04-08T00:00:00, IND @ CHA, W, 12.0, 14, 25, 0.56, 3, 4, 0.75, 0, 0, 0.0, 2, 3, 5, 9, 1.0, 4, 0, 2, 4, 4, 31, 6.0, 1, 1, 1, 1, 1, 3, 9, 19, 19, 56, 2, 71, 73, 71, 27, 81, 80, 3, 5, 10, 61, 49, 37, 28, 19
2017-18, 1610612754, IND, Indiana Pacers, 0021701187, 2018-04-06T00:00:00, IND @ TOR, L, 12.0, 5, 23, 0.217, 1, 4, 0.25, 3, 4, 0.75, 3, 10, 13, 4, 4.0, 1, 2, 2, 4, 5, 14, -12.0, 1, 49, 49, 49, 1, 81, 26, 82, 56, 56, 59, 34, 31, 45, 16, 14, 11, 60, 51, 56, 6, 49, 37, 15, 73
2017-18, 1610612754, IND, Indiana Pacers, 0021701175, 2018-04-05T00:00:00, IND vs. GSW, W, 12.0, 12, 22, 0.545, 2, 4, 0.5, 1, 1, 1.0, 2, 8, 10, 8, 5.0, 3, 1, 0, 5, 3, 27, 1.0, 1, 1, 1, 1, 1, 12, 33, 23, 37, 56, 20, 63, 71, 1, 27, 37, 35, 7, 69, 18, 23, 1, 56, 43, 36
2017-18, 1610612754, IND, Indiana Pacers, 0021701165, 2018-04-03T00:00:00, IND @ DEN, L, 12.0, 10, 19, 0.526, 3, 7, 0.429, 3, 4, 0.75, 2, 8, 10, 8, 5.0, 2, 3, 1, 5, 4, 26, -1.0, 1, 49, 49, 49, 1, 45, 68, 27, 19, 15, 38, 34, 31, 45, 27, 37, 35, 7, 69, 38, 3, 24, 56, 28, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021701146, 2018-04-01T00:00:00, IND @ LAC, W, 12.0, 10, 25, 0.4, 2, 6, 0.333, 0, 0, 0.0, 2, 6, 8, 6, 3.0, 3, 1, 3, 3, 3, 22, -8.0, 1, 1, 1, 1, 1, 45, 9, 64, 37, 25, 44, 71, 73, 71, 27, 65, 65, 35, 37, 18, 23, 71, 22, 43, 62
2017-18, 1610612754, IND, Indiana Pacers, 0021701127, 2018-03-29T00:00:00, IND @ SAC, W, 12.0, 11, 21, 0.524, 4, 8, 0.5, 2, 2, 1.0, 1, 9, 10, 7, 2.0, 3, 1, 0, 4, 4, 28, 0.0, 1, 1, 1, 1, 1, 30, 47, 30, 7, 9, 20, 51, 55, 1, 54, 23, 35, 25, 15, 18, 23, 1, 37, 28, 39
2017-18, 1610612754, IND, Indiana Pacers, 0021701114, 2018-03-27T00:00:00, IND @ GSW, W, 12.0, 8, 22, 0.364, 1, 6, 0.167, 1, 2, 0.5, 1, 7, 8, 5, 1.0, 2, 1, 2, 4, 3, 18, -9.0, 1, 1, 1, 1, 1, 66, 33, 72, 56, 25, 72, 63, 55, 63, 54, 49, 65, 46, 5, 38, 23, 49, 37, 43, 66
2017-18, 1610612754, IND, Indiana Pacers, 0021701096, 2018-03-25T00:00:00, IND vs. MIA, W, 12.0, 8, 22, 0.364, 1, 4, 0.25, 4, 4, 1.0, 2, 6, 8, 5, 2.0, 4, 0, 1, 3, 4, 21, -9.0, 1, 1, 1, 1, 1, 66, 33, 72, 56, 56, 59, 27, 31, 1, 27, 65, 65, 46, 15, 10, 61, 24, 22, 28, 66
2017-18, 1610612754, IND, Indiana Pacers, 0021701078, 2018-03-23T00:00:00, IND vs. LAC, W, 12.0, 10, 22, 0.455, 3, 6, 0.5, 4, 4, 1.0, 1, 8, 9, 8, 2.0, 1, 0, 2, 2, 3, 27, -1.0, 1, 1, 1, 1, 1, 45, 33, 46, 19, 25, 20, 27, 31, 1, 54, 37, 53, 7, 15, 56, 61, 49, 8, 43, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021700809, 2018-03-21T00:00:00, IND @ NOP, L, 12.0, 9, 22, 0.409, 1, 5, 0.2, 6, 6, 1.0, 3, 10, 13, 5, 3.0, 3, 2, 2, 2, 4, 25, 1.0, 1, 49, 49, 49, 1, 56, 33, 58, 56, 44, 67, 10, 15, 1, 16, 14, 11, 46, 37, 18, 6, 49, 8, 28, 36
2017-18, 1610612754, IND, Indiana Pacers, 0021701051, 2018-03-19T00:00:00, IND vs. LAL, W, 12.0, 10, 21, 0.476, 1, 3, 0.333, 8, 8, 1.0, 1, 6, 7, 8, 1.0, 3, 0, 0, 2, 6, 29, -8.0, 1, 1, 1, 1, 1, 45, 47, 39, 56, 72, 44, 3, 7, 1, 54, 65, 73, 7, 5, 18, 61, 1, 8, 6, 62
2017-18, 1610612754, IND, Indiana Pacers, 0021701035, 2018-03-17T00:00:00, IND @ WAS, L, 12.0, 9, 20, 0.45, 2, 4, 0.5, 0, 2, 0.0, 3, 7, 10, 6, 5.0, 2, 0, 2, 3, 2, 20, -5.0, 1, 49, 49, 49, 1, 56, 61, 47, 37, 56, 20, 71, 55, 71, 16, 49, 35, 35, 69, 38, 61, 49, 22, 66, 57
2017-18, 1610612754, IND, Indiana Pacers, 0021701020, 2018-03-15T00:00:00, IND vs. TOR, L, 12.0, 10, 23, 0.435, 2, 5, 0.4, 5, 5, 1.0, 0, 6, 6, 3, 0.0, 6, 0, 4, 4, 5, 27, 2.0, 1, 49, 49, 49, 1, 45, 26, 53, 37, 44, 41, 17, 26, 1, 73, 65, 77, 74, 1, 1, 61, 77, 37, 15, 32
2017-18, 1610612754, IND, Indiana Pacers, 0021701005, 2018-03-13T00:00:00, IND @ PHI, W, 12.0, 12, 26, 0.462, 4, 7, 0.571, 5, 5, 1.0, 4, 7, 11, 7, 2.0, 3, 0, 1, 5, 6, 33, 10.0, 1, 1, 1, 1, 1, 12, 5, 42, 7, 15, 15, 17, 26, 1, 6, 49, 26, 25, 15, 18, 61, 24, 56, 6, 10
2017-18, 1610612754, IND, Indiana Pacers, 0021700998, 2018-03-11T00:00:00, IND @ BOS, W, 12.0, 9, 25, 0.36, 4, 7, 0.571, 2, 2, 1.0, 4, 6, 10, 7, 3.0, 3, 2, 1, 3, 4, 24, -1.0, 1, 1, 1, 1, 1, 56, 9, 74, 7, 15, 15, 51, 55, 1, 6, 65, 35, 25, 37, 18, 6, 24, 22, 28, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021700978, 2018-03-09T00:00:00, IND vs. ATL, W, 12.0, 14, 21, 0.667, 5, 6, 0.833, 1, 1, 1.0, 1, 10, 11, 6, 4.0, 2, 0, 1, 2, 1, 34, 19.0, 1, 1, 1, 1, 1, 3, 47, 4, 2, 25, 1, 63, 71, 1, 54, 14, 26, 35, 51, 38, 61, 24, 8, 78, 2
2017-18, 1610612754, IND, Indiana Pacers, 0021700965, 2018-03-07T00:00:00, IND vs. UTA, L, 12.0, 9, 22, 0.409, 0, 5, 0.0, 2, 3, 0.667, 2, 7, 9, 4, 2.0, 1, 0, 1, 5, 2, 20, -12.0, 1, 49, 49, 49, 1, 56, 33, 58, 75, 44, 75, 51, 46, 54, 27, 49, 53, 60, 15, 56, 61, 24, 56, 66, 73
2017-18, 1610612754, IND, Indiana Pacers, 0021700951, 2018-03-05T00:00:00, IND vs. MIL, W, 12.0, 8, 20, 0.4, 1, 3, 0.333, 3, 3, 1.0, 0, 10, 10, 5, 4.0, 3, 2, 2, 4, 4, 20, 3.0, 1, 1, 1, 1, 1, 66, 61, 64, 56, 72, 44, 34, 46, 1, 73, 14, 35, 46, 51, 18, 6, 49, 37, 28, 29
2017-18, 1610612754, IND, Indiana Pacers, 0021700945, 2018-03-04T00:00:00, IND @ WAS, W, 12.0, 11, 21, 0.524, 2, 3, 0.667, 6, 6, 1.0, 2, 12, 14, 4, 2.0, 2, 0, 0, 2, 5, 30, 10.0, 1, 1, 1, 1, 1, 30, 47, 30, 37, 72, 3, 10, 15, 1, 27, 4, 6, 60, 15, 38, 61, 1, 8, 15, 10
2017-18, 1610612754, IND, Indiana Pacers, 0021700932, 2018-03-02T00:00:00, IND @ MIL, W, 12.0, 7, 23, 0.304, 1, 4, 0.25, 3, 4, 0.75, 5, 10, 15, 5, 4.0, 3, 1, 4, 3, 5, 18, -3.0, 1, 1, 1, 1, 1, 77, 26, 79, 56, 56, 59, 34, 31, 45, 2, 14, 3, 46, 51, 18, 23, 77, 22, 15, 54
2017-18, 1610612754, IND, Indiana Pacers, 0021700915, 2018-02-28T00:00:00, IND @ ATL, L, 12.0, 10, 20, 0.5, 4, 7, 0.571, 3, 5, 0.6, 1, 8, 9, 5, 7.0, 4, 2, 2, 5, 5, 27, -1.0, 1, 49, 49, 49, 1, 45, 61, 36, 7, 15, 15, 34, 26, 60, 54, 37, 53, 46, 81, 10, 6, 49, 56, 15, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021700904, 2018-02-26T00:00:00, IND @ DAL, L, 12.0, 10, 25, 0.4, 1, 6, 0.167, 2, 2, 1.0, 4, 12, 16, 4, 2.0, 1, 2, 0, 3, 2, 23, 0.0, 1, 49, 49, 49, 1, 45, 9, 64, 56, 25, 72, 51, 55, 1, 6, 4, 2, 60, 15, 56, 6, 1, 22, 66, 39
2017-18, 1610612754, IND, Indiana Pacers, 0021700874, 2018-02-23T00:00:00, IND vs. ATL, W, 12.0, 11, 25, 0.44, 3, 8, 0.375, 2, 2, 1.0, 4, 9, 13, 7, 6.0, 4, 1, 2, 4, 5, 27, 5.0, 1, 1, 1, 1, 1, 30, 9, 49, 19, 9, 43, 51, 55, 1, 6, 23, 11, 25, 76, 10, 23, 49, 37, 15, 21
2017-18, 1610612754, IND, Indiana Pacers, 0021700856, 2018-02-14T00:00:00, IND @ BKN, W, 12.0, 8, 23, 0.348, 1, 3, 0.333, 5, 5, 1.0, 5, 9, 14, 4, 2.0, 2, 1, 2, 3, 3, 22, -1.0, 1, 1, 1, 1, 1, 66, 26, 75, 56, 72, 44, 17, 26, 1, 2, 23, 6, 60, 15, 38, 23, 49, 22, 43, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021700836, 2018-02-11T00:00:00, IND vs. NYK, W, 12.0, 14, 27, 0.519, 2, 7, 0.286, 6, 9, 0.667, 6, 8, 14, 6, 0.0, 0, 0, 0, 5, 7, 36, -1.0, 1, 1, 1, 1, 1, 3, 2, 35, 37, 15, 56, 10, 3, 54, 1, 37, 6, 35, 1, 73, 61, 1, 56, 2, 42
2017-18, 1610612754, IND, Indiana Pacers, 0021700820, 2018-02-09T00:00:00, IND @ BOS, W, 12.0, 11, 18, 0.611, 4, 6, 0.667, 4, 4, 1.0, 2, 12, 14, 7, 3.0, 1, 3, 2, 4, 5, 30, 14.0, 1, 1, 1, 1, 1, 30, 75, 9, 7, 25, 3, 27, 31, 1, 27, 4, 6, 25, 37, 56, 3, 49, 37, 15, 3
2017-18, 1610612754, IND, Indiana Pacers, 0021700791, 2018-02-05T00:00:00, IND vs. WAS, L, 12.0, 9, 22, 0.409, 1, 4, 0.25, 4, 4, 1.0, 3, 8, 11, 5, 2.0, 0, 1, 0, 4, 3, 23, -5.0, 1, 49, 49, 49, 1, 56, 33, 58, 56, 56, 59, 27, 31, 1, 16, 37, 26, 46, 15, 73, 23, 1, 37, 43, 57
2017-18, 1610612754, IND, Indiana Pacers, 0021700777, 2018-02-03T00:00:00, IND vs. PHI, W, 12.0, 12, 19, 0.632, 3, 6, 0.5, 6, 6, 1.0, 1, 11, 12, 8, 1.0, 0, 1, 1, 5, 5, 33, 6.0, 1, 1, 1, 1, 1, 12, 68, 6, 19, 25, 20, 10, 15, 1, 54, 9, 17, 7, 5, 73, 23, 24, 56, 15, 19
2017-18, 1610612754, IND, Indiana Pacers, 0021700766, 2018-02-02T00:00:00, IND @ CHA, L, 12.0, 12, 21, 0.571, 3, 6, 0.5, 10, 11, 0.909, 2, 2, 4, 7, 1.0, 3, 0, 0, 2, 7, 37, -12.0, 1, 49, 49, 49, 1, 12, 47, 12, 19, 25, 20, 1, 1, 33, 27, 82, 82, 25, 5, 18, 61, 1, 8, 2, 73
2017-18, 1610612754, IND, Indiana Pacers, 0021700753, 2018-01-31T00:00:00, IND vs. MEM, W, 12.0, 5, 16, 0.313, 2, 7, 0.286, 9, 10, 0.9, 2, 7, 9, 2, 6.0, 5, 1, 1, 2, 6, 21, -4.0, 1, 1, 1, 1, 1, 81, 82, 78, 37, 15, 56, 2, 2, 34, 27, 49, 53, 79, 76, 2, 23, 24, 8, 6, 56
2017-18, 1610612754, IND, Indiana Pacers, 0021700738, 2018-01-29T00:00:00, IND vs. CHA, W, 12.0, 10, 19, 0.526, 1, 4, 0.25, 2, 2, 1.0, 0, 9, 9, 4, 3.0, 1, 1, 1, 3, 2, 23, 0.0, 1, 1, 1, 1, 1, 45, 68, 27, 56, 56, 59, 51, 55, 1, 73, 23, 53, 60, 37, 56, 23, 24, 22, 66, 39
2017-18, 1610612754, IND, Indiana Pacers, 0021700725, 2018-01-27T00:00:00, IND vs. ORL, W, 12.0, 8, 24, 0.333, 1, 6, 0.167, 5, 6, 0.833, 3, 7, 10, 3, 4.0, 2, 1, 2, 4, 4, 22, -10.0, 1, 1, 1, 1, 1, 66, 19, 76, 56, 25, 72, 17, 15, 38, 16, 49, 35, 74, 51, 38, 23, 49, 37, 28, 69
