SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612746, LAC, LA Clippers, 0021701228, 2018-04-11T00:00:00, LAC vs. LAL, L, 12.0, 12, 23, 0.522, 3, 8, 0.375, 5, 6, 0.833, 0, 7, 7, 8, 0.0, 0, 0, 1, 3, 4, 32, -7.0, 1, 43, 43, 43, 1, 16, 26, 27, 21, 21, 39, 22, 26, 27, 76, 63, 76, 13, 1, 67, 65, 31, 9, 39, 60
2017-18, 1610612746, LAC, LA Clippers, 0021701212, 2018-04-09T00:00:00, LAC vs. NOP, L, 12.0, 11, 24, 0.458, 0, 4, 0.0, 1, 5, 0.2, 3, 11, 14, 9, 4.0, 2, 1, 3, 3, 4, 23, -8.0, 1, 43, 43, 43, 1, 29, 20, 47, 77, 73, 77, 65, 36, 73, 21, 11, 13, 8, 45, 23, 31, 74, 9, 39, 67
2017-18, 1610612746, LAC, LA Clippers, 0021701191, 2018-04-07T00:00:00, LAC vs. DEN, L, 12.0, 10, 24, 0.417, 1, 6, 0.167, 5, 7, 0.714, 3, 3, 6, 7, 0.0, 2, 0, 2, 4, 4, 26, -7.0, 1, 43, 43, 43, 1, 43, 20, 57, 63, 53, 67, 22, 20, 42, 21, 81, 82, 23, 1, 23, 65, 58, 38, 39, 60
2017-18, 1610612746, LAC, LA Clippers, 0021701179, 2018-04-05T00:00:00, LAC @ UTA, L, 12.0, 9, 19, 0.474, 2, 5, 0.4, 6, 8, 0.75, 1, 8, 9, 5, 5.0, 0, 0, 2, 7, 6, 26, -10.0, 1, 43, 43, 43, 1, 58, 70, 44, 46, 62, 31, 10, 6, 35, 55, 45, 59, 51, 59, 67, 65, 58, 77, 10, 73
2017-18, 1610612746, LAC, LA Clippers, 0021701168, 2018-04-03T00:00:00, LAC vs. SAS, W, 12.0, 6, 18, 0.333, 1, 7, 0.143, 4, 6, 0.667, 1, 8, 9, 2, 7.0, 2, 0, 1, 4, 5, 17, -14.0, 1, 1, 1, 1, 1, 76, 77, 71, 63, 39, 69, 31, 26, 45, 55, 45, 59, 78, 80, 23, 65, 31, 38, 25, 79
2017-18, 1610612746, LAC, LA Clippers, 0021701146, 2018-04-01T00:00:00, LAC vs. IND, L, 12.0, 13, 22, 0.591, 2, 6, 0.333, 2, 5, 0.4, 4, 11, 15, 8, 5.0, 1, 3, 1, 3, 3, 30, 8.0, 1, 43, 43, 43, 1, 8, 37, 9, 46, 53, 49, 51, 36, 71, 12, 11, 6, 13, 59, 47, 6, 31, 9, 60, 8
2017-18, 1610612746, LAC, LA Clippers, 0021701137, 2018-03-30T00:00:00, LAC @ POR, L, 12.0, 9, 23, 0.391, 0, 4, 0.0, 5, 6, 0.833, 4, 6, 10, 5, 3.0, 2, 2, 2, 4, 3, 23, -3.0, 1, 43, 43, 43, 1, 58, 26, 66, 77, 73, 77, 22, 26, 27, 12, 75, 47, 51, 30, 23, 12, 58, 38, 60, 46
2017-18, 1610612746, LAC, LA Clippers, 0021701122, 2018-03-28T00:00:00, LAC @ PHX, W, 12.0, 11, 21, 0.524, 2, 4, 0.5, 3, 5, 0.6, 5, 6, 11, 8, 5.0, 1, 0, 0, 3, 6, 27, -5.0, 1, 1, 1, 1, 1, 29, 50, 25, 46, 73, 11, 45, 36, 52, 5, 75, 41, 13, 59, 47, 65, 1, 9, 10, 54
2017-18, 1610612746, LAC, LA Clippers, 0021701115, 2018-03-27T00:00:00, LAC vs. MIL, W, 12.0, 14, 28, 0.5, 7, 11, 0.636, 0, 0, 0.0, 3, 9, 12, 9, 3.0, 3, 1, 4, 3, 0, 35, 6.0, 1, 1, 1, 1, 1, 3, 5, 32, 1, 2, 3, 74, 77, 74, 21, 31, 32, 8, 30, 9, 31, 80, 9, 82, 16
2017-18, 1610612746, LAC, LA Clippers, 0021701097, 2018-03-25T00:00:00, LAC @ TOR, W, 12.0, 10, 24, 0.417, 2, 5, 0.4, 6, 8, 0.75, 1, 9, 10, 6, 1.0, 0, 2, 1, 4, 6, 28, -7.0, 1, 1, 1, 1, 1, 43, 20, 57, 46, 62, 31, 10, 6, 35, 55, 31, 47, 36, 4, 67, 12, 31, 38, 10, 60
2017-18, 1610612746, LAC, LA Clippers, 0021701078, 2018-03-23T00:00:00, LAC @ IND, L, 12.0, 11, 19, 0.579, 3, 7, 0.429, 3, 4, 0.75, 0, 9, 9, 7, 3.0, 1, 2, 0, 3, 2, 28, 1.0, 1, 43, 43, 43, 1, 29, 70, 14, 21, 39, 25, 45, 46, 35, 76, 31, 59, 23, 30, 47, 12, 1, 9, 75, 35
2017-18, 1610612746, LAC, LA Clippers, 0021701070, 2018-03-21T00:00:00, LAC @ MIL, W, 12.0, 16, 27, 0.593, 3, 8, 0.375, 3, 5, 0.6, 6, 11, 17, 8, 3.0, 2, 1, 1, 1, 3, 38, 14.0, 1, 1, 1, 1, 1, 1, 6, 8, 21, 21, 39, 45, 36, 52, 2, 11, 2, 13, 30, 23, 31, 31, 1, 60, 3
2017-18, 1610612746, LAC, LA Clippers, 0021701060, 2018-03-20T00:00:00, LAC @ MIN, L, 12.0, 12, 30, 0.4, 4, 7, 0.571, 4, 4, 1.0, 4, 11, 15, 6, 2.0, 2, 1, 4, 3, 4, 32, 4.0, 1, 43, 43, 43, 1, 16, 1, 63, 7, 39, 6, 31, 46, 1, 12, 11, 6, 36, 11, 23, 31, 80, 9, 39, 21
2017-18, 1610612746, LAC, LA Clippers, 0021701049, 2018-03-18T00:00:00, LAC vs. POR, L, 12.0, 7, 21, 0.333, 2, 5, 0.4, 2, 4, 0.5, 3, 10, 13, 3, 5.0, 3, 0, 0, 5, 4, 18, -6.0, 1, 43, 43, 43, 1, 73, 50, 71, 46, 62, 31, 51, 46, 58, 21, 23, 18, 70, 59, 9, 65, 1, 53, 39, 56
2017-18, 1610612746, LAC, LA Clippers, 0021701032, 2018-03-16T00:00:00, LAC @ OKC, L, 12.0, 12, 23, 0.522, 4, 8, 0.5, 2, 2, 1.0, 5, 8, 13, 9, 5.0, 2, 0, 2, 4, 3, 30, 3.0, 1, 43, 43, 43, 1, 16, 26, 27, 7, 21, 11, 51, 62, 1, 5, 45, 18, 8, 59, 23, 65, 58, 38, 60, 25
2017-18, 1610612746, LAC, LA Clippers, 0021701023, 2018-03-15T00:00:00, LAC @ HOU, L, 12.0, 11, 25, 0.44, 2, 7, 0.286, 2, 3, 0.667, 4, 10, 14, 5, 3.0, 0, 1, 2, 4, 2, 26, -2.0, 1, 43, 43, 43, 1, 29, 14, 51, 46, 39, 57, 51, 59, 45, 12, 23, 13, 51, 30, 67, 31, 58, 38, 75, 44
2017-18, 1610612746, LAC, LA Clippers, 0021701010, 2018-03-13T00:00:00, LAC @ CHI, W, 12.0, 12, 19, 0.632, 3, 7, 0.429, 4, 5, 0.8, 3, 9, 12, 8, 5.0, 0, 1, 0, 3, 5, 31, 4.0, 1, 1, 1, 1, 1, 16, 70, 3, 21, 39, 25, 31, 36, 31, 21, 31, 32, 13, 59, 67, 31, 1, 9, 25, 21
2017-18, 1610612746, LAC, LA Clippers, 0021700991, 2018-03-10T00:00:00, LAC vs. ORL, W, 12.0, 11, 19, 0.579, 3, 5, 0.6, 5, 6, 0.833, 1, 9, 10, 5, 3.0, 4, 0, 0, 5, 3, 30, 3.0, 1, 1, 1, 1, 1, 29, 70, 14, 21, 62, 4, 22, 26, 27, 55, 31, 47, 51, 30, 3, 65, 1, 53, 60, 25
2017-18, 1610612746, LAC, LA Clippers, 0021700986, 2018-03-09T00:00:00, LAC vs. CLE, W, 12.0, 13, 26, 0.5, 3, 7, 0.429, 6, 6, 1.0, 3, 12, 15, 10, 0.0, 0, 0, 3, 2, 4, 35, 18.0, 1, 1, 1, 1, 1, 8, 10, 32, 21, 39, 25, 10, 26, 1, 21, 4, 6, 1, 1, 67, 65, 74, 3, 39, 2
2017-18, 1610612746, LAC, LA Clippers, 0021700964, 2018-03-06T00:00:00, LAC vs. NOP, L, 12.0, 12, 26, 0.462, 1, 5, 0.2, 2, 4, 0.5, 3, 10, 13, 7, 5.0, 2, 1, 1, 4, 3, 27, -8.0, 1, 43, 43, 43, 1, 16, 10, 46, 63, 62, 65, 51, 46, 58, 21, 23, 18, 23, 59, 23, 31, 31, 38, 60, 67
2017-18, 1610612746, LAC, LA Clippers, 0021700948, 2018-03-04T00:00:00, LAC vs. BKN, W, 12.0, 13, 23, 0.565, 2, 5, 0.4, 4, 6, 0.667, 2, 8, 10, 4, 2.0, 4, 3, 0, 6, 4, 32, 5.0, 1, 1, 1, 1, 1, 8, 26, 17, 46, 62, 31, 31, 26, 45, 38, 45, 47, 60, 11, 3, 6, 1, 69, 39, 18
2017-18, 1610612746, LAC, LA Clippers, 0021700935, 2018-03-02T00:00:00, LAC vs. NYK, W, 12.0, 13, 24, 0.542, 2, 5, 0.4, 4, 4, 1.0, 5, 7, 12, 10, 4.0, 6, 2, 2, 4, 4, 32, 7.0, 1, 1, 1, 1, 1, 8, 20, 22, 46, 62, 31, 31, 46, 1, 5, 63, 32, 1, 45, 1, 12, 58, 38, 39, 12
2017-18, 1610612746, LAC, LA Clippers, 0021700921, 2018-02-28T00:00:00, LAC vs. HOU, L, 12.0, 5, 22, 0.227, 1, 8, 0.125, 1, 1, 1.0, 2, 9, 11, 1, 7.0, 0, 1, 1, 5, 3, 12, -22.0, 1, 43, 43, 43, 1, 82, 37, 82, 63, 21, 74, 65, 73, 1, 38, 31, 41, 80, 80, 67, 31, 31, 53, 60, 82
2017-18, 1610612746, LAC, LA Clippers, 0021700912, 2018-02-27T00:00:00, LAC @ DEN, W, 12.0, 11, 26, 0.423, 2, 11, 0.182, 0, 1, 0.0, 3, 4, 7, 3, 2.0, 3, 3, 2, 3, 5, 24, -9.0, 1, 1, 1, 1, 1, 29, 10, 56, 46, 2, 66, 74, 73, 74, 21, 79, 76, 70, 11, 9, 6, 58, 9, 25, 71
