SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612761, TOR, Toronto Raptors, 0021701221, 2018-04-11T00:00:00, TOR @ MIA, L, 12.0, 10, 20, 0.5, 4, 8, 0.5, 5, 6, 0.833, 2, 8, 10, 6, 2.0, 1, 3, 2, 3, 4, 29, 2.0, 1, 60, 60, 60, 1, 47, 60, 30, 19, 40, 17, 18, 23, 40, 34, 41, 47, 51, 15, 43, 7, 53, 15, 29, 39
2017-18, 1610612761, TOR, Toronto Raptors, 0021701204, 2018-04-09T00:00:00, TOR @ DET, W, 12.0, 11, 19, 0.579, 6, 9, 0.667, 4, 4, 1.0, 3, 5, 8, 7, 3.0, 0, 2, 2, 2, 3, 32, 0.0, 1, 1, 1, 1, 1, 32, 73, 16, 2, 27, 4, 27, 32, 1, 20, 75, 67, 29, 33, 69, 18, 53, 4, 52, 48
2017-18, 1610612761, TOR, Toronto Raptors, 0021701200, 2018-04-08T00:00:00, TOR vs. ORL, W, 12.0, 13, 22, 0.591, 6, 12, 0.5, 3, 3, 1.0, 3, 8, 11, 9, 5.0, 3, 1, 1, 8, 3, 35, 11.0, 1, 1, 1, 1, 1, 9, 38, 13, 2, 6, 17, 34, 41, 1, 20, 41, 37, 7, 66, 7, 36, 27, 81, 52, 9
2017-18, 1610612761, TOR, Toronto Raptors, 0021701187, 2018-04-06T00:00:00, TOR vs. IND, W, 12.0, 12, 26, 0.462, 2, 8, 0.25, 0, 1, 0.0, 4, 16, 20, 10, 5.0, 3, 2, 2, 5, 4, 26, 12.0, 1, 1, 1, 1, 1, 22, 7, 52, 51, 40, 59, 71, 69, 71, 8, 1, 1, 3, 66, 7, 18, 53, 47, 29, 6
2017-18, 1610612761, TOR, Toronto Raptors, 0021701171, 2018-04-04T00:00:00, TOR vs. BOS, W, 12.0, 6, 23, 0.261, 2, 11, 0.182, 0, 0, 0.0, 3, 7, 10, 4, 2.0, 3, 2, 0, 4, 3, 14, -6.0, 1, 1, 1, 1, 1, 81, 22, 82, 51, 10, 70, 71, 75, 71, 20, 58, 47, 75, 15, 7, 18, 1, 27, 52, 68
2017-18, 1610612761, TOR, Toronto Raptors, 0021701156, 2018-04-03T00:00:00, TOR @ CLE, L, 12.0, 9, 20, 0.45, 3, 9, 0.333, 3, 4, 0.75, 1, 10, 11, 7, 2.0, 1, 0, 1, 6, 3, 24, -4.0, 1, 60, 60, 60, 1, 62, 60, 58, 32, 27, 43, 34, 32, 44, 55, 24, 37, 29, 15, 43, 59, 27, 65, 52, 62
2017-18, 1610612761, TOR, Toronto Raptors, 0021701140, 2018-03-31T00:00:00, TOR @ BOS, L, 12.0, 14, 23, 0.609, 5, 11, 0.455, 0, 0, 0.0, 2, 9, 11, 9, 2.0, 0, 0, 0, 5, 2, 33, 2.0, 1, 60, 60, 60, 1, 4, 22, 9, 9, 10, 25, 71, 75, 71, 34, 33, 37, 7, 15, 69, 59, 1, 47, 71, 39
2017-18, 1610612761, TOR, Toronto Raptors, 0021701109, 2018-03-27T00:00:00, TOR vs. DEN, W, 12.0, 10, 21, 0.476, 5, 9, 0.556, 0, 0, 0.0, 1, 8, 9, 7, 5.0, 3, 4, 3, 7, 1, 25, 2.0, 1, 1, 1, 1, 1, 47, 46, 46, 9, 27, 13, 71, 75, 71, 55, 41, 58, 29, 66, 7, 2, 73, 75, 79, 39
2017-18, 1610612761, TOR, Toronto Raptors, 0021701097, 2018-03-25T00:00:00, TOR vs. LAC, L, 12.0, 13, 27, 0.481, 6, 10, 0.6, 3, 3, 1.0, 2, 10, 12, 9, 1.0, 1, 1, 2, 6, 4, 35, 7.0, 1, 60, 60, 60, 1, 9, 5, 41, 2, 18, 8, 34, 41, 1, 34, 24, 29, 7, 5, 43, 36, 53, 65, 29, 15
2017-18, 1610612761, TOR, Toronto Raptors, 0021701082, 2018-03-23T00:00:00, TOR vs. BKN, W, 12.0, 13, 24, 0.542, 3, 9, 0.333, 2, 2, 1.0, 1, 10, 11, 11, 3.0, 3, 0, 2, 4, 2, 31, -1.0, 1, 1, 1, 1, 1, 9, 19, 26, 32, 27, 43, 47, 52, 1, 55, 24, 37, 1, 33, 7, 59, 53, 27, 71, 53
2017-18, 1610612761, TOR, Toronto Raptors, 0021701065, 2018-03-21T00:00:00, TOR @ CLE, L, 12.0, 15, 23, 0.652, 6, 10, 0.6, 2, 3, 0.667, 2, 2, 4, 10, 2.0, 0, 0, 0, 4, 3, 38, -4.0, 1, 60, 60, 60, 1, 2, 22, 2, 2, 18, 8, 47, 41, 52, 34, 81, 82, 3, 15, 69, 59, 1, 27, 52, 62
2017-18, 1610612761, TOR, Toronto Raptors, 0021701058, 2018-03-20T00:00:00, TOR @ ORL, W, 12.0, 10, 23, 0.435, 3, 10, 0.3, 1, 1, 1.0, 1, 11, 12, 7, 3.0, 2, 2, 1, 1, 2, 24, -1.0, 1, 1, 1, 1, 1, 47, 22, 62, 32, 18, 49, 61, 69, 1, 55, 16, 29, 29, 33, 22, 18, 27, 1, 71, 53
2017-18, 1610612761, TOR, Toronto Raptors, 0021701046, 2018-03-18T00:00:00, TOR vs. OKC, L, 12.0, 13, 21, 0.619, 6, 9, 0.667, 2, 2, 1.0, 3, 2, 5, 8, 6.0, 0, 0, 0, 5, 5, 34, -6.0, 1, 60, 60, 60, 1, 9, 46, 4, 2, 27, 4, 47, 52, 1, 20, 81, 81, 14, 72, 69, 59, 1, 47, 16, 68
2017-18, 1610612761, TOR, Toronto Raptors, 0021701031, 2018-03-16T00:00:00, TOR vs. DAL, W, 12.0, 10, 18, 0.556, 2, 7, 0.286, 7, 8, 0.875, 0, 9, 9, 8, 3.0, 0, 1, 1, 2, 5, 29, 2.0, 1, 1, 1, 1, 1, 47, 78, 22, 51, 50, 53, 8, 7, 34, 73, 33, 58, 14, 33, 69, 36, 27, 4, 16, 39
