SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612762, UTA, Utah Jazz, 0021701229, 2018-04-11T00:00:00, UTA @ POR, L, 12.0, 7, 21, 0.333, 2, 7, 0.286, 5, 6, 0.833, 4, 9, 13, 6, 6.0, 2, 4, 2, 4, 3, 21, -7.0, 1, 49, 49, 49, 1, 72, 43, 74, 44, 44, 50, 10, 10, 32, 8, 36, 19, 27, 69, 29, 1, 54, 39, 39, 65
2017-18, 1610612762, UTA, Utah Jazz, 0021701217, 2018-04-10T00:00:00, UTA vs. GSW, W, 12.0, 14, 27, 0.519, 2, 10, 0.2, 3, 5, 0.6, 5, 11, 16, 5, 1.0, 2, 1, 1, 4, 4, 33, 17.0, 1, 1, 1, 1, 1, 4, 3, 19, 44, 12, 67, 28, 18, 50, 2, 10, 4, 48, 1, 29, 32, 25, 39, 29, 2
2017-18, 1610612762, UTA, Utah Jazz, 0021701201, 2018-04-08T00:00:00, UTA @ LAL, W, 12.0, 11, 23, 0.478, 3, 8, 0.375, 5, 5, 1.0, 2, 11, 13, 10, 7.0, 4, 2, 2, 5, 5, 30, 9.0, 1, 1, 1, 1, 1, 22, 15, 27, 30, 34, 38, 10, 18, 1, 36, 10, 19, 3, 77, 5, 8, 54, 55, 12, 11
2017-18, 1610612762, UTA, Utah Jazz, 0021701179, 2018-04-05T00:00:00, UTA vs. LAC, W, 12.0, 13, 23, 0.565, 2, 9, 0.222, 8, 9, 0.889, 2, 6, 8, 5, 1.0, 4, 2, 0, 6, 7, 36, 10.0, 1, 1, 1, 1, 1, 6, 15, 12, 44, 21, 64, 3, 3, 29, 36, 68, 66, 48, 1, 5, 8, 1, 70, 2, 9
2017-18, 1610612762, UTA, Utah Jazz, 0021701166, 2018-04-03T00:00:00, UTA vs. LAL, W, 12.0, 9, 21, 0.429, 3, 9, 0.333, 3, 4, 0.75, 2, 8, 10, 4, 3.0, 2, 1, 1, 4, 4, 24, -7.0, 1, 1, 1, 1, 1, 48, 43, 51, 30, 21, 41, 28, 26, 39, 36, 47, 47, 59, 26, 29, 32, 25, 39, 29, 65
2017-18, 1610612762, UTA, Utah Jazz, 0021701151, 2018-04-01T00:00:00, UTA @ MIN, W, 12.0, 13, 22, 0.591, 2, 6, 0.333, 0, 1, 0.0, 1, 10, 11, 9, 4.0, 3, 2, 0, 5, 1, 28, 2.0, 1, 1, 1, 1, 1, 6, 30, 8, 44, 59, 41, 65, 63, 65, 59, 23, 41, 5, 44, 18, 8, 1, 55, 76, 33
2017-18, 1610612762, UTA, Utah Jazz, 0021701135, 2018-03-30T00:00:00, UTA vs. MEM, W, 12.0, 12, 20, 0.6, 2, 6, 0.333, 3, 5, 0.6, 2, 11, 13, 5, 2.0, 4, 0, 0, 2, 3, 29, 15.0, 1, 1, 1, 1, 1, 12, 61, 5, 44, 59, 41, 28, 18, 50, 36, 10, 19, 48, 8, 5, 66, 1, 5, 39, 3
2017-18, 1610612762, UTA, Utah Jazz, 0021701121, 2018-03-28T00:00:00, UTA vs. BOS, L, 12.0, 10, 21, 0.476, 4, 10, 0.4, 0, 0, 0.0, 3, 13, 16, 9, 6.0, 2, 3, 0, 3, 1, 24, 6.0, 1, 49, 49, 49, 1, 31, 43, 31, 13, 12, 29, 65, 73, 65, 15, 3, 4, 5, 69, 29, 4, 1, 18, 76, 17
2017-18, 1610612762, UTA, Utah Jazz, 0021701102, 2018-03-25T00:00:00, UTA @ GSW, W, 12.0, 7, 19, 0.368, 2, 6, 0.333, 2, 3, 0.667, 2, 10, 12, 4, 5.0, 0, 3, 3, 3, 5, 18, -4.0, 1, 1, 1, 1, 1, 72, 74, 66, 44, 59, 41, 40, 39, 45, 36, 23, 29, 59, 58, 74, 4, 73, 18, 12, 57
2017-18, 1610612762, UTA, Utah Jazz, 0021701085, 2018-03-23T00:00:00, UTA @ SAS, L, 12.0, 10, 24, 0.417, 1, 6, 0.167, 0, 1, 0.0, 2, 3, 5, 6, 2.0, 4, 2, 1, 3, 3, 21, -8.0, 1, 49, 49, 49, 1, 31, 8, 55, 67, 59, 73, 65, 63, 65, 36, 82, 81, 27, 8, 5, 8, 25, 18, 39, 70
2017-18, 1610612762, UTA, Utah Jazz, 0021701076, 2018-03-22T00:00:00, UTA @ DAL, W, 12.0, 15, 22, 0.682, 4, 7, 0.571, 3, 3, 1.0, 1, 5, 6, 11, 2.0, 3, 1, 0, 4, 4, 37, 3.0, 1, 1, 1, 1, 1, 2, 30, 3, 13, 44, 6, 28, 39, 1, 59, 75, 77, 2, 8, 18, 32, 1, 39, 29, 27
