SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612764, WAS, Washington Wizards, 0021701222, 2018-04-11T00:00:00, WAS @ ORL, L, 12.0, 8, 21, 0.381, 2, 5, 0.4, 5, 9, 0.556, 2, 8, 10, 3, 2.0, 2, 0, 1, 1, 6, 23, -3.0, 1, 44, 44, 44, 1, 68, 50, 67, 38, 50, 36, 11, 2, 63, 42, 34, 45, 75, 16, 32, 54, 24, 3, 3, 53
2017-18, 1610612764, WAS, Washington Wizards, 0021701215, 2018-04-10T00:00:00, WAS vs. BOS, W, 12.0, 9, 22, 0.409, 2, 8, 0.25, 2, 3, 0.667, 2, 9, 11, 6, 6.0, 2, 1, 1, 4, 3, 22, -8.0, 1, 1, 1, 1, 1, 61, 41, 61, 38, 10, 60, 42, 44, 47, 42, 23, 33, 39, 78, 32, 24, 24, 38, 37, 66
2017-18, 1610612764, WAS, Washington Wizards, 0021701184, 2018-04-06T00:00:00, WAS vs. ATL, L, 12.0, 8, 23, 0.348, 1, 4, 0.25, 5, 6, 0.833, 2, 13, 15, 5, 1.0, 0, 2, 1, 0, 4, 22, 1.0, 1, 44, 44, 44, 1, 68, 31, 73, 59, 64, 60, 11, 15, 30, 42, 1, 6, 58, 2, 70, 5, 24, 1, 23, 35
2017-18, 1610612764, WAS, Washington Wizards, 0021701176, 2018-04-05T00:00:00, WAS @ CLE, L, 12.0, 10, 27, 0.37, 0, 4, 0.0, 6, 8, 0.75, 4, 7, 11, 7, 2.0, 2, 1, 2, 5, 5, 26, -13.0, 1, 44, 44, 44, 1, 44, 4, 68, 75, 64, 75, 7, 6, 36, 10, 54, 33, 28, 16, 32, 24, 62, 58, 13, 77
2017-18, 1610612764, WAS, Washington Wizards, 0021701161, 2018-04-03T00:00:00, WAS @ HOU, L, 12.0, 8, 18, 0.444, 3, 7, 0.429, 5, 5, 1.0, 0, 7, 7, 6, 6.0, 1, 1, 1, 5, 2, 24, -11.0, 1, 44, 44, 44, 1, 68, 78, 51, 24, 22, 33, 11, 23, 1, 76, 54, 71, 39, 78, 46, 24, 24, 58, 67, 76
2017-18, 1610612764, WAS, Washington Wizards, 0021701144, 2018-04-01T00:00:00, WAS @ CHI, L, 12.0, 12, 23, 0.522, 3, 9, 0.333, 0, 0, 0.0, 1, 7, 8, 8, 3.0, 1, 3, 1, 1, 1, 27, -9.0, 1, 44, 44, 44, 1, 16, 31, 28, 24, 8, 46, 76, 79, 76, 65, 54, 69, 16, 29, 46, 3, 24, 3, 79, 69
2017-18, 1610612764, WAS, Washington Wizards, 0021701138, 2018-03-31T00:00:00, WAS vs. CHA, W, 12.0, 12, 24, 0.5, 4, 8, 0.5, 2, 3, 0.667, 5, 6, 11, 9, 5.0, 5, 1, 1, 4, 3, 30, 3.0, 1, 1, 1, 1, 1, 16, 14, 30, 13, 10, 20, 42, 44, 47, 4, 65, 33, 7, 64, 1, 24, 24, 38, 37, 27
2017-18, 1610612764, WAS, Washington Wizards, 0021701124, 2018-03-29T00:00:00, WAS @ DET, L, 12.0, 10, 27, 0.37, 1, 8, 0.125, 3, 4, 0.75, 5, 6, 11, 5, 1.0, 3, 1, 2, 3, 5, 24, 1.0, 1, 44, 44, 44, 1, 44, 4, 68, 59, 10, 72, 26, 31, 36, 4, 65, 33, 58, 2, 14, 24, 62, 25, 13, 35
2017-18, 1610612764, WAS, Washington Wizards, 0021701108, 2018-03-27T00:00:00, WAS vs. SAS, W, 12.0, 10, 20, 0.5, 0, 3, 0.0, 1, 2, 0.5, 2, 9, 11, 6, 4.0, 3, 0, 1, 6, 2, 21, -3.0, 1, 1, 1, 1, 1, 44, 65, 30, 75, 76, 75, 66, 51, 64, 42, 23, 33, 39, 53, 14, 54, 24, 73, 67, 53
2017-18, 1610612764, WAS, Washington Wizards, 0021701098, 2018-03-25T00:00:00, WAS vs. NYK, L, 12.0, 9, 22, 0.409, 1, 4, 0.25, 2, 4, 0.5, 2, 9, 11, 7, 3.0, 5, 2, 3, 2, 3, 21, 2.0, 1, 44, 44, 44, 1, 61, 41, 61, 59, 64, 60, 42, 31, 64, 42, 23, 33, 28, 29, 1, 5, 74, 7, 37, 31
