SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701214, 2018-04-10T00:00:00, ATL vs. PHI, L, 12.0, 8, 22, 0.364, 2, 8, 0.25, 6, 7, 0.857, 2, 10, 12, 5, 3.0, 0, 2, 2, 3, 5, 24, -4.0, 1, 25, 25, 25, 1, 55, 31, 66, 52, 35, 59, 15, 22, 30, 39, 15, 24, 53, 15, 76, 6, 47, 4, 38, 50
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701202, 2018-04-08T00:00:00, ATL @ BOS, W, 12.0, 9, 21, 0.429, 4, 9, 0.444, 5, 6, 0.833, 1, 9, 10, 6, 5.0, 1, 1, 2, 4, 7, 27, 3.0, 1, 1, 1, 1, 1, 43, 47, 41, 11, 23, 27, 25, 31, 34, 60, 25, 39, 26, 57, 56, 22, 47, 18, 11, 19
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701184, 2018-04-06T00:00:00, ATL @ WAS, W, 12.0, 11, 19, 0.579, 4, 7, 0.571, 3, 4, 0.75, 2, 10, 12, 6, 6.0, 2, 1, 1, 6, 3, 29, 0.0, 1, 1, 1, 1, 1, 14, 67, 6, 11, 47, 8, 46, 45, 43, 39, 15, 24, 26, 69, 30, 22, 24, 50, 68, 29
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701172, 2018-04-04T00:00:00, ATL vs. MIA, L, 12.0, 9, 20, 0.45, 1, 5, 0.2, 2, 4, 0.5, 0, 10, 10, 7, 3.0, 1, 3, 2, 5, 4, 21, -10.0, 1, 25, 25, 25, 1, 43, 59, 35, 67, 75, 65, 56, 45, 68, 80, 15, 39, 19, 15, 56, 3, 47, 31, 50, 69
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701158, 2018-04-03T00:00:00, ATL @ MIA, L, 12.0, 9, 21, 0.429, 3, 8, 0.375, 1, 3, 0.333, 3, 8, 11, 7, 5.0, 2, 0, 0, 5, 5, 22, -4.0, 1, 25, 25, 25, 1, 43, 47, 41, 22, 35, 33, 72, 57, 76, 16, 34, 32, 19, 57, 30, 50, 1, 31, 38, 50
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701147, 2018-04-01T00:00:00, ATL vs. ORL, W, 12.0, 6, 20, 0.3, 1, 7, 0.143, 0, 0, 0.0, 1, 12, 13, 4, 4.0, 0, 0, 3, 6, 3, 13, -8.0, 1, 1, 1, 1, 1, 77, 59, 76, 67, 47, 73, 77, 79, 77, 60, 1, 13, 65, 36, 76, 50, 72, 50, 68, 61
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701130, 2018-03-30T00:00:00, ATL vs. PHI, L, 12.0, 6, 22, 0.273, 3, 10, 0.3, 3, 7, 0.429, 3, 5, 8, 6, 5.0, 1, 0, 1, 3, 7, 18, -21.0, 1, 25, 25, 25, 1, 77, 31, 79, 22, 15, 50, 46, 22, 75, 16, 74, 59, 26, 57, 56, 50, 24, 4, 11, 81
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701120, 2018-03-28T00:00:00, ATL @ MIN, L, 12.0, 11, 21, 0.524, 3, 6, 0.5, 6, 8, 0.75, 2, 9, 11, 6, 4.0, 1, 1, 0, 4, 6, 31, -2.0, 1, 25, 25, 25, 1, 14, 47, 15, 22, 62, 16, 15, 16, 43, 39, 25, 32, 26, 36, 56, 22, 1, 18, 25, 36
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701101, 2018-03-25T00:00:00, ATL @ HOU, L, 12.0, 12, 22, 0.545, 3, 9, 0.333, 2, 2, 1.0, 2, 9, 11, 8, 3.0, 2, 1, 1, 5, 2, 29, 4.0, 1, 25, 25, 25, 1, 6, 31, 12, 22, 23, 40, 56, 63, 1, 39, 25, 32, 10, 15, 30, 22, 24, 31, 76, 15
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701087, 2018-03-23T00:00:00, ATL @ GSW, L, 12.0, 9, 23, 0.391, 3, 8, 0.375, 2, 2, 1.0, 2, 6, 8, 6, 4.0, 0, 1, 2, 6, 4, 23, -13.0, 1, 25, 25, 25, 1, 43, 19, 55, 22, 35, 33, 56, 63, 1, 39, 60, 59, 26, 36, 76, 22, 47, 50, 50, 74
2017-18, 1610612737, ATL, Atlanta Hawks, 0021701077, 2018-03-22T00:00:00, ATL @ SAC, L, 12.0, 11, 24, 0.458, 2, 6, 0.333, 3, 4, 0.75, 3, 11, 14, 6, 5.0, 3, 1, 3, 3, 3, 27, -4.0, 1, 25, 25, 25, 1, 14, 13, 30, 52, 62, 40, 46, 45, 43, 16, 6, 7, 26, 57, 13, 22, 72, 4, 68, 50
