SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701219, 2018-04-11T00:00:00, BKN @ BOS, L, 12.0, 10, 24, 0.417, 3, 10, 0.3, 4, 6, 0.667, 4, 8, 12, 5, 5.0, 3, 2, 3, 6, 6, 27, -3.0, 1, 29, 29, 29, 1, 36, 14, 54, 33, 20, 54, 35, 30, 56, 11, 39, 24, 46, 57, 10, 16, 73, 49, 23, 47
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701205, 2018-04-09T00:00:00, BKN vs. CHI, W, 12.0, 10, 19, 0.526, 4, 9, 0.444, 0, 0, 0.0, 1, 8, 9, 9, 6.0, 1, 3, 1, 3, 1, 24, -4.0, 1, 1, 1, 1, 1, 36, 63, 21, 17, 27, 21, 80, 81, 80, 65, 39, 60, 5, 71, 43, 5, 24, 5, 82, 52
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701193, 2018-04-07T00:00:00, BKN @ CHI, W, 12.0, 11, 22, 0.5, 9, 14, 0.643, 2, 3, 0.667, 1, 9, 10, 11, 4.0, 3, 1, 1, 2, 6, 33, 7.0, 1, 1, 1, 1, 1, 21, 30, 25, 1, 2, 4, 63, 63, 56, 65, 27, 44, 2, 41, 10, 30, 24, 2, 23, 19
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701178, 2018-04-05T00:00:00, BKN @ MIL, W, 12.0, 12, 19, 0.632, 5, 7, 0.714, 2, 3, 0.667, 0, 8, 8, 8, 5.0, 0, 1, 1, 8, 5, 31, -5.0, 1, 1, 1, 1, 1, 8, 63, 3, 8, 63, 1, 63, 63, 56, 78, 39, 67, 13, 57, 60, 30, 24, 70, 37, 57
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701157, 2018-04-03T00:00:00, BKN @ PHI, L, 12.0, 8, 16, 0.5, 3, 8, 0.375, 3, 9, 0.333, 1, 10, 11, 5, 7.0, 0, 1, 1, 3, 7, 22, -10.0, 1, 29, 29, 29, 1, 60, 80, 25, 33, 46, 40, 47, 12, 78, 65, 18, 39, 46, 78, 60, 30, 24, 5, 11, 76
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701148, 2018-04-01T00:00:00, BKN vs. DET, L, 12.0, 9, 20, 0.45, 2, 8, 0.25, 2, 4, 0.5, 1, 12, 13, 3, 3.0, 0, 3, 1, 6, 6, 22, 1.0, 1, 29, 29, 29, 1, 44, 54, 44, 59, 46, 61, 63, 49, 70, 65, 4, 16, 72, 22, 60, 5, 24, 49, 23, 38
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701141, 2018-03-31T00:00:00, BKN @ MIA, W, 12.0, 12, 21, 0.571, 5, 11, 0.455, 3, 5, 0.6, 1, 8, 9, 9, 3.0, 3, 0, 0, 7, 6, 32, 11.0, 1, 1, 1, 1, 1, 8, 42, 10, 8, 14, 19, 47, 39, 68, 65, 39, 60, 5, 22, 10, 57, 1, 65, 23, 8
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701117, 2018-03-28T00:00:00, BKN @ ORL, W, 12.0, 10, 24, 0.417, 4, 9, 0.444, 3, 3, 1.0, 3, 7, 10, 6, 0.0, 1, 1, 1, 5, 4, 27, -3.0, 1, 1, 1, 1, 1, 36, 14, 54, 17, 27, 21, 47, 63, 1, 22, 54, 44, 31, 1, 43, 30, 24, 28, 50, 47
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701094, 2018-03-25T00:00:00, BKN vs. CLE, L, 12.0, 11, 24, 0.458, 3, 8, 0.375, 2, 3, 0.667, 2, 10, 12, 6, 2.0, 3, 0, 1, 6, 4, 27, 0.0, 1, 29, 29, 29, 1, 21, 14, 41, 33, 46, 40, 63, 63, 56, 41, 18, 24, 31, 9, 10, 57, 24, 49, 50, 40
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701082, 2018-03-23T00:00:00, BKN @ TOR, L, 12.0, 9, 20, 0.45, 2, 8, 0.25, 7, 11, 0.636, 1, 12, 13, 5, 4.0, 1, 3, 2, 5, 7, 27, 2.0, 1, 29, 29, 29, 1, 44, 54, 44, 59, 46, 61, 14, 6, 65, 65, 4, 16, 46, 41, 43, 5, 52, 28, 11, 35
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701067, 2018-03-21T00:00:00, BKN vs. CHA, L, 12.0, 8, 21, 0.381, 6, 13, 0.462, 3, 8, 0.375, 2, 8, 10, 7, 2.0, 1, 4, 1, 10, 7, 25, -7.0, 1, 29, 29, 29, 1, 60, 42, 62, 4, 6, 18, 47, 17, 77, 41, 39, 44, 19, 9, 43, 2, 24, 80, 11, 65
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701053, 2018-03-19T00:00:00, BKN vs. MEM, W, 12.0, 7, 18, 0.389, 5, 11, 0.455, 3, 4, 0.75, 1, 7, 8, 7, 6.0, 1, 6, 2, 8, 5, 22, -9.0, 1, 1, 1, 1, 1, 69, 71, 60, 8, 14, 19, 47, 49, 46, 65, 54, 67, 19, 71, 43, 1, 52, 70, 37, 73
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701037, 2018-03-17T00:00:00, BKN vs. DAL, W, 12.0, 11, 20, 0.55, 3, 8, 0.375, 4, 5, 0.8, 3, 7, 10, 5, 3.0, 0, 2, 0, 5, 5, 29, -4.0, 1, 1, 1, 1, 1, 21, 54, 14, 33, 46, 40, 35, 39, 37, 22, 54, 44, 46, 22, 60, 16, 1, 28, 37, 52
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701030, 2018-03-16T00:00:00, BKN @ PHI, L, 12.0, 8, 20, 0.4, 2, 3, 0.667, 5, 7, 0.714, 3, 9, 12, 4, 4.0, 2, 3, 0, 6, 4, 23, -8.0, 1, 29, 29, 29, 1, 60, 54, 58, 59, 81, 3, 24, 26, 55, 22, 27, 24, 61, 41, 22, 5, 1, 49, 50, 70
2017-18, 1610612751, BKN, Brooklyn Nets, 0021701008, 2018-03-13T00:00:00, BKN vs. TOR, L, 12.0, 7, 23, 0.304, 3, 9, 0.333, 1, 1, 1.0, 2, 8, 10, 4, 3.0, 3, 1, 1, 6, 4, 18, -12.0, 1, 29, 29, 29, 1, 69, 23, 75, 33, 27, 45, 76, 78, 1, 41, 39, 44, 61, 22, 10, 30, 24, 49, 50, 78
2017-18, 1610612751, BKN, Brooklyn Nets, 0021700999, 2018-03-11T00:00:00, BKN vs. PHI, L, 12.0, 9, 18, 0.5, 3, 7, 0.429, 2, 2, 1.0, 2, 8, 10, 6, 5.0, 0, 3, 2, 6, 3, 23, -3.0, 1, 29, 29, 29, 1, 44, 71, 25, 33, 63, 29, 63, 74, 1, 41, 39, 44, 31, 57, 60, 5, 52, 49, 65, 47
