SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701213, 2018-04-10T00:00:00, CHA @ IND, W, 12.0, 10, 26, 0.385, 2, 7, 0.286, 2, 2, 1.0, 3, 13, 16, 5, 1.0, 2, 3, 1, 1, 3, 24, 8.0, 1, 1, 1, 1, 1, 29, 3, 65, 38, 27, 53, 69, 74, 1, 16, 3, 6, 31, 7, 14, 6, 27, 1, 72, 13
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701197, 2018-04-08T00:00:00, CHA vs. IND, L, 12.0, 9, 17, 0.529, 2, 4, 0.5, 4, 8, 0.5, 2, 10, 12, 5, 9.0, 2, 1, 1, 3, 6, 24, -1.0, 1, 37, 37, 37, 1, 42, 77, 18, 38, 66, 15, 45, 24, 67, 40, 19, 25, 31, 81, 14, 31, 27, 20, 24, 40
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701182, 2018-04-06T00:00:00, CHA @ ORL, W, 12.0, 10, 19, 0.526, 5, 6, 0.833, 6, 6, 1.0, 3, 8, 11, 5, 5.0, 2, 2, 2, 3, 5, 31, 5.0, 1, 1, 1, 1, 1, 29, 60, 20, 4, 38, 1, 24, 40, 1, 16, 43, 37, 31, 66, 14, 11, 53, 20, 41, 20
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701160, 2018-04-03T00:00:00, CHA @ CHI, L, 12.0, 10, 18, 0.556, 3, 7, 0.429, 9, 11, 0.818, 3, 9, 12, 7, 4.0, 0, 1, 1, 2, 7, 32, -1.0, 1, 37, 37, 37, 1, 29, 71, 13, 22, 27, 30, 6, 9, 31, 16, 28, 25, 14, 49, 70, 31, 27, 5, 9, 40
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701143, 2018-04-01T00:00:00, CHA vs. PHI, L, 12.0, 9, 20, 0.45, 2, 4, 0.5, 7, 9, 0.778, 1, 8, 9, 4, 4.0, 1, 2, 1, 2, 7, 27, -4.0, 1, 37, 37, 37, 1, 42, 49, 37, 38, 66, 15, 18, 16, 39, 66, 43, 59, 55, 49, 39, 11, 27, 5, 9, 54
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701138, 2018-03-31T00:00:00, CHA @ WAS, L, 12.0, 9, 20, 0.45, 2, 10, 0.2, 3, 9, 0.333, 3, 8, 11, 5, 3.0, 0, 0, 0, 2, 7, 23, -14.0, 1, 37, 37, 37, 1, 42, 49, 37, 38, 7, 68, 56, 16, 79, 16, 43, 37, 31, 33, 70, 60, 1, 5, 9, 78
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701116, 2018-03-28T00:00:00, CHA vs. CLE, L, 12.0, 11, 17, 0.647, 0, 1, 0.0, 2, 2, 1.0, 0, 5, 5, 8, 3.0, 0, 0, 0, 2, 4, 24, -7.0, 1, 37, 37, 37, 1, 16, 77, 3, 77, 82, 77, 69, 74, 1, 77, 77, 82, 6, 33, 70, 60, 1, 5, 57, 67
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701103, 2018-03-26T00:00:00, CHA vs. NYK, W, 12.0, 9, 22, 0.409, 1, 4, 0.25, 6, 9, 0.667, 4, 6, 10, 4, 3.0, 2, 1, 0, 5, 6, 25, -8.0, 1, 1, 1, 1, 1, 42, 24, 58, 61, 66, 60, 24, 16, 56, 7, 69, 55, 55, 33, 14, 31, 1, 47, 24, 70
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701093, 2018-03-24T00:00:00, CHA @ DAL, W, 12.0, 8, 20, 0.4, 4, 8, 0.5, 5, 6, 0.833, 2, 13, 15, 5, 2.0, 1, 1, 0, 2, 5, 25, 3.0, 1, 1, 1, 1, 1, 56, 49, 62, 8, 17, 15, 34, 40, 27, 40, 3, 8, 31, 18, 39, 31, 1, 5, 41, 27
2017-18, 1610612766, CHA, Charlotte Hornets, 0021701072, 2018-03-22T00:00:00, CHA vs. MEM, W, 12.0, 11, 21, 0.524, 7, 12, 0.583, 8, 9, 0.889, 2, 12, 14, 6, 4.0, 3, 1, 1, 1, 6, 37, 22.0, 1, 1, 1, 1, 1, 16, 35, 24, 1, 1, 10, 10, 16, 18, 40, 10, 13, 24, 49, 6, 31, 27, 1, 24, 1
