SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701228, 2018-04-11T00:00:00, LAL @ LAC, W, 12.0, 9, 18, 0.5, 6, 10, 0.6, 4, 4, 1.0, 4, 11, 15, 5, 9.0, 2, 2, 0, 6, 2, 28, 7.0, 1, 1, 1, 1, 1, 48, 64, 26, 2, 5, 4, 39, 46, 1, 12, 14, 9, 45, 82, 27, 14, 1, 48, 75, 12
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701218, 2018-04-10T00:00:00, LAL vs. HOU, L, 12.0, 10, 23, 0.435, 2, 12, 0.167, 5, 5, 1.0, 3, 9, 12, 4, 3.0, 4, 1, 0, 3, 5, 27, 1.0, 1, 36, 36, 36, 1, 36, 21, 54, 42, 2, 63, 29, 42, 1, 23, 36, 37, 60, 15, 6, 31, 1, 5, 38, 38
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701201, 2018-04-08T00:00:00, LAL vs. UTA, L, 12.0, 10, 23, 0.435, 0, 5, 0.0, 3, 4, 0.75, 2, 11, 13, 6, 4.0, 2, 1, 1, 9, 7, 23, -9.0, 1, 36, 36, 36, 1, 36, 21, 54, 76, 70, 76, 51, 46, 38, 40, 14, 19, 28, 32, 27, 31, 25, 80, 15, 76
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701190, 2018-04-06T00:00:00, LAL vs. MIN, L, 12.0, 5, 18, 0.278, 1, 6, 0.167, 4, 4, 1.0, 2, 10, 12, 2, 7.0, 0, 1, 2, 5, 2, 15, -14.0, 1, 36, 36, 36, 1, 78, 64, 78, 59, 57, 63, 39, 46, 1, 40, 23, 37, 81, 75, 74, 31, 54, 35, 75, 80
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701174, 2018-04-04T00:00:00, LAL vs. SAS, W, 12.0, 9, 20, 0.45, 3, 6, 0.5, 2, 2, 1.0, 1, 12, 13, 6, 5.0, 0, 1, 2, 4, 2, 23, -3.0, 1, 1, 1, 1, 1, 48, 48, 44, 25, 57, 10, 57, 66, 1, 57, 9, 19, 28, 50, 74, 31, 54, 20, 75, 55
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701166, 2018-04-03T00:00:00, LAL @ UTA, L, 12.0, 8, 18, 0.444, 4, 6, 0.667, 9, 12, 0.75, 3, 9, 12, 4, 5.0, 2, 0, 2, 6, 6, 29, -1.0, 1, 36, 36, 36, 1, 60, 64, 45, 5, 57, 1, 7, 8, 38, 23, 36, 37, 60, 50, 27, 59, 54, 48, 21, 46
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701155, 2018-04-01T00:00:00, LAL vs. SAC, L, 12.0, 8, 22, 0.364, 3, 10, 0.3, 2, 4, 0.5, 4, 9, 13, 5, 5.0, 1, 0, 1, 4, 6, 21, 4.0, 1, 36, 36, 36, 1, 60, 28, 70, 25, 5, 49, 57, 46, 62, 12, 36, 19, 45, 50, 53, 59, 25, 20, 21, 21
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701136, 2018-03-30T00:00:00, LAL vs. MIL, L, 12.0, 10, 19, 0.526, 2, 4, 0.5, 4, 4, 1.0, 2, 9, 11, 7, 5.0, 0, 1, 0, 6, 6, 26, -3.0, 1, 36, 36, 36, 1, 36, 56, 19, 42, 74, 10, 39, 46, 1, 40, 36, 50, 15, 50, 74, 31, 1, 48, 21, 55
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701123, 2018-03-28T00:00:00, LAL vs. DAL, W, 12.0, 8, 18, 0.444, 1, 8, 0.125, 10, 15, 0.667, 1, 13, 14, 6, 3.0, 1, 1, 0, 5, 8, 27, 2.0, 1, 1, 1, 1, 1, 60, 64, 45, 59, 24, 71, 4, 3, 47, 57, 5, 15, 28, 15, 53, 31, 1, 35, 9, 31
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701104, 2018-03-26T00:00:00, LAL @ DET, L, 12.0, 8, 22, 0.364, 1, 7, 0.143, 4, 4, 1.0, 1, 12, 13, 5, 2.0, 0, 1, 0, 3, 4, 21, -7.0, 1, 36, 36, 36, 1, 60, 28, 70, 59, 34, 66, 39, 46, 1, 57, 9, 19, 45, 5, 74, 31, 1, 5, 52, 70
2017-18, 1610612747, LAL, Los Angeles Lakers, 0021701092, 2018-03-24T00:00:00, LAL @ MEM, W, 12.0, 8, 21, 0.381, 2, 11, 0.182, 1, 2, 0.5, 2, 11, 13, 4, 4.0, 4, 0, 1, 4, 3, 19, 5.0, 1, 1, 1, 1, 1, 60, 40, 67, 42, 4, 62, 65, 66, 62, 40, 14, 19, 60, 32, 6, 59, 25, 20, 66, 15
