SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701227, 2018-04-11T00:00:00, MEM @ OKC, L, 12.0, 15, 25, 0.6, 5, 6, 0.833, 4, 6, 0.667, 2, 12, 14, 7, 1.0, 1, 0, 0, 4, 5, 39, 11.0, 1, 23, 23, 23, 1, 1, 1, 5, 6, 41, 1, 40, 31, 57, 36, 5, 9, 14, 3, 45, 59, 1, 12, 44, 5
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701209, 2018-04-09T00:00:00, MEM @ MIN, L, 12.0, 10, 21, 0.476, 0, 1, 0.0, 2, 2, 1.0, 3, 5, 8, 6, 5.0, 4, 0, 2, 7, 5, 22, -5.0, 1, 23, 23, 23, 1, 23, 25, 27, 74, 82, 74, 58, 62, 1, 17, 71, 62, 24, 58, 3, 59, 54, 57, 44, 55
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701199, 2018-04-08T00:00:00, MEM vs. DET, W, 12.0, 13, 20, 0.65, 5, 10, 0.5, 3, 4, 0.75, 3, 9, 12, 8, 4.0, 2, 3, 0, 4, 4, 34, 6.0, 1, 1, 1, 1, 1, 2, 37, 1, 6, 5, 16, 49, 50, 49, 17, 21, 17, 6, 35, 27, 4, 1, 12, 62, 19
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701188, 2018-04-06T00:00:00, MEM vs. SAC, L, 12.0, 6, 18, 0.333, 0, 4, 0.0, 3, 3, 1.0, 1, 5, 6, 3, 6.0, 3, 0, 1, 2, 5, 15, -9.0, 1, 23, 23, 23, 1, 65, 62, 61, 74, 69, 74, 49, 57, 1, 63, 71, 78, 62, 70, 9, 59, 26, 1, 44, 66
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701173, 2018-04-04T00:00:00, MEM @ NOP, L, 12.0, 7, 25, 0.28, 1, 11, 0.091, 5, 6, 0.833, 4, 5, 9, 3, 5.0, 2, 0, 3, 6, 5, 20, -12.0, 1, 23, 23, 23, 1, 55, 1, 74, 55, 2, 73, 30, 31, 38, 9, 71, 57, 62, 58, 27, 59, 73, 36, 44, 74
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701154, 2018-04-01T00:00:00, MEM @ POR, L, 12.0, 10, 20, 0.5, 3, 6, 0.5, 1, 2, 0.5, 2, 4, 6, 3, 9.0, 2, 2, 2, 6, 2, 24, -19.0, 1, 23, 23, 23, 1, 23, 37, 17, 18, 41, 16, 69, 62, 67, 36, 79, 78, 62, 81, 27, 11, 54, 36, 77, 80
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701135, 2018-03-30T00:00:00, MEM @ UTA, L, 12.0, 11, 18, 0.611, 5, 8, 0.625, 2, 2, 1.0, 1, 6, 7, 6, 5.0, 0, 1, 2, 5, 6, 29, 1.0, 1, 23, 23, 23, 1, 11, 62, 4, 6, 15, 9, 58, 62, 1, 63, 61, 72, 24, 58, 69, 24, 54, 20, 36, 35
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701119, 2018-03-28T00:00:00, MEM vs. POR, W, 12.0, 9, 20, 0.45, 2, 5, 0.4, 3, 4, 0.75, 2, 10, 12, 6, 4.0, 0, 1, 1, 3, 3, 23, 0.0, 1, 1, 1, 1, 1, 33, 37, 37, 37, 61, 33, 49, 50, 49, 36, 13, 17, 24, 35, 69, 24, 26, 5, 71, 40
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701106, 2018-03-26T00:00:00, MEM @ MIN, W, 12.0, 8, 22, 0.364, 3, 8, 0.375, 0, 2, 0.0, 3, 6, 9, 4, 4.0, 1, 1, 1, 4, 4, 19, -4.0, 1, 1, 1, 1, 1, 45, 20, 58, 18, 15, 34, 80, 62, 80, 17, 61, 57, 49, 35, 45, 24, 26, 12, 62, 52
2017-18, 1610612763, MEM, Memphis Grizzlies, 0021701092, 2018-03-24T00:00:00, MEM vs. LAL, L, 12.0, 5, 19, 0.263, 1, 9, 0.111, 3, 4, 0.75, 1, 9, 10, 3, 4.0, 3, 1, 0, 3, 4, 14, -5.0, 1, 23, 23, 23, 1, 72, 51, 77, 55, 10, 72, 49, 50, 49, 63, 21, 43, 62, 35, 9, 24, 1, 5, 62, 55
