SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701223, 2018-04-11T00:00:00, MIL @ PHI, L, 12.0, 13, 27, 0.481, 4, 10, 0.4, 1, 2, 0.5, 3, 12, 15, 9, 4.0, 4, 3, 3, 4, 2, 31, 6.0, 1, 45, 45, 45, 1, 6, 2, 49, 5, 3, 38, 70, 68, 68, 14, 2, 5, 5, 40, 7, 4, 76, 19, 70, 21
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701208, 2018-04-09T00:00:00, MIL vs. ORL, W, 12.0, 10, 22, 0.455, 3, 5, 0.6, 6, 8, 0.75, 5, 10, 15, 8, 5.0, 3, 1, 1, 4, 5, 29, 4.0, 1, 1, 1, 1, 1, 36, 13, 60, 19, 51, 12, 17, 14, 45, 3, 12, 5, 10, 64, 16, 39, 31, 19, 30, 30
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701192, 2018-04-07T00:00:00, MIL @ NYK, W, 12.0, 10, 23, 0.435, 3, 7, 0.429, 4, 4, 1.0, 2, 8, 10, 8, 2.0, 4, 3, 3, 3, 5, 27, 5.0, 1, 1, 1, 1, 1, 36, 9, 61, 19, 16, 35, 32, 48, 1, 26, 31, 30, 10, 7, 7, 4, 76, 6, 30, 27
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701178, 2018-04-05T00:00:00, MIL vs. BKN, L, 12.0, 12, 21, 0.571, 2, 4, 0.5, 10, 12, 0.833, 1, 8, 9, 9, 0.0, 5, 1, 1, 5, 8, 36, 5.0, 1, 45, 45, 45, 1, 13, 20, 18, 36, 61, 21, 2, 3, 33, 46, 31, 45, 5, 1, 3, 39, 31, 33, 3, 27
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701162, 2018-04-03T00:00:00, MIL vs. BOS, W, 12.0, 10, 24, 0.417, 0, 6, 0.0, 1, 3, 0.333, 4, 12, 16, 6, 3.0, 2, 3, 2, 5, 5, 21, 6.0, 1, 1, 1, 1, 1, 36, 6, 64, 70, 29, 70, 70, 61, 77, 6, 2, 2, 39, 21, 31, 4, 57, 33, 30, 21
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701152, 2018-04-01T00:00:00, MIL @ DEN, L, 12.0, 13, 21, 0.619, 4, 6, 0.667, 8, 11, 0.727, 3, 14, 17, 8, 3.0, 4, 1, 2, 7, 8, 38, 22.0, 1, 45, 45, 45, 1, 6, 20, 11, 5, 29, 8, 8, 5, 52, 14, 1, 1, 10, 21, 7, 39, 57, 63, 3, 1
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701136, 2018-03-30T00:00:00, MIL @ LAL, W, 12.0, 11, 21, 0.524, 4, 9, 0.444, 3, 4, 0.75, 0, 6, 6, 7, 2.0, 3, 0, 1, 6, 6, 29, 3.0, 1, 1, 1, 1, 1, 25, 20, 36, 5, 4, 33, 49, 48, 45, 68, 63, 75, 27, 7, 16, 62, 31, 51, 15, 34
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701128, 2018-03-29T00:00:00, MIL @ GSW, W, 12.0, 14, 20, 0.7, 4, 4, 1.0, 2, 2, 1.0, 1, 9, 10, 10, 3.0, 2, 2, 2, 4, 5, 34, 11.0, 1, 1, 1, 1, 1, 4, 36, 3, 5, 61, 1, 61, 68, 1, 46, 19, 30, 1, 21, 31, 15, 57, 19, 30, 9
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701115, 2018-03-27T00:00:00, MIL @ LAC, L, 12.0, 11, 21, 0.524, 0, 3, 0.0, 4, 8, 0.5, 2, 10, 12, 8, 2.0, 2, 2, 1, 2, 7, 26, 10.0, 1, 45, 45, 45, 1, 25, 20, 36, 70, 71, 70, 32, 14, 68, 26, 12, 14, 10, 7, 31, 15, 31, 1, 8, 11
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701095, 2018-03-25T00:00:00, MIL vs. SAS, W, 12.0, 16, 25, 0.64, 4, 6, 0.667, 5, 6, 0.833, 4, 5, 9, 9, 2.0, 3, 1, 2, 5, 6, 41, 13.0, 1, 1, 1, 1, 1, 1, 4, 8, 5, 29, 8, 25, 33, 33, 6, 74, 45, 5, 7, 16, 39, 57, 33, 15, 5
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701083, 2018-03-23T00:00:00, MIL @ CHI, W, 12.0, 11, 20, 0.55, 3, 6, 0.5, 4, 4, 1.0, 1, 7, 8, 8, 0.0, 1, 3, 0, 3, 5, 29, 8.0, 1, 1, 1, 1, 1, 25, 36, 24, 19, 29, 21, 32, 48, 1, 46, 49, 58, 10, 1, 50, 4, 1, 6, 30, 14
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701070, 2018-03-21T00:00:00, MIL vs. LAC, L, 12.0, 11, 20, 0.55, 0, 2, 0.0, 4, 4, 1.0, 2, 7, 9, 6, 4.0, 2, 0, 0, 3, 2, 26, -7.0, 1, 45, 45, 45, 1, 25, 36, 24, 70, 76, 70, 32, 48, 1, 26, 49, 45, 39, 40, 31, 62, 1, 6, 70, 69
2017-18, 1610612749, MIL, Milwaukee Bucks, 0021701050, 2018-03-19T00:00:00, MIL @ CLE, L, 12.0, 12, 22, 0.545, 3, 9, 0.333, 1, 1, 1.0, 0, 3, 3, 7, 3.0, 5, 1, 1, 5, 3, 28, -1.0, 1, 45, 45, 45, 1, 13, 13, 28, 19, 4, 44, 70, 76, 1, 68, 80, 81, 27, 21, 3, 39, 31, 33, 62, 51
