SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701225, 2018-04-11T00:00:00, MIN vs. DEN, W, 12.0, 9, 21, 0.429, 2, 5, 0.4, 4, 4, 1.0, 3, 4, 7, 4, 4.0, 5, 0, 2, 4, 5, 24, -3.0, 1, 1, 1, 1, 1, 49, 34, 56, 31, 34, 30, 42, 54, 1, 25, 75, 69, 52, 54, 2, 55, 53, 19, 34, 57
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701209, 2018-04-09T00:00:00, MIN vs. MEM, W, 12.0, 7, 15, 0.467, 2, 7, 0.286, 11, 11, 1.0, 2, 7, 9, 5, 6.0, 2, 2, 0, 5, 7, 27, 5.0, 1, 1, 1, 1, 1, 75, 82, 43, 31, 15, 50, 4, 7, 1, 40, 42, 49, 34, 75, 28, 7, 1, 43, 12, 19
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701190, 2018-04-06T00:00:00, MIN @ LAL, W, 12.0, 12, 26, 0.462, 3, 8, 0.375, 2, 3, 0.667, 5, 8, 13, 7, 0.0, 4, 2, 1, 2, 5, 29, 14.0, 1, 1, 1, 1, 1, 10, 4, 45, 14, 7, 36, 67, 66, 59, 6, 27, 10, 12, 1, 9, 7, 26, 1, 34, 5
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701180, 2018-04-05T00:00:00, MIN @ DEN, L, 12.0, 7, 24, 0.292, 0, 6, 0.0, 4, 6, 0.667, 3, 9, 12, 3, 2.0, 0, 0, 2, 4, 6, 18, -10.0, 1, 48, 48, 48, 1, 75, 13, 79, 67, 25, 67, 42, 38, 59, 25, 13, 18, 70, 13, 75, 55, 53, 19, 20, 75
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701151, 2018-04-01T00:00:00, MIN vs. UTA, L, 12.0, 8, 22, 0.364, 3, 8, 0.375, 2, 2, 1.0, 2, 6, 8, 4, 3.0, 2, 1, 2, 5, 3, 21, -5.0, 1, 48, 48, 48, 1, 64, 27, 73, 14, 7, 36, 67, 73, 1, 40, 58, 63, 52, 28, 28, 21, 53, 43, 69, 65
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701134, 2018-03-30T00:00:00, MIN @ DAL, W, 12.0, 9, 19, 0.474, 2, 5, 0.4, 3, 4, 0.75, 0, 10, 10, 2, 1.0, 3, 0, 0, 3, 3, 23, 5.0, 1, 1, 1, 1, 1, 49, 59, 41, 31, 34, 30, 54, 54, 45, 78, 6, 38, 79, 4, 17, 55, 1, 8, 69, 19
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701120, 2018-03-28T00:00:00, MIN vs. ATL, W, 12.0, 13, 23, 0.565, 4, 7, 0.571, 3, 5, 0.6, 1, 9, 10, 10, 2.0, 3, 0, 1, 6, 4, 33, 2.0, 1, 1, 1, 1, 1, 2, 20, 16, 4, 15, 17, 54, 48, 67, 63, 13, 38, 1, 13, 17, 55, 26, 65, 51, 31
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701106, 2018-03-26T00:00:00, MIN vs. MEM, L, 12.0, 8, 19, 0.421, 1, 5, 0.2, 6, 7, 0.857, 2, 8, 10, 6, 3.0, 2, 1, 1, 4, 4, 23, 4.0, 1, 48, 48, 48, 1, 64, 59, 59, 50, 34, 60, 23, 26, 32, 40, 27, 38, 23, 28, 28, 21, 26, 19, 51, 23
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701088, 2018-03-24T00:00:00, MIN @ PHI, L, 12.0, 3, 19, 0.158, 0, 6, 0.0, 13, 14, 0.929, 4, 8, 12, 1, 8.0, 4, 2, 2, 9, 8, 19, -20.0, 1, 48, 48, 48, 1, 82, 59, 82, 67, 25, 67, 1, 3, 24, 15, 27, 18, 81, 81, 9, 7, 53, 80, 5, 82
2017-18, 1610612750, MIN, Minnesota Timberwolves, 0021701081, 2018-03-23T00:00:00, MIN @ NYK, W, 12.0, 8, 16, 0.5, 3, 8, 0.375, 8, 8, 1.0, 0, 9, 9, 4, 6.0, 0, 1, 0, 6, 6, 27, -7.0, 1, 1, 1, 1, 1, 64, 79, 29, 14, 7, 36, 13, 19, 1, 78, 13, 49, 52, 75, 75, 21, 1, 65, 20, 72
