SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701226, 2018-04-11T00:00:00, NOP vs. SAS, W, 12.0, 13, 27, 0.481, 1, 8, 0.125, 2, 4, 0.5, 6, 11, 17, 5, 4.0, 3, 1, 0, 7, 2, 29, 0.0, 1, 1, 1, 1, 1, 9, 3, 34, 60, 29, 73, 51, 35, 59, 2, 17, 2, 51, 41, 14, 35, 1, 70, 76, 32
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701212, 2018-04-09T00:00:00, NOP @ LAC, W, 12.0, 13, 24, 0.542, 1, 4, 0.25, 7, 9, 0.778, 1, 12, 13, 11, 1.0, 6, 4, 0, 4, 7, 34, 12.0, 1, 1, 1, 1, 1, 9, 20, 20, 60, 71, 48, 8, 8, 40, 49, 7, 22, 2, 2, 2, 2, 1, 27, 5, 7
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701195, 2018-04-07T00:00:00, NOP @ GSW, W, 12.0, 7, 18, 0.389, 1, 4, 0.25, 6, 6, 1.0, 0, 10, 10, 5, 3.0, 2, 1, 0, 5, 5, 21, -6.0, 1, 1, 1, 1, 1, 69, 69, 64, 60, 71, 48, 10, 18, 1, 68, 25, 46, 51, 21, 25, 35, 1, 40, 26, 54
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701189, 2018-04-06T00:00:00, NOP @ PHX, W, 12.0, 9, 21, 0.429, 2, 4, 0.5, 3, 4, 0.75, 1, 8, 9, 5, 4.0, 4, 3, 0, 7, 3, 23, -1.0, 1, 1, 1, 1, 1, 48, 45, 48, 39, 71, 7, 37, 35, 42, 49, 51, 58, 51, 41, 3, 9, 1, 70, 61, 36
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701173, 2018-04-04T00:00:00, NOP vs. MEM, W, 12.0, 10, 21, 0.476, 4, 10, 0.4, 8, 9, 0.889, 5, 10, 15, 7, 4.0, 4, 3, 0, 5, 6, 32, 12.0, 1, 1, 1, 1, 1, 36, 45, 36, 9, 13, 28, 4, 8, 32, 4, 25, 9, 20, 41, 3, 9, 1, 40, 12, 7
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701150, 2018-04-01T00:00:00, NOP vs. OKC, L, 12.0, 10, 17, 0.588, 3, 7, 0.429, 2, 2, 1.0, 1, 9, 10, 7, 8.0, 4, 1, 0, 5, 4, 25, -2.0, 1, 49, 49, 49, 1, 36, 73, 14, 17, 42, 19, 51, 62, 1, 49, 35, 46, 20, 80, 3, 35, 1, 40, 44, 41
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701131, 2018-03-30T00:00:00, NOP @ CLE, L, 12.0, 9, 19, 0.474, 2, 6, 0.333, 2, 2, 1.0, 0, 9, 9, 7, 4.0, 0, 1, 0, 3, 3, 22, -11.0, 1, 49, 49, 49, 1, 48, 64, 37, 39, 56, 36, 51, 62, 1, 68, 35, 58, 20, 41, 69, 35, 1, 13, 61, 72
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701112, 2018-03-27T00:00:00, NOP vs. POR, L, 12.0, 12, 23, 0.522, 1, 6, 0.167, 1, 1, 1.0, 1, 10, 11, 10, 4.0, 0, 2, 2, 4, 4, 26, 1.0, 1, 49, 49, 49, 1, 16, 27, 22, 60, 56, 67, 64, 70, 1, 49, 25, 37, 6, 41, 69, 18, 56, 27, 44, 28
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701091, 2018-03-24T00:00:00, NOP @ HOU, L, 12.0, 9, 21, 0.429, 1, 6, 0.167, 5, 8, 0.625, 3, 11, 14, 5, 5.0, 4, 3, 2, 3, 7, 24, 5.0, 1, 49, 49, 49, 1, 48, 45, 48, 60, 56, 67, 14, 12, 57, 15, 17, 16, 51, 58, 3, 9, 56, 13, 5, 20
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701075, 2018-03-22T00:00:00, NOP vs. LAL, W, 12.0, 10, 23, 0.435, 1, 7, 0.143, 5, 6, 0.833, 2, 9, 11, 4, 3.0, 2, 1, 1, 6, 4, 26, -9.0, 1, 1, 1, 1, 1, 36, 27, 47, 60, 42, 72, 14, 18, 34, 39, 35, 37, 67, 21, 25, 35, 29, 56, 44, 70
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700809, 2018-03-21T00:00:00, NOP vs. IND, W, 12.0, 6, 17, 0.353, 0, 4, 0.0, 4, 4, 1.0, 3, 13, 16, 2, 7.0, 1, 5, 1, 5, 3, 16, -3.0, 1, 1, 1, 1, 1, 74, 73, 68, 78, 71, 78, 24, 35, 1, 15, 2, 3, 76, 75, 50, 1, 29, 40, 61, 45
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701061, 2018-03-20T00:00:00, NOP vs. DAL, W, 12.0, 11, 25, 0.44, 3, 6, 0.5, 1, 4, 0.25, 3, 12, 15, 8, 2.0, 0, 0, 2, 1, 3, 26, -2.0, 1, 1, 1, 1, 1, 25, 14, 44, 17, 56, 7, 64, 35, 74, 15, 7, 9, 12, 8, 69, 59, 56, 1, 61, 41
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701047, 2018-03-18T00:00:00, NOP vs. BOS, W, 12.0, 12, 20, 0.6, 3, 6, 0.5, 8, 10, 0.8, 1, 12, 13, 10, 2.0, 1, 0, 0, 3, 6, 35, 8.0, 1, 1, 1, 1, 1, 16, 51, 8, 17, 56, 7, 4, 4, 37, 49, 7, 22, 6, 8, 50, 59, 1, 13, 12, 15
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701036, 2018-03-17T00:00:00, NOP vs. HOU, L, 12.0, 6, 20, 0.3, 2, 11, 0.182, 4, 4, 1.0, 3, 9, 12, 3, 4.0, 2, 2, 1, 4, 6, 18, -6.0, 1, 49, 49, 49, 1, 74, 51, 76, 39, 7, 66, 24, 35, 1, 15, 35, 29, 71, 41, 25, 18, 29, 27, 12, 54
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701025, 2018-03-15T00:00:00, NOP @ SAS, L, 12.0, 6, 20, 0.3, 1, 4, 0.25, 2, 2, 1.0, 3, 13, 16, 2, 8.0, 4, 2, 3, 6, 2, 15, -3.0, 1, 49, 49, 49, 1, 74, 51, 76, 60, 71, 48, 51, 62, 1, 15, 2, 3, 76, 80, 3, 18, 78, 56, 76, 45
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021701011, 2018-03-13T00:00:00, NOP vs. CHA, W, 12.0, 10, 25, 0.4, 0, 3, 0.0, 0, 0, 0.0, 2, 5, 7, 5, 2.0, 7, 1, 3, 2, 3, 20, -7.0, 1, 1, 1, 1, 1, 36, 14, 59, 78, 81, 78, 76, 78, 76, 39, 73, 73, 51, 8, 1, 35, 78, 5, 61, 60
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700995, 2018-03-11T00:00:00, NOP vs. UTA, L, 12.0, 11, 27, 0.407, 1, 5, 0.2, 0, 0, 0.0, 3, 5, 8, 8, 2.0, 1, 4, 1, 8, 2, 23, -7.0, 1, 49, 49, 49, 1, 25, 3, 57, 60, 66, 63, 76, 78, 76, 15, 73, 65, 12, 8, 50, 2, 29, 79, 76, 60
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700982, 2018-03-09T00:00:00, NOP vs. WAS, L, 12.0, 9, 20, 0.45, 2, 4, 0.5, 4, 4, 1.0, 1, 9, 10, 5, 4.0, 0, 1, 2, 6, 5, 24, -6.0, 1, 49, 49, 49, 1, 48, 51, 42, 39, 71, 7, 24, 35, 1, 49, 35, 46, 51, 41, 69, 35, 56, 56, 26, 54
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700969, 2018-03-07T00:00:00, NOP @ SAC, W, 12.0, 10, 22, 0.455, 2, 9, 0.222, 1, 1, 1.0, 3, 9, 12, 6, 3.0, 1, 1, 1, 6, 4, 23, 0.0, 1, 1, 1, 1, 1, 36, 36, 40, 39, 20, 60, 64, 70, 1, 15, 35, 29, 37, 21, 50, 35, 29, 56, 44, 32
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700964, 2018-03-06T00:00:00, NOP @ LAC, W, 12.0, 12, 27, 0.444, 5, 10, 0.5, 1, 1, 1.0, 3, 9, 12, 11, 1.0, 2, 4, 0, 6, 3, 30, 0.0, 1, 1, 1, 1, 1, 16, 3, 43, 1, 13, 7, 64, 70, 1, 15, 35, 29, 2, 2, 25, 2, 1, 56, 61, 32
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700946, 2018-03-04T00:00:00, NOP @ DAL, W, 12.0, 10, 22, 0.455, 2, 4, 0.5, 4, 6, 0.667, 3, 9, 12, 5, 3.0, 1, 0, 2, 7, 6, 26, -3.0, 1, 1, 1, 1, 1, 36, 36, 40, 39, 71, 7, 24, 18, 52, 15, 35, 29, 51, 21, 50, 59, 56, 70, 12, 45
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700920, 2018-02-28T00:00:00, NOP @ SAS, W, 12.0, 14, 28, 0.5, 3, 9, 0.333, 5, 5, 1.0, 3, 5, 8, 6, 4.0, 4, 1, 1, 4, 5, 36, 1.0, 1, 1, 1, 1, 1, 3, 2, 25, 17, 20, 36, 14, 28, 1, 15, 73, 65, 37, 41, 3, 35, 29, 27, 26, 28
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700902, 2018-02-26T00:00:00, NOP vs. PHX, W, 12.0, 12, 18, 0.667, 3, 5, 0.6, 11, 13, 0.846, 0, 10, 10, 7, 4.0, 3, 2, 2, 5, 9, 38, 14.0, 1, 1, 1, 1, 1, 16, 69, 2, 17, 66, 2, 1, 1, 33, 68, 25, 46, 20, 41, 14, 18, 56, 40, 1, 5
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700893, 2018-02-25T00:00:00, NOP @ MIL, W, 12.0, 15, 25, 0.6, 3, 7, 0.429, 5, 7, 0.714, 0, 13, 13, 6, 1.0, 2, 3, 1, 5, 5, 38, 19.0, 1, 1, 1, 1, 1, 1, 14, 8, 17, 42, 19, 14, 16, 50, 68, 2, 22, 37, 2, 25, 9, 29, 40, 26, 2
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700879, 2018-02-23T00:00:00, NOP vs. MIA, W, 12.0, 11, 25, 0.44, 2, 9, 0.222, 3, 3, 1.0, 3, 11, 14, 8, 7.0, 2, 4, 0, 4, 4, 27, -3.0, 1, 1, 1, 1, 1, 25, 14, 44, 39, 20, 60, 37, 55, 1, 15, 17, 16, 12, 75, 25, 2, 1, 27, 44, 45
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700862, 2018-02-14T00:00:00, NOP vs. LAL, W, 12.0, 11, 27, 0.407, 1, 8, 0.125, 1, 2, 0.5, 3, 12, 15, 7, 3.0, 3, 4, 2, 4, 3, 24, -1.0, 1, 1, 1, 1, 1, 25, 3, 57, 60, 29, 73, 64, 62, 59, 15, 7, 9, 20, 21, 14, 2, 56, 27, 61, 36
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700841, 2018-02-12T00:00:00, NOP @ DET, W, 12.0, 12, 29, 0.414, 5, 10, 0.5, 6, 6, 1.0, 5, 14, 19, 9, 2.0, 3, 3, 2, 5, 3, 35, 7.0, 1, 1, 1, 1, 1, 16, 1, 55, 1, 13, 7, 10, 18, 1, 4, 1, 1, 10, 8, 14, 9, 56, 40, 61, 16
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700826, 2018-02-10T00:00:00, NOP @ BKN, W, 12.0, 11, 19, 0.579, 2, 7, 0.286, 4, 8, 0.5, 1, 5, 6, 7, 5.0, 4, 2, 1, 2, 5, 28, -5.0, 1, 1, 1, 1, 1, 25, 64, 15, 39, 42, 43, 24, 12, 59, 49, 73, 78, 20, 58, 3, 18, 29, 5, 26, 52
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700818, 2018-02-09T00:00:00, NOP @ PHI, L, 12.0, 5, 24, 0.208, 0, 7, 0.0, 1, 2, 0.5, 2, 12, 14, 1, 3.0, 1, 0, 0, 4, 3, 11, -17.0, 1, 49, 49, 49, 1, 78, 20, 81, 78, 42, 78, 64, 62, 59, 39, 7, 16, 82, 21, 50, 59, 1, 27, 61, 78
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700793, 2018-02-05T00:00:00, NOP vs. UTA, L, 12.0, 10, 24, 0.417, 1, 6, 0.167, 1, 5, 0.2, 1, 8, 9, 4, 4.0, 1, 0, 2, 3, 6, 22, -7.0, 1, 49, 49, 49, 1, 36, 20, 53, 60, 56, 67, 64, 28, 75, 49, 51, 58, 67, 41, 50, 59, 56, 13, 12, 60
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700780, 2018-02-03T00:00:00, NOP @ MIN, L, 12.0, 11, 26, 0.423, 3, 11, 0.273, 3, 3, 1.0, 5, 9, 14, 5, 2.0, 4, 4, 1, 2, 2, 28, -1.0, 1, 49, 49, 49, 1, 25, 9, 51, 17, 7, 47, 37, 55, 1, 4, 35, 16, 51, 8, 3, 2, 29, 5, 76, 36
2017-18, 1610612740, NOP, New Orleans Pelicans, 0021700772, 2018-02-02T00:00:00, NOP @ OKC, W, 12.0, 14, 22, 0.636, 5, 9, 0.556, 3, 4, 0.75, 1, 7, 8, 11, 3.0, 1, 0, 0, 7, 5, 36, 11.0, 1, 1, 1, 1, 1, 3, 36, 4, 1, 20, 5, 37, 35, 42, 49, 61, 65, 2, 21, 50, 59, 1, 70, 26, 9
