SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612756, PHX, Phoenix Suns, 0021701216, 2018-04-10T00:00:00, PHX @ DAL, W, 12.0, 16, 20, 0.8, 6, 8, 0.75, 1, 1, 1.0, 1, 10, 11, 13, 4.0, 1, 0, 0, 3, 4, 39, 17.0, 1, 1, 1, 1, 1, 1, 51, 1, 1, 23, 2, 71, 74, 1, 55, 14, 26, 1, 29, 42, 57, 1, 4, 52, 1
2017-18, 1610612756, PHX, Phoenix Suns, 0021701203, 2018-04-08T00:00:00, PHX vs. GSW, L, 12.0, 9, 18, 0.5, 2, 6, 0.333, 2, 2, 1.0, 1, 9, 10, 6, 6.0, 1, 0, 2, 6, 2, 22, -5.0, 1, 22, 22, 22, 1, 49, 71, 23, 36, 46, 37, 59, 68, 1, 55, 27, 40, 29, 64, 42, 57, 47, 33, 78, 46
2017-18, 1610612756, PHX, Phoenix Suns, 0021701189, 2018-04-06T00:00:00, PHX vs. NOP, L, 12.0, 9, 25, 0.36, 2, 8, 0.25, 4, 6, 0.667, 5, 10, 15, 7, 6.0, 1, 0, 3, 3, 7, 24, 1.0, 1, 22, 22, 22, 1, 49, 17, 65, 36, 23, 50, 40, 34, 50, 9, 14, 7, 14, 64, 42, 57, 62, 4, 14, 20
2017-18, 1610612756, PHX, Phoenix Suns, 0021701167, 2018-04-03T00:00:00, PHX vs. SAC, W, 12.0, 10, 21, 0.476, 3, 7, 0.429, 4, 7, 0.571, 2, 7, 9, 7, 3.0, 3, 1, 0, 9, 5, 27, -2.0, 1, 1, 1, 1, 1, 34, 42, 32, 18, 36, 24, 40, 26, 67, 36, 40, 49, 14, 16, 10, 30, 1, 73, 37, 33
2017-18, 1610612756, PHX, Phoenix Suns, 0021701153, 2018-04-01T00:00:00, PHX @ GSW, L, 12.0, 8, 25, 0.32, 0, 6, 0.0, 2, 2, 1.0, 4, 7, 11, 6, 4.0, 1, 1, 3, 2, 3, 18, -18.0, 1, 22, 22, 22, 1, 61, 17, 74, 73, 46, 73, 59, 68, 1, 15, 40, 26, 29, 29, 42, 30, 62, 1, 69, 79
2017-18, 1610612756, PHX, Phoenix Suns, 0021701132, 2018-03-30T00:00:00, PHX @ HOU, L, 12.0, 11, 21, 0.524, 5, 8, 0.625, 2, 2, 1.0, 1, 5, 6, 7, 4.0, 3, 1, 3, 4, 3, 29, -6.0, 1, 22, 22, 22, 1, 18, 42, 17, 4, 23, 7, 59, 68, 1, 55, 73, 77, 14, 29, 10, 30, 62, 8, 69, 51
2017-18, 1610612756, PHX, Phoenix Suns, 0021701122, 2018-03-28T00:00:00, PHX vs. LAC, L, 12.0, 10, 23, 0.435, 3, 10, 0.3, 3, 3, 1.0, 3, 8, 11, 4, 4.0, 5, 2, 1, 3, 4, 26, -1.0, 1, 22, 22, 22, 1, 34, 25, 48, 18, 4, 44, 52, 62, 1, 21, 32, 26, 58, 29, 1, 10, 22, 4, 52, 29
2017-18, 1610612756, PHX, Phoenix Suns, 0021701107, 2018-03-26T00:00:00, PHX vs. BOS, L, 12.0, 7, 20, 0.35, 4, 11, 0.364, 2, 5, 0.4, 3, 7, 10, 5, 5.0, 2, 2, 1, 4, 7, 20, -9.0, 1, 22, 22, 22, 1, 68, 51, 66, 8, 2, 36, 59, 47, 72, 21, 40, 40, 42, 50, 24, 10, 22, 8, 14, 60
2017-18, 1610612756, PHX, Phoenix Suns, 0021701090, 2018-03-24T00:00:00, PHX @ ORL, L, 12.0, 11, 25, 0.44, 4, 9, 0.444, 2, 5, 0.4, 2, 8, 10, 7, 6.0, 1, 1, 3, 9, 4, 28, -11.0, 1, 22, 22, 22, 1, 18, 17, 45, 8, 16, 22, 59, 47, 72, 36, 32, 40, 14, 64, 42, 30, 62, 73, 52, 70
2017-18, 1610612756, PHX, Phoenix Suns, 0021701080, 2018-03-23T00:00:00, PHX @ CLE, L, 12.0, 11, 26, 0.423, 2, 10, 0.2, 2, 2, 1.0, 2, 6, 8, 7, 3.0, 5, 3, 2, 7, 2, 26, -5.0, 1, 22, 22, 22, 1, 18, 12, 53, 36, 4, 59, 59, 68, 1, 36, 60, 62, 14, 16, 1, 2, 47, 45, 78, 46
2017-18, 1610612756, PHX, Phoenix Suns, 0021701063, 2018-03-20T00:00:00, PHX vs. DET, L, 12.0, 8, 19, 0.421, 4, 10, 0.4, 6, 7, 0.857, 2, 6, 8, 8, 5.0, 0, 1, 2, 4, 4, 26, -10.0, 1, 22, 22, 22, 1, 61, 62, 54, 8, 4, 28, 19, 26, 22, 36, 60, 62, 4, 50, 72, 30, 47, 8, 52, 65
2017-18, 1610612756, PHX, Phoenix Suns, 0021701044, 2018-03-17T00:00:00, PHX vs. GSW, L, 12.0, 8, 18, 0.444, 2, 6, 0.333, 7, 8, 0.875, 2, 6, 8, 4, 7.0, 2, 2, 0, 7, 7, 25, -17.0, 1, 22, 22, 22, 1, 61, 71, 43, 36, 46, 37, 13, 20, 21, 36, 60, 62, 58, 77, 24, 10, 1, 45, 14, 78
2017-18, 1610612756, PHX, Phoenix Suns, 0021701027, 2018-03-15T00:00:00, PHX @ UTA, L, 12.0, 7, 20, 0.35, 0, 3, 0.0, 9, 11, 0.818, 3, 13, 16, 3, 7.0, 0, 1, 4, 7, 8, 23, -2.0, 1, 22, 22, 22, 1, 68, 51, 66, 73, 80, 73, 3, 5, 31, 21, 4, 3, 71, 77, 72, 30, 76, 45, 5, 33
2017-18, 1610612756, PHX, Phoenix Suns, 0021701014, 2018-03-13T00:00:00, PHX vs. CLE, L, 12.0, 10, 29, 0.345, 1, 7, 0.143, 7, 10, 0.7, 6, 9, 15, 2, 6.0, 2, 1, 5, 4, 8, 28, -6.0, 1, 22, 22, 22, 1, 34, 3, 72, 58, 36, 66, 13, 10, 48, 3, 27, 7, 80, 64, 24, 30, 81, 8, 5, 51
2017-18, 1610612756, PHX, Phoenix Suns, 0021700987, 2018-03-10T00:00:00, PHX @ CHA, L, 12.0, 9, 21, 0.429, 2, 6, 0.333, 1, 2, 0.5, 1, 6, 7, 4, 4.0, 2, 0, 2, 9, 3, 21, -14.0, 1, 22, 22, 22, 1, 49, 42, 51, 36, 46, 37, 71, 68, 69, 55, 60, 71, 58, 29, 24, 57, 47, 73, 69, 75
2017-18, 1610612756, PHX, Phoenix Suns, 0021700975, 2018-03-08T00:00:00, PHX @ OKC, L, 12.0, 11, 23, 0.478, 3, 8, 0.375, 4, 5, 0.8, 3, 6, 9, 6, 5.0, 1, 2, 0, 9, 6, 29, -10.0, 1, 22, 22, 22, 1, 18, 25, 29, 18, 23, 33, 40, 47, 35, 21, 60, 49, 29, 50, 42, 10, 1, 73, 24, 65
2017-18, 1610612756, PHX, Phoenix Suns, 0021700952, 2018-03-05T00:00:00, PHX @ MIA, L, 12.0, 15, 26, 0.577, 2, 3, 0.667, 0, 1, 0.0, 3, 6, 9, 6, 3.0, 1, 0, 4, 4, 2, 32, 0.0, 1, 22, 22, 22, 1, 2, 12, 10, 36, 80, 3, 77, 74, 77, 21, 60, 49, 29, 16, 42, 57, 76, 8, 78, 27
2017-18, 1610612756, PHX, Phoenix Suns, 0021700943, 2018-03-04T00:00:00, PHX @ ATL, L, 12.0, 12, 22, 0.545, 4, 8, 0.5, 3, 5, 0.6, 0, 10, 10, 9, 3.0, 0, 1, 1, 6, 6, 31, 1.0, 1, 22, 22, 22, 1, 10, 37, 13, 8, 23, 11, 52, 47, 64, 72, 14, 40, 3, 16, 72, 30, 22, 33, 24, 20
2017-18, 1610612756, PHX, Phoenix Suns, 0021700933, 2018-03-02T00:00:00, PHX vs. OKC, L, 12.0, 12, 24, 0.5, 4, 5, 0.8, 4, 6, 0.667, 2, 5, 7, 5, 5.0, 1, 2, 3, 7, 5, 32, -5.0, 1, 22, 22, 22, 1, 10, 22, 23, 8, 59, 1, 40, 34, 50, 36, 73, 71, 42, 50, 42, 10, 62, 45, 37, 46
2017-18, 1610612756, PHX, Phoenix Suns, 0021700918, 2018-02-28T00:00:00, PHX @ MEM, W, 12.0, 9, 22, 0.409, 1, 5, 0.2, 6, 9, 0.667, 2, 14, 16, 5, 2.0, 0, 3, 1, 8, 8, 25, 7.0, 1, 1, 1, 1, 1, 49, 37, 55, 58, 59, 59, 19, 13, 50, 36, 2, 3, 42, 8, 72, 2, 22, 64, 5, 9
2017-18, 1610612756, PHX, Phoenix Suns, 0021700902, 2018-02-26T00:00:00, PHX @ NOP, L, 12.0, 10, 29, 0.345, 1, 9, 0.111, 3, 4, 0.75, 8, 7, 15, 6, 4.0, 3, 2, 2, 9, 5, 24, -14.0, 1, 22, 22, 22, 1, 34, 3, 72, 58, 16, 71, 52, 57, 41, 2, 40, 7, 29, 29, 10, 10, 47, 73, 37, 75
2017-18, 1610612756, PHX, Phoenix Suns, 0021700889, 2018-02-24T00:00:00, PHX vs. POR, L, 12.0, 12, 22, 0.545, 3, 7, 0.429, 4, 7, 0.571, 1, 15, 16, 8, 4.0, 3, 2, 1, 4, 5, 31, 15.0, 1, 22, 22, 22, 1, 10, 37, 13, 18, 36, 24, 40, 26, 67, 55, 1, 3, 4, 29, 10, 10, 22, 8, 37, 2
2017-18, 1610612756, PHX, Phoenix Suns, 0021700881, 2018-02-23T00:00:00, PHX vs. LAC, L, 12.0, 13, 30, 0.433, 2, 7, 0.286, 0, 1, 0.0, 5, 13, 18, 6, 2.0, 5, 2, 2, 4, 3, 28, 12.0, 1, 22, 22, 22, 1, 5, 1, 50, 36, 36, 47, 77, 74, 77, 9, 4, 1, 29, 8, 1, 10, 47, 8, 69, 4
2017-18, 1610612756, PHX, Phoenix Suns, 0021700863, 2018-02-14T00:00:00, PHX @ UTA, L, 12.0, 11, 21, 0.524, 6, 9, 0.667, 2, 3, 0.667, 0, 11, 11, 7, 3.0, 1, 1, 2, 7, 2, 30, 8.0, 1, 22, 22, 22, 1, 18, 42, 17, 1, 16, 3, 59, 62, 50, 72, 8, 26, 14, 16, 42, 30, 47, 45, 78, 8
2017-18, 1610612756, PHX, Phoenix Suns, 0021700846, 2018-02-12T00:00:00, PHX @ GSW, L, 12.0, 10, 26, 0.385, 0, 6, 0.0, 6, 8, 0.75, 6, 4, 10, 4, 2.0, 0, 1, 3, 6, 6, 26, -11.0, 1, 22, 22, 22, 1, 34, 12, 59, 73, 46, 73, 19, 20, 41, 3, 79, 40, 58, 8, 72, 30, 62, 33, 24, 70
2017-18, 1610612756, PHX, Phoenix Suns, 0021700832, 2018-02-10T00:00:00, PHX vs. DEN, L, 12.0, 11, 19, 0.579, 3, 6, 0.5, 4, 6, 0.667, 2, 7, 9, 4, 4.0, 1, 3, 2, 6, 5, 29, -3.0, 1, 22, 22, 22, 1, 18, 62, 7, 18, 46, 11, 40, 34, 50, 36, 40, 49, 58, 29, 42, 2, 47, 33, 37, 38
2017-18, 1610612756, PHX, Phoenix Suns, 0021700810, 2018-02-07T00:00:00, PHX vs. SAS, L, 12.0, 7, 20, 0.35, 0, 9, 0.0, 5, 6, 0.833, 1, 10, 11, 3, 3.0, 3, 1, 0, 8, 5, 19, -9.0, 1, 22, 22, 22, 1, 68, 51, 66, 73, 16, 73, 31, 34, 25, 55, 14, 26, 71, 16, 10, 30, 1, 64, 37, 60
2017-18, 1610612756, PHX, Phoenix Suns, 0021700804, 2018-02-06T00:00:00, PHX @ LAL, L, 12.0, 8, 23, 0.348, 1, 10, 0.1, 5, 6, 0.833, 0, 8, 8, 5, 4.0, 2, 1, 3, 8, 6, 22, -9.0, 1, 22, 22, 22, 1, 61, 25, 70, 58, 4, 72, 31, 34, 25, 72, 32, 62, 42, 29, 24, 30, 62, 64, 24, 60
2017-18, 1610612756, PHX, Phoenix Suns, 0021700789, 2018-02-04T00:00:00, PHX vs. CHA, L, 12.0, 11, 17, 0.647, 6, 9, 0.667, 7, 7, 1.0, 1, 8, 9, 5, 5.0, 0, 2, 0, 9, 3, 35, -3.0, 1, 22, 22, 22, 1, 18, 78, 4, 1, 16, 3, 13, 26, 1, 55, 32, 49, 42, 50, 72, 10, 1, 73, 69, 38
