SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701229, 2018-04-11T00:00:00, POR vs. UTA, W, 12.0, 11, 25, 0.44, 1, 4, 0.25, 2, 4, 0.5, 3, 12, 15, 5, 1.0, 3, 2, 2, 6, 4, 25, 7.0, 1, 1, 1, 1, 1, 22, 7, 48, 63, 68, 60, 62, 44, 70, 24, 4, 5, 30, 3, 9, 14, 52, 41, 50, 17
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701211, 2018-04-09T00:00:00, POR @ DEN, L, 12.0, 7, 27, 0.259, 3, 10, 0.3, 3, 6, 0.5, 5, 9, 14, 2, 2.0, 1, 0, 2, 7, 6, 20, -4.0, 1, 50, 50, 50, 1, 68, 1, 79, 26, 8, 53, 51, 33, 70, 5, 31, 12, 72, 16, 45, 57, 52, 56, 16, 61
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701196, 2018-04-07T00:00:00, POR @ SAS, L, 12.0, 8, 22, 0.364, 2, 7, 0.286, 3, 3, 1.0, 2, 6, 8, 5, 3.0, 1, 1, 3, 3, 4, 21, -6.0, 1, 50, 50, 50, 1, 60, 40, 65, 42, 30, 55, 51, 61, 1, 40, 70, 70, 30, 31, 45, 31, 75, 5, 50, 68
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701177, 2018-04-05T00:00:00, POR @ HOU, L, 12.0, 11, 25, 0.44, 4, 11, 0.364, 1, 2, 0.5, 5, 9, 14, 4, 5.0, 2, 1, 1, 5, 4, 27, 9.0, 1, 50, 50, 50, 1, 22, 7, 48, 12, 4, 37, 75, 68, 70, 5, 31, 12, 42, 63, 28, 31, 26, 30, 50, 11
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701164, 2018-04-03T00:00:00, POR @ DAL, L, 12.0, 11, 19, 0.579, 1, 4, 0.25, 6, 7, 0.857, 0, 10, 10, 8, 3.0, 0, 1, 1, 3, 5, 29, -3.0, 1, 50, 50, 50, 1, 22, 69, 9, 63, 68, 60, 20, 28, 35, 77, 19, 51, 6, 31, 68, 31, 26, 5, 37, 56
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701154, 2018-04-01T00:00:00, POR vs. MEM, W, 12.0, 15, 24, 0.625, 5, 10, 0.5, 8, 8, 1.0, 2, 7, 9, 11, 3.0, 5, 2, 2, 2, 6, 43, 19.0, 1, 1, 1, 1, 1, 2, 14, 6, 4, 8, 18, 7, 18, 1, 40, 56, 63, 1, 31, 2, 14, 52, 4, 16, 1
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701137, 2018-03-30T00:00:00, POR vs. LAC, W, 12.0, 8, 26, 0.308, 2, 8, 0.25, 5, 5, 1.0, 4, 12, 16, 8, 2.0, 3, 2, 2, 9, 4, 23, 6.0, 1, 1, 1, 1, 1, 60, 2, 72, 42, 23, 60, 26, 38, 1, 11, 4, 4, 6, 16, 9, 14, 52, 78, 50, 19
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701119, 2018-03-28T00:00:00, POR @ MEM, L, 12.0, 10, 23, 0.435, 2, 10, 0.2, 1, 2, 0.5, 3, 9, 12, 3, 2.0, 3, 1, 1, 3, 3, 23, 0.0, 1, 50, 50, 50, 1, 34, 23, 50, 42, 8, 68, 75, 68, 70, 24, 31, 29, 58, 16, 9, 31, 26, 5, 65, 45
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701112, 2018-03-27T00:00:00, POR @ NOP, W, 12.0, 12, 26, 0.462, 1, 3, 0.333, 0, 0, 0.0, 4, 9, 13, 4, 3.0, 2, 2, 2, 4, 4, 25, -1.0, 1, 1, 1, 1, 1, 8, 2, 39, 63, 77, 40, 79, 80, 79, 11, 31, 19, 42, 31, 28, 14, 52, 12, 50, 48
2017-18, 1610612757, POR, Portland Trail Blazers, 0021701100, 2018-03-25T00:00:00, POR @ OKC, W, 12.0, 10, 22, 0.455, 1, 7, 0.143, 4, 4, 1.0, 7, 4, 11, 1, 6.0, 1, 3, 2, 7, 7, 25, -3.0, 1, 1, 1, 1, 1, 34, 40, 43, 63, 30, 73, 37, 44, 1, 2, 81, 39, 81, 74, 45, 4, 52, 56, 4, 56
