SEASON_YEAR, TEAM_ID, TEAM_ABBREVIATION, TEAM_NAME, GAME_ID, GAME_DATE, MATCHUP, WL, MIN, FGM, FGA, FG_PCT, FG3M, FG3A, FG3_PCT, FTM, FTA, FT_PCT, OREB, DREB, REB, AST, TOV, STL, BLK, BLKA, PF, PFD, PTS, PLUS_MINUS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, FGM_RANK, FGA_RANK, FG_PCT_RANK, FG3M_RANK, FG3A_RANK, FG3_PCT_RANK, FTM_RANK, FTA_RANK, FT_PCT_RANK, OREB_RANK, DREB_RANK, REB_RANK, AST_RANK, TOV_RANK, STL_RANK, BLK_RANK, BLKA_RANK, PF_RANK, PFD_RANK, PLUS_MINUS_RANK
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701226, 2018-04-11T00:00:00, SAS @ NOP, L, 12.0, 9, 23, 0.391, 4, 5, 0.8, 7, 8, 0.875, 4, 7, 11, 6, 5.0, 3, 0, 1, 2, 7, 29, 0.0, 1, 45, 45, 45, 1, 49, 19, 61, 5, 51, 4, 9, 17, 23, 12, 50, 34, 23, 61, 11, 59, 32, 3, 10, 44
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701210, 2018-04-09T00:00:00, SAS vs. SAC, W, 12.0, 6, 23, 0.261, 1, 7, 0.143, 4, 4, 1.0, 3, 8, 11, 3, 0.0, 0, 0, 0, 4, 3, 17, 1.0, 1, 1, 1, 1, 1, 74, 19, 76, 53, 21, 69, 28, 39, 1, 23, 39, 34, 68, 1, 69, 59, 1, 19, 66, 37
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701196, 2018-04-07T00:00:00, SAS vs. POR, W, 12.0, 12, 21, 0.571, 1, 4, 0.25, 2, 3, 0.667, 3, 10, 13, 5, 4.0, 3, 3, 1, 4, 3, 27, 6.0, 1, 1, 1, 1, 1, 5, 43, 10, 53, 62, 51, 51, 49, 45, 23, 17, 18, 40, 48, 11, 4, 32, 19, 66, 17
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701174, 2018-04-04T00:00:00, SAS @ LAL, L, 12.0, 10, 26, 0.385, 2, 4, 0.5, 4, 6, 0.667, 4, 9, 13, 6, 0.0, 3, 2, 1, 2, 4, 26, 3.0, 1, 45, 45, 45, 1, 31, 6, 63, 33, 62, 17, 28, 24, 45, 12, 30, 18, 23, 1, 11, 16, 32, 3, 48, 32
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701168, 2018-04-03T00:00:00, SAS @ LAC, L, 12.0, 9, 24, 0.375, 3, 7, 0.429, 6, 7, 0.857, 2, 8, 10, 5, 0.0, 3, 2, 1, 9, 8, 27, 4.0, 1, 45, 45, 45, 1, 49, 10, 64, 16, 21, 28, 16, 22, 27, 41, 39, 50, 40, 1, 11, 16, 32, 77, 5, 26
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701145, 2018-04-01T00:00:00, SAS vs. HOU, W, 12.0, 12, 19, 0.632, 1, 2, 0.5, 4, 7, 0.571, 1, 11, 12, 7, 1.0, 0, 0, 0, 10, 5, 29, 1.0, 1, 1, 1, 1, 1, 5, 64, 5, 53, 74, 17, 28, 22, 59, 55, 11, 25, 13, 5, 69, 59, 1, 78, 29, 37
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701126, 2018-03-29T00:00:00, SAS vs. OKC, W, 12.0, 6, 22, 0.273, 4, 10, 0.4, 2, 2, 1.0, 3, 10, 13, 5, 4.0, 2, 3, 1, 4, 4, 18, -7.0, 1, 1, 1, 1, 1, 74, 29, 75, 5, 2, 32, 51, 56, 1, 23, 17, 18, 40, 48, 20, 4, 32, 19, 48, 68
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701108, 2018-03-27T00:00:00, SAS @ WAS, L, 12.0, 9, 24, 0.375, 3, 7, 0.429, 0, 0, 0.0, 2, 3, 5, 7, 2.0, 2, 0, 4, 3, 2, 21, -8.0, 1, 45, 45, 45, 1, 49, 10, 64, 16, 21, 28, 67, 68, 67, 41, 75, 76, 13, 13, 20, 59, 77, 13, 77, 70
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701095, 2018-03-25T00:00:00, SAS @ MIL, L, 12.0, 12, 27, 0.444, 1, 5, 0.2, 3, 5, 0.6, 8, 3, 11, 5, 3.0, 2, 2, 1, 6, 5, 28, -13.0, 1, 45, 45, 45, 1, 5, 2, 50, 53, 51, 61, 41, 32, 56, 1, 75, 34, 40, 32, 20, 16, 32, 56, 29, 76
2017-18, 1610612759, SAS, San Antonio Spurs, 0021701085, 2018-03-23T00:00:00, SAS vs. UTA, W, 12.0, 10, 22, 0.455, 1, 4, 0.25, 0, 0, 0.0, 1, 7, 8, 1, 2.0, 3, 1, 0, 6, 3, 21, -1.0, 1, 1, 1, 1, 1, 31, 29, 42, 53, 62, 51, 67, 68, 67, 55, 50, 62, 78, 13, 11, 34, 1, 56, 66, 49
