CLOSE_DEF_PERSON_ID, PLAYER_NAME, PLAYER_LAST_TEAM_ID, PLAYER_LAST_TEAM_ABBREVIATION, PLAYER_POSITION, AGE, GP, G, FREQ, D_FGM, D_FGA, D_FG_PCT, PCT_PLUSMINUS
203999, Nikola Jokic, 1610612743, DEN, C, 23.0, 74, 74, 1.0, 8.84, 16.32, 0.541, 0.059
203991, Clint Capela, 1610612745, HOU, C, 24.0, 74, 74, 1.0, 7.68, 16.3, 0.471, -0.002
203497, Rudy Gobert, 1610612762, UTA, C, 26.0, 56, 56, 1.0, 7.32, 16.13, 0.454, -0.027
204001, Kristaps Porzingis, 1610612752, NYK, F-C, 22.0, 47, 47, 1.0, 6.57, 15.49, 0.424, -0.043
201143, Al Horford, 1610612738, BOS, F-C, 32.0, 69, 69, 1.0, 6.29, 15.36, 0.409, -0.06
203500, Steven Adams, 1610612760, OKC, C, 24.0, 74, 74, 1.0, 6.82, 15.28, 0.447, -0.032
202696, Nikola Vucevic, 1610612753, ORL, C, 27.0, 57, 57, 1.0, 7.58, 14.49, 0.523, 0.041
203954, Joel Embiid, 1610612755, PHI, C, 24.0, 62, 62, 1.0, 5.81, 14.21, 0.409, -0.078
203952, Andrew Wiggins, 1610612750, MIN, F, 23.0, 80, 80, 1.0, 6.18, 13.33, 0.463, 0.009
2736, Luol Deng, 1610612747, LAL, F, 33.0, 1, 1, 1.0, 6.0, 13.0, 0.462, -0.006
203994, Jusuf Nurkic, 1610612757, POR, C, 23.0, 79, 79, 1.0, 6.24, 12.87, 0.485, -0.001
101162, Marcin Gortat, 1610612764, WAS, C, 34.0, 82, 82, 1.0, 6.07, 12.57, 0.483, 0.001
201188, Marc Gasol, 1610612763, MEM, C, 33.0, 73, 73, 1.0, 5.81, 12.42, 0.467, -0.017
203507, Giannis Antetokounmpo, 1610612749, MIL, F, 23.0, 74, 74, 1.0, 5.19, 12.38, 0.419, -0.048
202683, Enes Kanter, 1610612752, NYK, C, 26.0, 70, 70, 1.0, 6.41, 12.33, 0.52, 0.041
1627733, Dragan Bender, 1610612756, PHX, F, 20.0, 80, 80, 1.0, 5.69, 12.13, 0.469, 0.002
201568, Danilo Gallinari, 1610612746, LAC, F, 29.0, 21, 21, 1.0, 5.29, 12.05, 0.439, -0.021
202685, Jonas Valanciunas, 1610612761, TOR, C, 26.0, 76, 76, 1.0, 5.57, 11.74, 0.474, -0.013
1627732, Ben Simmons, 1610612755, PHI, G-F, 21.0, 80, 80, 1.0, 4.8, 11.56, 0.415, -0.045
203967, Dario Saric, 1610612755, PHI, F, 24.0, 75, 75, 1.0, 5.27, 11.4, 0.462, 0.0
202703, Nikola Mirotic, 1610612740, NOP, F, 27.0, 55, 55, 1.0, 5.22, 11.38, 0.458, -0.003
1627734, Domantas Sabonis, 1610612754, IND, C-F, 22.0, 74, 74, 1.0, 5.08, 10.8, 0.471, -0.005
1627751, Jakob Poeltl, 1610612761, TOR, C, 22.0, 82, 82, 1.0, 4.88, 10.8, 0.451, -0.022
1628374, Lauri Markkanen, 1610612741, CHI, F, 21.0, 68, 68, 1.0, 5.25, 10.72, 0.49, 0.026
201586, Serge Ibaka, 1610612761, TOR, F-C, 28.0, 76, 76, 1.0, 5.04, 10.62, 0.475, 0.014
1628415, Dillon Brooks, 1610612763, MEM, F-G, 22.0, 81, 81, 1.0, 5.1, 10.57, 0.482, 0.03
1627750, Jamal Murray, 1610612743, DEN, G, 21.0, 80, 80, 1.0, 5.33, 10.53, 0.506, 0.06
202684, Tristan Thompson, 1610612739, CLE, C-F, 27.0, 53, 53, 1.0, 5.25, 10.3, 0.509, 0.043
