CLOSE_DEF_PERSON_ID, PLAYER_NAME, PLAYER_LAST_TEAM_ID, PLAYER_LAST_TEAM_ABBREVIATION, PLAYER_POSITION, AGE, GP, G, FREQ, D_FGM, D_FGA, D_FG_PCT, PCT_PLUSMINUS
202326, DeMarcus Cousins, 1610612740, NOP, C, 27.0, 48, 48, 1.0, 8.0, 16.69, 0.479, 0.0
203076, Anthony Davis, 1610612740, NOP, F-C, 25.0, 75, 75, 1.0, 6.52, 16.45, 0.396, -0.072
1626157, Karl-Anthony Towns, 1610612750, MIN, C, 22.0, 82, 82, 1.0, 7.79, 15.74, 0.495, 0.017
201950, Jrue Holiday, 1610612740, NOP, G, 28.0, 80, 80, 1.0, 6.08, 14.24, 0.427, -0.024
200794, Paul Millsap, 1610612743, DEN, F, 33.0, 37, 37, 1.0, 6.11, 14.19, 0.43, -0.04
203110, Draymond Green, 1610612744, GSW, F, 28.0, 70, 70, 1.0, 6.04, 14.1, 0.429, -0.035
202699, Tobias Harris, 1610612746, LAC, F, 25.0, 80, 80, 1.0, 6.69, 14.1, 0.474, 0.01
201933, Blake Griffin, 1610612765, DET, F, 29.0, 58, 58, 1.0, 6.22, 14.07, 0.442, -0.023
1626167, Myles Turner, 1610612754, IND, C, 22.0, 65, 65, 1.0, 6.69, 13.85, 0.483, 0.001
202689, Kemba Walker, 1610612766, CHA, G, 28.0, 80, 80, 1.0, 5.9, 13.58, 0.435, -0.011
200746, LaMarcus Aldridge, 1610612759, SAS, F, 32.0, 74, 74, 1.0, 5.91, 13.49, 0.438, -0.035
201959, Taj Gibson, 1610612750, MIN, F, 33.0, 82, 82, 1.0, 5.93, 12.74, 0.465, -0.002
201152, Thaddeus Young, 1610612754, IND, F, 30.0, 81, 81, 1.0, 5.84, 12.73, 0.459, -0.008
203083, Andre Drummond, 1610612765, DET, C, 24.0, 78, 78, 1.0, 6.17, 12.63, 0.488, -0.002
201935, James Harden, 1610612745, HOU, G, 28.0, 72, 72, 1.0, 5.71, 12.33, 0.463, 0.005
202331, Paul George, 1610612760, OKC, F, 28.0, 78, 78, 1.0, 6.05, 12.27, 0.493, 0.03
201142, Kevin Durant, 1610612744, GSW, F, 29.0, 67, 67, 1.0, 5.09, 12.09, 0.421, -0.036
201599, DeAndre Jordan, 1610612746, LAC, C, 29.0, 77, 77, 1.0, 5.55, 12.05, 0.46, -0.022
202324, Derrick Favors, 1610612762, UTA, F-C, 26.0, 77, 77, 1.0, 5.29, 12.0, 0.44, -0.033
201572, Brook Lopez, 1610612747, LAL, C, 30.0, 72, 72, 1.0, 5.49, 11.99, 0.458, -0.02
201567, Kevin Love, 1610612739, CLE, C-F, 29.0, 59, 59, 1.0, 6.34, 11.98, 0.529, 0.053
201577, Robin Lopez, 1610612741, CHI, C, 30.0, 64, 64, 1.0, 5.78, 11.89, 0.486, -0.001
203089, John Henson, 1610612749, MIL, C, 27.0, 75, 75, 1.0, 5.68, 11.88, 0.478, 0.002
203496, Robert Covington, 1610612755, PHI, F, 27.0, 78, 78, 1.0, 5.42, 11.78, 0.46, 0.004
202329, Al-Farouq Aminu, 1610612757, POR, F, 27.0, 68, 68, 1.0, 5.24, 11.66, 0.449, -0.024
203078, Bradley Beal, 1610612764, WAS, G, 25.0, 82, 82, 1.0, 5.23, 11.57, 0.452, 0.005
1628366, Lonzo Ball, 1610612747, LAL, G, 20.0, 50, 50, 1.0, 4.8, 11.46, 0.419, -0.033
203944, Julius Randle, 1610612747, LAL, F-C, 23.0, 81, 81, 1.0, 5.3, 11.4, 0.465, -0.004
201960, DeMarre Carroll, 1610612751, BKN, F, 31.0, 71, 71, 1.0, 5.38, 11.32, 0.475, 0.009
2730, Dwight Howard, 1610612766, CHA, C, 32.0, 80, 80, 1.0, 5.43, 11.29, 0.481, -0.004
1626196, Josh Richardson, 1610612748, MIA, F, 24.0, 79, 79, 1.0, 4.68, 11.27, 0.416, -0.033
203506, Victor Oladipo, 1610612754, IND, G, 26.0, 75, 75, 1.0, 5.05, 11.24, 0.45, 0.0
203932, Aaron Gordon, 1610612753, ORL, F, 22.0, 58, 58, 1.0, 4.79, 11.09, 0.432, -0.033
203468, CJ McCollum, 1610612757, POR, G, 26.0, 80, 80, 1.0, 4.86, 11.09, 0.439, -0.009
2544, LeBron James, 1610612739, CLE, F-G, 33.0, 82, 82, 1.0, 4.94, 11.05, 0.447, -0.012
2546, Carmelo Anthony, 1610612760, OKC, F, 34.0, 76, 76, 1.0, 5.24, 11.03, 0.475, 0.009
201980, Danny Green, 1610612759, SAS, G-F, 31.0, 70, 70, 1.0, 4.99, 10.97, 0.454, -0.006
1628381, John Collins, 1610612737, ATL, F-C, 20.0, 73, 73, 1.0, 5.01, 10.96, 0.458, -0.022
202322, John Wall, 1610612764, WAS, G, 27.0, 41, 41, 1.0, 4.49, 10.95, 0.41, -0.041
1627742, Brandon Ingram, 1610612747, LAL, F-G, 20.0, 57, 57, 1.0, 4.72, 10.93, 0.432, -0.023
1627739, Kris Dunn, 1610612741, CHI, G, 24.0, 52, 52, 1.0, 5.02, 10.92, 0.46, 0.01
1626178, Rondae Hollis-Jefferson, 1610612751, BKN, F, 23.0, 66, 66, 1.0, 5.27, 10.91, 0.483, 0.018
200768, Kyle Lowry, 1610612761, TOR, G, 32.0, 77, 77, 1.0, 4.7, 10.91, 0.431, -0.017
203200, Justin Holiday, 1610612741, CHI, G-F, 29.0, 72, 72, 1.0, 4.81, 10.9, 0.441, -0.013
1628398, Kyle Kuzma, 1610612747, LAL, F, 22.0, 75, 75, 1.0, 4.87, 10.87, 0.448, -0.011
203077, Michael Kidd-Gilchrist, 1610612766, CHA, F, 24.0, 74, 74, 1.0, 5.07, 10.85, 0.467, 0.006
1626164, Devin Booker, 1610612756, PHX, G, 21.0, 54, 54, 1.0, 4.93, 10.74, 0.459, 0.014
202710, Jimmy Butler, 1610612750, MIN, G, 28.0, 59, 59, 1.0, 4.73, 10.73, 0.441, -0.017
203460, Andre Roberson, 1610612760, OKC, G, 26.0, 37, 37, 1.0, 4.84, 10.73, 0.451, -0.005
202355, Hassan Whiteside, 1610612748, MIA, C, 29.0, 54, 54, 1.0, 5.02, 10.69, 0.47, -0.023
